availability,count,evidence_class,metric,operator,scope,value
available,768,formal_compact,mean_margin_db,D_ref,A0_formal_three_action_margin,0.1611612861355146
available,768,formal_compact,p10_margin_db,D_ref,A0_formal_three_action_margin,0.005103683471679688
available,768,formal_compact,mean_margin_db,D_rep,A0_formal_three_action_margin,0.16089333097139993
available,768,formal_compact,p10_margin_db,D_rep,A0_formal_three_action_margin,0.005828475952148438
available,768,formal_compact,best_action_agreement,D_ref_vs_D_rep,A0_formal_operator_consistency,0.98046875
available,768,formal_compact,minimum_active_severe_agreement,D_ref_vs_D_rep,A0_formal_operator_consistency,0.9947916666666666
available,181,posthoc_exploratory,severe_score_strict_concordance_on_label_discordant_groups,worst_score_pairing,A1_posthoc_within_group,0.7790055248618785
available,299,posthoc_exploratory,harm_score_strict_concordance_on_label_discordant_groups,worst_score_pairing,A1_posthoc_within_group,0.745819397993311
not_available_action_utilities_omitted,,evidence_gap,per_sample_best_second_utility_margin,not_available,A1_raw_persistence,
