calibration_fold,calibration_units,cell,ensemble_seeds,epochs,fold,harm_threshold,margin_threshold,q_floor,severe_threshold,test_units,train_units
1,384,S_utility_risk,"3407,3411",32,0,0.0,inf,0.0,0.0,384,768
1,384,I_utility_risk,"3407,3411",32,0,0.5,-0.05930878221988678,-0.2,0.1,384,768
1,384,S_mean_only,"3407,3411",32,0,0.0,inf,0.0,0.0,384,768
1,384,S_action_only,"3407,3411",32,0,0.0,inf,0.0,0.0,384,768
1,384,S_state_only,"3407,3411",32,0,0.5,-0.03009246662259102,-0.2,0.05,384,768
1,384,S_unsigned,"3407,3411",32,0,0.0,inf,0.0,0.0,384,768
1,384,S_risk_label_shuffle,"3407,3411",32,0,0.0,inf,0.0,0.0,384,768
2,384,S_utility_risk,"3407,3411",32,1,0.5,-0.1315179467201233,-0.2,0.05,384,768
2,384,I_utility_risk,"3407,3411",32,1,0.0,inf,0.0,0.0,384,768
2,384,S_mean_only,"3407,3411",32,1,0.0,inf,0.0,0.0,384,768
2,384,S_action_only,"3407,3411",32,1,0.0,inf,0.0,0.0,384,768
2,384,S_state_only,"3407,3411",32,1,0.0,inf,0.0,0.0,384,768
2,384,S_unsigned,"3407,3411",32,1,0.0,inf,0.0,0.0,384,768
2,384,S_risk_label_shuffle,"3407,3411",32,1,0.5,0.10492056608200073,-0.2,0.2,384,768
