audit_status,coverage_target,cvar5_gain_db,formal_or_exploratory,group_hard_count,group_severe_count,group_severe_ucb95_exact,mean_gain_db,operator,raw_limitation,selected_groups
formal_hash_verified_not_independently_reordered,0.05,-0.01018524169921875,formal_descriptive_curve,0,0,0.13910834066826516,0.01138162612915039,D_ref,composite_confidence_not_persisted,20
formal_hash_verified_not_independently_reordered,0.05,-0.011615753173828125,formal_descriptive_curve,0,0,0.13910834066826516,0.010410785675048828,D_rep,composite_confidence_not_persisted,20
formal_hash_verified_not_independently_reordered,0.1,-0.10389900207519531,formal_descriptive_curve,0,0,0.07393758892668655,0.016270808684520233,D_ref,composite_confidence_not_persisted,39
formal_hash_verified_not_independently_reordered,0.1,-0.11135101318359375,formal_descriptive_curve,0,0,0.07393758892668655,0.014840786273662861,D_rep,composite_confidence_not_persisted,39
formal_hash_verified_not_independently_reordered,0.2,-0.30483055114746094,formal_descriptive_curve,0,4,0.11494169623771958,0.023173072121360085,D_ref,composite_confidence_not_persisted,77
formal_hash_verified_not_independently_reordered,0.2,-0.3091106414794922,formal_descriptive_curve,0,4,0.11494169623771958,0.021054973850002538,D_rep,composite_confidence_not_persisted,77
formal_hash_verified_not_independently_reordered,0.4,-0.24591493606567383,formal_descriptive_curve,0,5,0.06705031085654413,0.03885830222786247,D_ref,composite_confidence_not_persisted,154
formal_hash_verified_not_independently_reordered,0.4,-0.2511477470397949,formal_descriptive_curve,0,5,0.06705031085654413,0.03691795894077846,D_rep,composite_confidence_not_persisted,154
formal_hash_verified_not_independently_reordered,0.6,-0.3248831431070964,formal_descriptive_curve,2,12,0.08280939986862002,0.04657420864352932,D_ref,composite_confidence_not_persisted,231
formal_hash_verified_not_independently_reordered,0.6,-0.33019383748372394,formal_descriptive_curve,2,12,0.08280939986862002,0.044419656068215636,D_rep,composite_confidence_not_persisted,231
formal_hash_verified_not_independently_reordered,0.8,-0.4547152519226074,formal_descriptive_curve,6,25,0.11152316958242119,0.06169334634557947,D_ref,composite_confidence_not_persisted,308
formal_hash_verified_not_independently_reordered,0.8,-0.458138108253479,formal_descriptive_curve,6,25,0.11152316958242119,0.06092266602949663,D_rep,composite_confidence_not_persisted,308
formal_hash_verified_not_independently_reordered,1.0,-0.4931188583374023,formal_descriptive_curve,9,41,0.1363003502396017,0.06399457653363545,D_ref,composite_confidence_not_persisted,384
formal_hash_verified_not_independently_reordered,1.0,-0.49678621292114256,formal_descriptive_curve,9,41,0.1363003502396017,0.062446395556131996,D_rep,composite_confidence_not_persisted,384
