action,cell,count,event,evidence_class,fold,operator,rate,scope,total
selected,S_utility_risk,0,severe,formal_raw_reproduction,0,D_ref,0.0,selected_primary,192
selected,S_utility_risk,0,hard,formal_raw_reproduction,0,D_ref,0.0,selected_primary,192
selected,S_utility_risk,0,severe,formal_raw_reproduction,0,D_rep,0.0,selected_primary,192
selected,S_utility_risk,0,hard,formal_raw_reproduction,0,D_rep,0.0,selected_primary,192
selected,S_utility_risk,0,severe,formal_raw_reproduction,1,D_ref,0.0,selected_primary,192
selected,S_utility_risk,0,hard,formal_raw_reproduction,1,D_ref,0.0,selected_primary,192
selected,S_utility_risk,0,severe,formal_raw_reproduction,1,D_rep,0.0,selected_primary,192
selected,S_utility_risk,0,hard,formal_raw_reproduction,1,D_rep,0.0,selected_primary,192
selected,I_utility_risk,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,I_utility_risk,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_action_only,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_action_only,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_mean_only,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_mean_only,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_risk_label_shuffle,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_risk_label_shuffle,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_state_only,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_state_only,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_unsigned,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_unsigned,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_utility_risk,0,severe,posthoc_aggregate,all,both,0.0,selected_cell,768
selected,S_utility_risk,0,hard,posthoc_aggregate,all,both,0.0,selected_cell,768
1,S_utility_risk,167,candidate_harm,posthoc_aggregate,all,D_ref,0.4348958333333333,candidate_label,384
1,S_utility_risk,42,candidate_severe,posthoc_aggregate,all,D_ref,0.109375,candidate_label,384
1,S_utility_risk,173,candidate_harm,posthoc_aggregate,all,D_rep,0.4505208333333333,candidate_label,384
1,S_utility_risk,46,candidate_severe,posthoc_aggregate,all,D_rep,0.11979166666666667,candidate_label,384
2,S_utility_risk,296,candidate_harm,posthoc_aggregate,all,D_ref,0.7708333333333334,candidate_label,384
2,S_utility_risk,135,candidate_severe,posthoc_aggregate,all,D_ref,0.3515625,candidate_label,384
2,S_utility_risk,291,candidate_harm,posthoc_aggregate,all,D_rep,0.7578125,candidate_label,384
2,S_utility_risk,132,candidate_severe,posthoc_aggregate,all,D_rep,0.34375,candidate_label,384
score_ordered,S_utility_risk,0/0,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,20
score_ordered,S_utility_risk,0/0,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,20
score_ordered,S_utility_risk,0/0,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,39
score_ordered,S_utility_risk,0/0,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,39
score_ordered,S_utility_risk,4/0,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,77
score_ordered,S_utility_risk,4/0,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,77
score_ordered,S_utility_risk,5/0,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,154
score_ordered,S_utility_risk,5/0,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,154
score_ordered,S_utility_risk,12/2,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,231
score_ordered,S_utility_risk,12/2,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,231
score_ordered,S_utility_risk,25/6,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,308
score_ordered,S_utility_risk,25/6,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,308
score_ordered,S_utility_risk,41/9,severe_and_hard,formal_compact_summary,all,D_ref,,forced_risk_coverage,384
score_ordered,S_utility_risk,41/9,severe_and_hard,formal_compact_summary,all,D_rep,,forced_risk_coverage,384
