variant,count,mean_cosine_to_o3_delta,median_cosine_to_o3_delta,wrong_direction_rate,mean_mid_pred_delta_abs_mean,mean_final_pred_delta_abs_mean,mean_mid_target_delta_abs_mean,mean_final_target_delta_abs_mean,mean_mid_local_peak_ratio,mean_final_local_peak_ratio,mean_mid_spatial_entropy,mean_final_spatial_entropy
P1_exact_o2_final_only_oracle_upper_bound,2400,0.39131573379100976,0.3752168646326017,0.0,0.0,0.004483150396117708,0.009137830740655772,0.002923153922165511,0.0,3.3220571550230185,0.0,0.9742934569716454
P1_exact_o3_midfinal_oracle_upper_bound,2400,1.0000004186325415,1.0000003968911457,0.0,0.009137830740655772,0.002923153922165511,0.009137830740655772,0.002923153922165511,2.5014141867061457,3.783687262336413,0.9726119499156872,0.9715815154711406
P1_final_mid_context_predictor,2400,0.519949447337594,0.5305623074103805,0.0020833333333333333,0.005521100420543614,0.0015260740444621964,0.009137830740655772,0.002923153922165511,3.2458594120045503,5.751049982955059,0.9461578403661648,0.933615294372042
P1_final_mid_global_context_predictor,2400,0.5430585638331347,0.558070179932084,0.004166666666666667,0.005821882915333845,0.0016487809883255977,0.009137830740655772,0.002923153922165511,3.044773011306922,5.366228300184011,0.9530505405863127,0.9436724137514829
P1_global_broadcast_control,2400,0.20428571633862797,0.19672867302189068,0.10583333333333333,0.0028547201325757974,0.0006923240770296009,0.009137830740655772,0.002923153922165511,1.0000000125169755,1.0000000052154063,0.9999999393026034,1.0000000136097271
P1_mid_only_context_predictor,2400,0.45426507357466384,0.46983400739718767,0.004166666666666667,0.005402571531012654,0.00030478457338176666,0.009137830740655772,0.002923153922165511,3.267917779584726,1.0000000238418578,0.9441944395254056,1.0000000238418578
P1_noop_control,2400,0.0,0.0,1.0,0.0,0.0,0.009137830740655772,0.002923153922165511,0.0,0.0,0.0,0.0
P1_shuffled_target_control,2400,0.11226230081632657,0.1064396949601952,0.24916666666666668,0.0038726908682535093,0.001028869594289669,0.009137830740655772,0.002923153922165511,3.583572134077549,5.962894464284181,0.9393772588173548,0.9327983093758424
P1_v219_final_only_spatial_replicate,2400,0.1681533827066536,0.1303243400799335,0.03,0.0,0.002151010214765847,0.009137830740655772,0.002923153922165511,0.0,5.178271762132645,0.0,0.9391037992139657
