variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,mechanism_gate_pass,training_authorization_gate_pass,control_gap_vs_shuffled,fold_tail_ok_count
P1_exact_o2_final_only_oracle_upper_bound,all,2400,6.187321353753408,5.706289291381836,1.4848142623901366,2.1646968841552736,1.7306178092956543,9.109180224736532,3.69291290918986,1.0,0,0.0,600,0,0.0,3.69291290918986,1.5902915954589845,,,,
P1_exact_o3_midfinal_oracle_upper_bound,all,2400,7.110820978482565,6.649005889892578,1.6168349838256837,2.465928649902344,1.9291613896687825,10.61026709874471,4.213604234059652,1.0,0,0.0,600,0,0.0,4.213604234059652,1.8516691207885743,,,,
P1_final_mid_context_predictor,all,2400,1.8279927229881288,1.3424358367919922,-2.016617431640625,-0.8068033218383789,-1.595160706837972,3.8641154956817627,0.31743865331014,0.8383333333333334,301,0.12541666666666668,600,195,0.325,0.31743865331014,-1.1108316421508788,True,False,2.9554476928710938,0
P1_final_mid_global_context_predictor,all,2400,2.068434411684672,1.52587890625,-2.359244499206543,-0.7255226135253906,-1.6966981569925943,4.1449682362874345,0.5198832130432129,0.8508333333333333,267,0.11125,600,160,0.26666666666666666,0.5198832130432129,-0.8963022232055664,True,False,3.1958893815676372,0
P1_global_broadcast_control,all,2400,0.24706464926401775,0.0630035400390625,-2.203208427429199,-1.3558982849121093,-2.093953990936279,0.9554229482014974,-0.25955347696940106,0.5608333333333333,708,0.295,600,337,0.5616666666666666,-0.25955347696940106,-1.6716981887817384,,,,
P1_mid_only_context_predictor,all,2400,1.221599284807841,0.9831924438476562,-1.2557749557495117,-0.6139358520507813,-1.036665646235148,2.2949654070536294,0.26502936681111655,0.8379166666666666,266,0.11083333333333334,600,207,0.345,0.26502936681111655,-0.8909139633178711,True,False,2.349054254690806,0
P1_noop_control,all,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,600,0,0.0,0.0,0.0,,,,
P1_shuffled_target_control,all,2400,-1.127454969882965,-0.46234703063964844,-11.087742652893066,-5.578272819519043,-8.613176170984904,0.12196475982666016,-2.7578906853993734,0.32708333333333334,1426,0.5941666666666666,600,545,0.9083333333333333,-2.7578906853993734,-9.496424293518066,,,,
P1_v219_final_only_spatial_replicate,all,2400,0.9914307936032614,0.5529441833496094,-2.460806617736816,-1.1026512145996092,-1.9725714206695557,2.6332808526357017,-0.09168851852416993,0.7108333333333333,466,0.19416666666666665,600,283,0.4716666666666667,-0.09168851852416993,-1.4493711471557618,,,,
