group,count,mean_dPSNR,wrong_direction_rate,mean_cosine_to_o3_delta,mean_mid_local_peak_ratio,mean_final_local_peak_ratio,mean_mid_spatial_entropy,mean_final_spatial_entropy,mean_mid_shape_ratio,mean_final_shape_ratio
all,2400,2.068434411684672,0.004166666666666667,0.5430585638331347,3.044773011306922,5.366228300184011,0.9530505405863127,0.9436724137514829,0.6934494732140092,0.6328932049168433
hard_bottom25,600,4.1449682362874345,0.0033333333333333335,0.6351370482214953,2.9510148719946545,4.8304943972826,0.95589951167504,0.9437928246458371,0.7132420165244558,0.7705868410895148
easy_top25,600,0.5198832130432129,0.005,0.4718001953308442,3.084940784573555,5.470084244807561,0.9484905118743578,0.9445219734311103,0.6918145670352703,0.4945890723241732
strong_reference,600,0.5198832130432129,0.005,0.4718001953308442,3.084940784573555,5.470084244807561,0.9484905118743578,0.9445219734311103,0.6918145670352703,0.4945890723241732
tail_severe,267,-0.9851563057202971,0.0299625468164794,0.31990319188954786,2.9861234064852256,5.203054987089464,0.9542378709557351,0.9471938288613652,0.7108520071802834,0.6227565781887578
