group,threshold,count,positive_labels,tp,fp,tn,fn,precision,recall,specificity,accuracy,mean_dPSNR
easy_or_strong,0.5,600,160,145,160,280,15,0.47540983606557374,0.90625,0.6363636363636364,0.7083333333333334,0.5198832130432129
all,0.5,2400,337,290,339,1724,47,0.4610492845786963,0.8605341246290801,0.8356761997091614,0.8391666666666666,2.068434411684672
