name,oof_fold,source,final_only_dPSNR,o3_context_dPSNR,rescued_to_nonsevere,rescued_to_nonregression,hard_bottom25,easy_top25,strong_reference,middle50
1132_0.75_0.84.png,3,internal_v219_final_only_spatial_replicate,-6.451984405517578,0.22918701171875,1,1,0,1,1,0
1182_0.63_1.77.png,0,internal_v219_final_only_spatial_replicate,-5.188850402832031,-0.2169036865234375,0,0,0,0,0,1
1256_0.66_0.52.png,3,internal_v219_final_only_spatial_replicate,-4.486824035644531,-0.6590194702148438,0,0,0,1,1,0
2514_0.72_0.64.png,2,internal_v219_final_only_spatial_replicate,-4.319072723388672,-1.7352218627929688,0,0,0,1,1,0
2903_0.67_0.55.png,1,internal_v219_final_only_spatial_replicate,-4.050987243652344,-0.39826202392578125,0,0,0,1,1,0
719_0.61_0.7.png,0,internal_v219_final_only_spatial_replicate,-3.9593544006347656,0.5266647338867188,1,1,0,1,1,0
726_0.57_1.58.png,1,internal_v219_final_only_spatial_replicate,-3.950489044189453,0.06669235229492188,1,1,0,0,0,1
1632_0.67_0.5.png,0,internal_v219_final_only_spatial_replicate,-3.8943634033203125,0.8908157348632812,1,1,0,1,1,0
842_0.93_0.69.png,0,internal_v219_final_only_spatial_replicate,-3.893566131591797,-0.4684562683105469,0,0,0,0,0,1
956_0.55_1.4.png,3,internal_v219_final_only_spatial_replicate,-3.8399925231933594,-2.744976043701172,0,0,1,0,0,0
452_0.51_0.55.png,2,internal_v219_final_only_spatial_replicate,-3.8069839477539062,-3.324188232421875,0,0,0,1,1,0
353_0.64_1.57.png,3,internal_v219_final_only_spatial_replicate,-3.7192001342773438,-2.9646949768066406,0,0,0,0,0,1
1188_0.95_1.95.png,0,internal_v219_final_only_spatial_replicate,-3.5987205505371094,-0.7001152038574219,0,0,0,0,0,1
1180_0.68_0.5.png,3,internal_v219_final_only_spatial_replicate,-3.475963592529297,1.7561111450195312,1,1,0,0,0,1
358_0.51_1.67.png,1,internal_v219_final_only_spatial_replicate,-3.447406768798828,-3.0518836975097656,0,0,0,0,0,1
336_0.8_0.74.png,3,internal_v219_final_only_spatial_replicate,-3.222564697265625,0.8234405517578125,1,1,0,0,0,1
918_0.61_1.9.png,0,internal_v219_final_only_spatial_replicate,-3.0138397216796875,0.6301193237304688,1,1,0,0,0,1
1139_0.58_1.05.png,2,internal_v219_final_only_spatial_replicate,-2.819866180419922,-1.3233680725097656,0,0,0,0,0,1
2041_1.0_1.84.png,2,internal_v219_final_only_spatial_replicate,-2.8055648803710938,-1.0848960876464844,0,0,1,0,0,0
1768_0.94_1.87.png,4,internal_v219_final_only_spatial_replicate,-2.7777366638183594,-0.2982826232910156,0,0,1,0,0,0
223_1.0_0.79.png,2,internal_v219_final_only_spatial_replicate,-2.675048828125,-2.6754417419433594,0,0,0,0,0,1
1800_0.61_1.92.png,3,internal_v219_final_only_spatial_replicate,-2.5384674072265625,-0.7995643615722656,0,0,0,1,1,0
1373_0.73_0.81.png,3,internal_v219_final_only_spatial_replicate,-2.5205612182617188,1.0341377258300781,1,1,0,0,0,1
2562_0.81_1.38.png,0,internal_v219_final_only_spatial_replicate,-2.462200164794922,-0.3018341064453125,0,0,0,1,1,0
1638_0.83_1.06.png,1,internal_v219_final_only_spatial_replicate,-2.4607925415039062,0.01708221435546875,1,1,0,1,1,0
1574_0.67_1.97.png,3,internal_v219_final_only_spatial_replicate,-2.415904998779297,-1.2117271423339844,0,0,0,0,0,1
1142_0.64_0.53.png,0,internal_v219_final_only_spatial_replicate,-2.3888473510742188,-0.20821380615234375,0,0,0,1,1,0
1222_0.92_1.14.png,3,internal_v219_final_only_spatial_replicate,-2.322154998779297,1.0939712524414062,1,1,0,0,0,1
513_0.64_0.75.png,3,internal_v219_final_only_spatial_replicate,-2.2538833618164062,1.5969085693359375,1,1,0,0,0,1
1644_0.53_1.52.png,1,internal_v219_final_only_spatial_replicate,-2.2189292907714844,-1.00347900390625,0,0,0,1,1,0
609_0.58_1.34.png,2,internal_v219_final_only_spatial_replicate,-2.1451759338378906,-5.329692840576172,0,0,1,0,0,0
597_0.55_0.65.png,2,internal_v219_final_only_spatial_replicate,-2.1191673278808594,1.3357086181640625,1,1,0,1,1,0
2335_0.51_0.53.png,1,internal_v219_final_only_spatial_replicate,-2.1019744873046875,0.30895233154296875,1,1,0,1,1,0
1231_0.98_1.26.png,0,internal_v219_final_only_spatial_replicate,-2.087921142578125,2.102222442626953,1,1,1,0,0,0
251_0.5_1.61.png,3,internal_v219_final_only_spatial_replicate,-2.0655250549316406,-0.9308929443359375,0,0,0,0,0,1
299_0.79_0.75.png,1,internal_v219_final_only_spatial_replicate,-2.0181503295898438,-0.06966400146484375,1,0,0,0,0,1
342_0.98_1.92.png,4,internal_v219_final_only_spatial_replicate,-2.01580810546875,-1.0619468688964844,0,0,1,0,0,0
252_0.98_1.73.png,3,internal_v219_final_only_spatial_replicate,-2.0091590881347656,0.5249710083007812,1,1,0,0,0,1
636_0.58_0.56.png,4,internal_v219_final_only_spatial_replicate,-1.97540283203125,-0.7516212463378906,0,0,0,1,1,0
1150_0.8_1.27.png,3,internal_v219_final_only_spatial_replicate,-1.9664115905761719,2.5234756469726562,1,1,0,0,0,1
