group,count,mean_unsafe_probability,unsafe_label_rate,mean_dPSNR
all,2400,0.2966736684805892,0.14041666666666666,2.068434411684672
hard_bottom25,600,0.12690863045702525,0.058333333333333334,4.1449682362874345
easy_top25,600,0.5283978576244166,0.26666666666666666,0.5198832130432129
strong_reference,600,0.5283978576244166,0.26666666666666666,0.5198832130432129
