split,score_key,bin,order,count,coverage_start_frac,coverage_end_frac,score_min,score_max,bad_rate,mean_gain,hard_bottom25_frac,easy_top25_frac
oof,pred_abs_mean,1,descending_confidence,6000,0.0,0.1,0.009535230696201324,0.026515934616327286,0.016666666666666666,0.41003855228424074,0.5993333333333334,0.142
oof,pred_abs_mean,2,descending_confidence,6000,0.1,0.2,0.007158713415265083,0.009533942677080631,0.025166666666666667,0.15443796157836914,0.432,0.15266666666666667
oof,pred_abs_mean,3,descending_confidence,6000,0.2,0.3,0.005886655300855637,0.007158495951443911,0.019833333333333335,0.08203653240203858,0.30333333333333334,0.192
oof,pred_abs_mean,4,descending_confidence,6000,0.3,0.4,0.005155551712960005,0.005886655300855637,0.017833333333333333,0.04287075996398926,0.19266666666666668,0.24733333333333332
oof,pred_abs_mean,5,descending_confidence,6000,0.4,0.5,0.004986525047570467,0.005155551712960005,0.0435,0.033428175608317054,0.23533333333333334,0.24133333333333334
oof,pred_abs_mean,6,descending_confidence,6000,0.5,0.6,0.00493799801915884,0.004986525047570467,0.04766666666666667,0.03477733516693115,0.274,0.22466666666666665
oof,pred_abs_mean,7,descending_confidence,6000,0.6,0.7,0.0046340604312717915,0.00493799801915884,0.007666666666666666,0.01886406962076823,0.11,0.374
oof,pred_abs_mean,8,descending_confidence,6000,0.7,0.8,0.004186421632766724,0.0046340604312717915,0.007666666666666666,0.020655506134033202,0.13333333333333333,0.304
oof,pred_abs_mean,9,descending_confidence,6000,0.8,0.9,0.0035913102328777313,0.004186056088656187,0.005666666666666667,0.019293241182963054,0.12866666666666668,0.30666666666666664
oof,pred_abs_mean,10,descending_confidence,6000,0.9,1.0,0.0008888063603080809,0.0035912594757974148,0.0085,0.01873343245188395,0.09133333333333334,0.31533333333333335
