fold,name,mapper,K,scale,confidence_key,direction,threshold,split,gate_pass,gate,count,open_count,keep_count,open_keep_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions,coverage,strong_rate
0,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",665,292,53,53,0.012311736758397232,0.010681096961866119,0.13244596018664334,0.06754570580962906,0.41689849796151757,0.16201954705978328,0.22952016577663192,1.0244906666767166,0.0,42.63182830810547,0,1,0.07969924812030076,0.0
0,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",665,292,37,14,0.012311736758397232,0.01172906593576062,0.047326452317070604,0.022992012196017386,0.41689849796151757,0.055150144000134294,0.07109522532267742,1.0244906666767166,0.0,42.63182830810547,0,0,0.055639097744360905,0.0
1,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",632,279,53,53,0.012593279896752772,0.01031491771751273,0.18091888673319545,0.08312780645829213,0.4466956657699392,0.18609494747393696,0.29692384261119215,1.0752924424183519,0.0,42.74841785430908,0,1,0.08386075949367089,0.0
1,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",632,279,30,20,0.012593279896752772,0.011419995007533691,0.093167538468006,0.04436567765247973,0.4466956657699392,0.09931969582917174,0.1626552147201345,1.0752924424183519,0.0,42.74841785430908,0,0,0.04746835443037975,0.0
2,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",592,263,51,51,0.012875753343069452,0.010571036760313724,0.1789966397574921,0.08575664339838801,0.47478440645578746,0.18062228294006488,0.29056832597062393,1.1691911800487622,0.0,42.842400550842285,0,2,0.08614864864864864,0.0
2,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",592,263,25,16,0.012875753343069452,0.011767492271220968,0.08607349351290731,0.03716478154465959,0.47478440645578746,0.07827717389054652,0.13104478732959643,1.1691911800487622,0.0,42.842400550842285,0,0,0.04222972972972973,0.0
3,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",563,249,35,35,0.012833820249470274,0.011510609714730028,0.10310340249582829,0.05547857877416255,0.47145974953687003,0.11767405134512741,0.18197081429617745,1.0699892861502511,0.0,42.925912857055664,0,1,0.06216696269982238,0.0
3,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",563,249,23,15,0.012833820249470274,0.012160719310569479,0.052447433875238966,0.03339199994427696,0.47145974953687003,0.07082683087385294,0.12470829827444894,1.0699892861502511,0.0,42.925912857055664,0,0,0.04085257548845471,0.0
4,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",548,241,47,47,0.01281841467160762,0.010874262316588862,0.1516687051266171,0.08255339016879562,0.4609071738528509,0.17911066447221669,0.28631380178632526,1.1684722204277986,0.0,42.77414894104004,0,0,0.08576642335766424,0.0
4,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,oof,False,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",548,241,35,20,0.01281841467160762,0.011704429694797272,0.08690505069069027,0.05337926419111934,0.4609071738528509,0.11581348093349744,0.19764596702408616,1.1684722204277986,0.0,42.77414894104004,0,1,0.06386861313868614,0.0
