variant,calibration_method,target_mode,eval_pixels,need_pearson,need_spearman,need_auroc_high_vs_low,need_auprc_high,need_pred_high_coverage,need_target_high_coverage,need_monotonic_pairs,need_monotonic_valid_pairs,low_context_false_strong_rate
d6a_quantile,identity,quantile,2457600,0.27097476392472164,0.24652502238509832,0.661122568601782,0.39649228245580775,0.0,0.337926025390625,3,4,0.0
d6a_quantile,affine_p01_p99,quantile,2457600,0.2705746564796128,0.2465198549721524,0.661119451654442,0.3963393018715653,0.356806640625,0.337926025390625,3,4,0.13010541550388385
d6a_quantile,affine_p10_p90,quantile,2457600,0.2593301891384763,0.24548367796831044,0.6606188413703633,0.39315102225980236,0.365341796875,0.337926025390625,3,4,0.13400154307033438
d6a_quantile,mean_std,quantile,2457600,0.257139644452678,0.2455713331775998,0.660668885264383,0.3942999656738262,0.30981648763020836,0.337926025390625,3,4,0.10990416449922226
d6a_quantile,logit_mean_std,quantile,2457600,0.2635796569854927,0.24652502239262247,0.6611225686672602,0.3964922951066829,0.4208504231770833,0.337926025390625,3,4,0.16251654226899848
d6a_quantile,quantile_map_1001,quantile,2457600,0.2435799576129524,0.24652502239326604,0.6611225686312103,0.3964922945627356,0.3378857421875,0.337926025390625,3,4,0.12174875186358379
d6b_log,identity,log,2457600,0.27115348554490853,0.2913587819832091,0.6883467777060968,0.42065381889964787,0.0,0.3416573079427083,2,2,0.0
d6b_log,affine_p01_p99,log,2457600,0.2708898451512568,0.29135269106746176,0.6883444014601539,0.4206841388797586,0.2269873046875,0.3416573079427083,2,2,0.09319983046681464
d6b_log,affine_p10_p90,log,2457600,0.2607492506736257,0.2907136582432584,0.6881350956275583,0.4207058976431106,0.092872314453125,0.3416573079427083,2,2,0.0327706831937094
d6b_log,mean_std,log,2457600,0.2513343435596557,0.2893161493373877,0.6874838863450485,0.420594563719874,0.06909871419270833,0.3416573079427083,2,2,0.02104853329065601
d6b_log,logit_mean_std,log,2457600,0.23920761512829328,0.29135878197330234,0.6883467777082964,0.42065381827685594,0.15820353190104167,0.3416573079427083,2,2,0.06300954566321414
d6b_log,quantile_map_1001,log,2457600,0.21423691614215554,0.2913555347393409,0.6883454932954217,0.42074990481254393,0.09601521809895833,0.3416573079427083,2,2,0.03457628141809526
d6c_ordinal_quantile,identity,quantile,2457600,0.36323970098212727,0.3297659988770789,0.7133193024628616,0.43534801529842426,0.0,0.337926025390625,4,4,0.0
d6c_ordinal_quantile,affine_p01_p99,quantile,2457600,0.36302762060467203,0.3297591190312149,0.7133161645595623,0.43561233166738333,0.4198661295572917,0.337926025390625,4,4,0.16832952038634227
d6c_ordinal_quantile,affine_p10_p90,quantile,2457600,0.3503649481488855,0.3287892353833959,0.7130073753247418,0.4325822778748773,0.38237630208333334,0.337926025390625,4,4,0.14856401907803232
d6c_ordinal_quantile,mean_std,quantile,2457600,0.3489606152296352,0.3289608916381698,0.7130920127181712,0.4348351889217439,0.31588094075520834,0.337926025390625,4,4,0.11529966680954236
d6c_ordinal_quantile,logit_mean_std,quantile,2457600,0.34952526849835436,0.32976599887769836,0.7133193024481473,0.43534801778322385,0.409332275390625,0.337926025390625,4,4,0.16228073840460838
d6c_ordinal_quantile,quantile_map_1001,quantile,2457600,0.32701081988019676,0.3297659989134876,0.7133193024716901,0.43534804801510396,0.34476359049479166,0.337926025390625,4,4,0.12866547236390408
d6s_shuffled_quantile,identity,quantile,2457600,-0.2487440955844555,-0.25296594789787913,0.3368868906740349,0.28056900328871426,0.0,0.337926025390625,0,4,0.0
d6s_shuffled_quantile,affine_p01_p99,quantile,2457600,-0.2508009549263622,-0.25298542948030706,0.3368725072882477,0.2802181054578338,0.24853759765625,0.337926025390625,0,4,0.47842237528917075
d6s_shuffled_quantile,affine_p10_p90,quantile,2457600,-0.2525396707203715,-0.2529497678490421,0.33688340726961896,0.2806539076418578,0.31822591145833334,0.337926025390625,0,4,0.5524243508842288
d6s_shuffled_quantile,mean_std,quantile,2457600,-0.2518888570417707,-0.25289860016105126,0.33691599283512963,0.2806125145827383,0.29221435546875,0.337926025390625,0,4,0.5248735411869483
d6s_shuffled_quantile,logit_mean_std,quantile,2457600,-0.2524587964624211,-0.2529659478993536,0.33688689067329913,0.2805690049783728,0.3723876953125,0.337926025390625,0,4,0.6029500296783153
d6s_shuffled_quantile,quantile_map_1001,quantile,2457600,-0.25130186593715176,-0.2529659478932203,0.3368868906688849,0.28056900415571573,0.323280029296875,0.337926025390625,0,4,0.5574828203098003
