bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant,calibration_method
0,0.0,0.2,488540,0.10343905538320541,0.21652033925056458,d6a_quantile,identity
1,0.2,0.33,329794,0.26498743891716003,0.24909250438213348,d6a_quantile,identity
2,0.33,0.66,808789,0.49360188841819763,0.26879820227622986,d6a_quantile,identity
3,0.66,0.8,330583,0.7297492623329163,0.2794649600982666,d6a_quantile,identity
4,0.8,1.000001,499894,0.9029604196548462,0.2779233455657959,d6a_quantile,identity
0,0.0,0.2,488540,0.10343905538320541,0.44399145245552063,d6a_quantile,affine_p01_p99
1,0.2,0.33,329794,0.26498743891716003,0.5343270897865295,d6a_quantile,affine_p01_p99
2,0.33,0.66,808789,0.49360188841819763,0.5891410112380981,d6a_quantile,affine_p01_p99
3,0.66,0.8,330583,0.7297492623329163,0.6187769174575806,d6a_quantile,affine_p01_p99
4,0.8,1.000001,499894,0.9029604196548462,0.6144306063652039,d6a_quantile,affine_p01_p99
0,0.0,0.2,488540,0.10343905538320541,0.392097145318985,d6a_quantile,affine_p10_p90
1,0.2,0.33,329794,0.26498743891716003,0.49887391924858093,d6a_quantile,affine_p10_p90
2,0.33,0.66,808789,0.49360188841819763,0.5676652789115906,d6a_quantile,affine_p10_p90
3,0.66,0.8,330583,0.7297492623329163,0.605216920375824,d6a_quantile,affine_p10_p90
4,0.8,1.000001,499894,0.9029604196548462,0.599392831325531,d6a_quantile,affine_p10_p90
0,0.0,0.2,488540,0.10343905538320541,0.36974820494651794,d6a_quantile,mean_std
1,0.2,0.33,329794,0.26498743891716003,0.47111132740974426,d6a_quantile,mean_std
2,0.33,0.66,808789,0.49360188841819763,0.5369244813919067,d6a_quantile,mean_std
3,0.66,0.8,330583,0.7297492623329163,0.5730327367782593,d6a_quantile,mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.5670658946037292,d6a_quantile,mean_std
0,0.0,0.2,488540,0.10343905538320541,0.39060866832733154,d6a_quantile,logit_mean_std
1,0.2,0.33,329794,0.26498743891716003,0.4979061782360077,d6a_quantile,logit_mean_std
2,0.33,0.66,808789,0.49360188841819763,0.5664270520210266,d6a_quantile,logit_mean_std
3,0.66,0.8,330583,0.7297492623329163,0.605266809463501,d6a_quantile,logit_mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.6028618812561035,d6a_quantile,logit_mean_std
0,0.0,0.2,488540,0.10343905538320541,0.364217072725296,d6a_quantile,quantile_map_1001
1,0.2,0.33,329794,0.26498743891716003,0.4635712504386902,d6a_quantile,quantile_map_1001
2,0.33,0.66,808789,0.49360188841819763,0.5304378867149353,d6a_quantile,quantile_map_1001
3,0.66,0.8,330583,0.7297492623329163,0.567514181137085,d6a_quantile,quantile_map_1001
4,0.8,1.000001,499894,0.9029604196548462,0.5628852248191833,d6a_quantile,quantile_map_1001
0,0.0,0.2,980893,0.10542040318250656,0.1600593477487564,d6b_log,identity
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,identity
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.1850869059562683,d6b_log,identity
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.1960383951663971,d6b_log,identity
4,0.8,1.000001,109778,0.9078254699707031,0.203319251537323,d6b_log,identity
0,0.0,0.2,980893,0.10542040318250656,0.4333875775337219,d6b_log,affine_p01_p99
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,affine_p01_p99
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.5248196721076965,d6b_log,affine_p01_p99
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.5647099018096924,d6b_log,affine_p01_p99
4,0.8,1.000001,109778,0.9078254699707031,0.5907588601112366,d6b_log,affine_p01_p99
0,0.0,0.2,980893,0.10542040318250656,0.3010673224925995,d6b_log,affine_p10_p90
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,affine_p10_p90
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.3865671157836914,d6b_log,affine_p10_p90
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.42619046568870544,d6b_log,affine_p10_p90
4,0.8,1.000001,109778,0.9078254699707031,0.45348453521728516,d6b_log,affine_p10_p90
0,0.0,0.2,980893,0.10542040318250656,0.25749704241752625,d6b_log,mean_std
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,mean_std
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.33835452795028687,d6b_log,mean_std
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.3768434226512909,d6b_log,mean_std
4,0.8,1.000001,109778,0.9078254699707031,0.4044681489467621,d6b_log,mean_std
0,0.0,0.2,980893,0.10542040318250656,0.28644317388534546,d6b_log,logit_mean_std
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,logit_mean_std
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.3800145983695984,d6b_log,logit_mean_std
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.42415982484817505,d6b_log,logit_mean_std
4,0.8,1.000001,109778,0.9078254699707031,0.46113502979278564,d6b_log,logit_mean_std
0,0.0,0.2,980893,0.10542040318250656,0.2506687343120575,d6b_log,quantile_map_1001
1,0.2,0.16568347811698914,0,nan,nan,d6b_log,quantile_map_1001
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.3282513916492462,d6b_log,quantile_map_1001
3,0.3657055103778839,0.8,729879,0.5328697562217712,0.36388739943504333,d6b_log,quantile_map_1001
4,0.8,1.000001,109778,0.9078254699707031,0.38984113931655884,d6b_log,quantile_map_1001
0,0.0,0.2,488540,0.10343905538320541,0.2791079580783844,d6c_ordinal_quantile,identity
