bucket,count,cvar5,fold,mean_delta,median_delta,p05,phase,positive_ratio,severe_rate,strong_reference_regression_rate
all,32,-2.084196090698242,all,-0.4145773649215698,-0.25412750244140625,-1.771880531311035,canary32,0.28125,0.5,0.71875
hard,8,-0.6745071411132812,all,-0.3286762237548828,-0.23805999755859375,-0.6543411254882813,canary32,0.0,0.5,1.0
middle,16,-2.2552413940429688,all,-0.44625329971313477,-0.11000633239746094,-1.8060321807861328,canary32,0.4375,0.4375,0.5625
easy,8,-1.9131507873535156,all,-0.43712663650512695,-0.3992137908935547,-1.4427034378051757,canary32,0.25,0.625,0.75
