bucket,count,cvar5,fold,mean_delta,median_delta,p05,phase,positive_ratio,severe_rate,strong_reference_regression_rate
all,32,-0.8498020172119141,all,-0.11642217636108398,-0.0704193115234375,-0.6524627685546875,p1_sanity,0.3125,0.25,0.5625
hard,8,-0.31215667724609375,all,-0.07294321060180664,-0.0596160888671875,-0.2405221939086914,p1_sanity,0.25,0.125,0.625
middle,16,-0.9946975708007812,all,-0.1587986946105957,-0.059520721435546875,-0.7773542404174805,p1_sanity,0.375,0.3125,0.5
easy,8,-0.29878997802734375,all,-0.07514810562133789,-0.12971878051757812,-0.2651844024658203,p1_sanity,0.25,0.25,0.625
