bucket,count,field_energy_mean,field_energy_p95,fold,gate_mean,gate_std,highfreq_leakage,lowfreq_ratio,phase
all,32,1.3506418611086701e-05,3.378954522759159e-05,all,0.01948483701562509,0.00028677533964582835,0.026457999309059232,0.9735420006909408,canary32
hard,8,1.2998189276913763e-05,3.230394759157207e-05,all,0.019440202740952373,0.00026159025946981274,0.025798699585720897,0.9742013004142791,canary32
middle,16,1.311860933128628e-05,3.2779761795609375e-05,all,0.019437539274804294,0.00027966793186351424,0.026459446060471237,0.9735405539395288,canary32
easy,8,1.4790266504860483e-05,3.729470972757554e-05,all,0.019624066771939397,0.0003261752353864722,0.02711440552957356,0.9728855944704264,canary32
