bucket,count,field_energy_mean,field_energy_p95,fold,gate_mean,gate_std,highfreq_leakage,lowfreq_ratio,phase
all,32,5.661128440692664e-06,1.1682335298246471e-05,all,0.018224547966383398,4.559890896871366e-05,0.023634617973584682,0.9763653820264153,p1_sanity
hard,8,5.502170552063035e-06,1.1176390330547292e-05,all,0.01821902859956026,4.1379623326065484e-05,0.022959914058446884,0.9770400859415531,p1_sanity
middle,16,5.502700503257074e-06,1.1373339646070235e-05,all,0.018217771081253886,4.480553184293967e-05,0.023712870432063937,0.9762871295679361,p1_sanity
easy,8,6.136942204193474e-06,1.2806271570298122e-05,all,0.018243621103465557,5.1404948862909805e-05,0.02415281697176397,0.975847183028236,p1_sanity
