variant,coverage,mean_dPSNR,hard_bottom25_dPSNR,dSSIM,positive_ratio,worst_per_600,strong_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,false_reject_good_count,false_accept_severe_count,max_outer_worst_per_600,selector_type,feature_group,deployable,coverage_target,outer_reports,selector_score,strict_gate_pass,relaxed_exploratory_gate_pass,strict_gate_checks,relaxed_gate_checks
l1_fdf_lite_s004_g025_bm2,0.9,0.07588232517242431,0.08117598215738933,1.7304246624310813e-05,0.5845833333333333,63.25,145.25,0.07132932980855305,0.057605768839518234,0.06283902963002523,51.5,126.5,71.5,logistic,input_only,True,0.9,2,0.04522572018305461,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
l2_fdf_lite_s002_g025_bm2,0.9016666666666666,0.05581652164459229,0.06389071782430013,1.6604562600453697e-05,0.5783333333333334,44.5,139.75,0.04667066335678101,0.03590634822845459,0.039272231260935465,51.5,89.0,52.5,logistic,input_only,True,0.9,2,0.0332731339375178,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
l3_fdf_lite_s004_g015_bm2,0.9041666666666667,0.0671080223719279,0.07418478012084961,1.8397942185401916e-05,0.5862499999999999,52.25,145.0,0.05814184109369914,0.046011566321055096,0.05027386585871378,50.0,104.5,60.5,logistic,input_only,True,0.9,2,0.04165882689952849,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
