candidate,outer_fold,selector_type,feature_group,risk_bin,count,risk_score_min,risk_score_max,predicted_severe_rate_proxy,observed_severe_rate,observed_strong_rate,observed_positive_rate,mean_dPSNR
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,0,120,0.36868366893475735,0.548693217895733,0.4992321078961636,0.11666666666666667,0.24166666666666667,0.6416666666666667,0.05402870178222656
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,1,120,0.54896309045082,0.5840639696687483,0.5680638390402437,0.11666666666666667,0.325,0.625,0.05552690823872884
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,2,120,0.5844064751405229,0.6215752599561684,0.6025480493900124,0.09166666666666666,0.25833333333333336,0.6083333333333333,0.0810106913248698
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,3,120,0.6222288238991105,0.6536850488637512,0.637919309800617,0.09166666666666666,0.2916666666666667,0.65,0.07690176963806153
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,4,120,0.6538046392238682,0.6785954044930965,0.6668648034800677,0.14166666666666666,0.25,0.675,0.11079791386922201
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,5,120,0.6792871791250455,0.7091050459886274,0.692587728200568,0.125,0.275,0.6583333333333333,0.09818296432495117
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,6,120,0.7095009996930338,0.7381059206033525,0.7225929437293019,0.1,0.225,0.7,0.12370495796203614
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,7,120,0.7384623194110961,0.7743955245464387,0.75603258623766,0.175,0.2916666666666667,0.65,0.08953237533569336
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,8,120,0.7744680700645455,0.819801261628476,0.7966170790312507,0.16666666666666666,0.31666666666666665,0.5333333333333333,0.05123128890991211
l1_fdf_lite_s004_g025_bm2,0,logistic,input_only,9,120,0.8223087383442138,1.0316436207921393,0.8848164974200444,0.3333333333333333,0.45,0.49166666666666664,-0.04056758880615234
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,0,120,0.3827439294658117,0.5546348598739077,0.5066821814797003,0.06666666666666667,0.2916666666666667,0.5916666666666667,0.049323542912801104
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,1,120,0.5552691864648089,0.6003454862379437,0.5822125023230417,0.06666666666666667,0.19166666666666668,0.7333333333333333,0.10457560221354166
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,2,120,0.6015194381292872,0.6345968336286012,0.6194897709311094,0.15,0.30833333333333335,0.5833333333333334,0.04797320365905762
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,3,120,0.6354591706095692,0.6670743360764521,0.6521004792089601,0.13333333333333333,0.25,0.7,0.0871454397837321
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,4,120,0.6675162333740274,0.6976141210389335,0.6835197856273394,0.13333333333333333,0.30833333333333335,0.5916666666666667,0.07824807167053223
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,5,120,0.6987265053774405,0.7326393182862244,0.7150053314002265,0.125,0.23333333333333334,0.6833333333333333,0.05833191871643066
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,6,120,0.733666663959428,0.7661766943297912,0.7478084340391625,0.05,0.18333333333333332,0.7666666666666667,0.15379130045572917
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,7,120,0.7678067211703697,0.8027519850253004,0.7833007836783659,0.15,0.3416666666666667,0.575,0.039908313751220705
l1_fdf_lite_s004_g025_bm2,1,logistic,input_only,8,120,0.8038027215561185,0.8459262558249022,0.82065305041036,0.058333333333333334,0.23333333333333334,0.7416666666666667,0.1795278549194336
