variant,outer_fold,selector_type,feature_group,deployable,coverage_target,threshold,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,false_reject_good_count,false_accept_severe_count,selected_group_counts,backend,calibration_fold,model_train_count,calibration_count,eval_count,top_features
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,1.0,1.1073834300041199,2400,2400,1.0,0.06295862038930257,0.07343692143758138,0.040085767110188804,1.7357170581817626e-05,0.6304166666666666,0.6304166666666666,42.80718994140625,197,685,171.25,278,69.5,0.05660839478174846,0.04419080336888631,0.04714994510014852,0,278,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 278}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.99,0.6020131874203695,2400,2376,0.99,0.07057112693786621,0.07620450973510742,0.060788180033365884,1.8787309527397157e-05,0.6304166666666666,0.6367845117845118,42.80718994140625,180,661,165.25,254,63.5,0.05920836051305135,0.04615216493606567,0.0491843835512797,0,254,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 254}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.98,0.4821152816057205,2400,2352,0.98,0.07606473922729493,0.0788444709777832,0.06918790181477864,2.0005404949188232e-05,0.6304166666666666,0.64328231292517,42.80718994140625,171,637,159.25,230,57.5,0.06099585771560669,0.04721141576766968,0.050396955013275145,0,230,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 230}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.97,0.43540979639291766,2400,2328,0.97,0.08065806706746419,0.0788444709777832,0.07837326049804688,2.054599424203237e-05,0.6304166666666666,0.6499140893470791,42.80718994140625,159,613,153.25,206,51.5,0.06304296414057414,0.048329939047495524,0.051732458273569745,0,206,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 206}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.96,0.3792163409233093,2400,2304,0.96,0.08469601631164551,0.0822039540608724,0.08380779902140299,2.126067876815796e-05,0.6304166666666666,0.6566840277777778,42.80718994140625,151,589,147.25,182,45.5,0.06469331979751587,0.04933186610539754,0.052889660994211836,0,182,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 182}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.95,0.33811864978075057,2400,2280,0.95,0.0882414706548055,0.0833493423461914,0.09085663477579753,2.2147869070370993e-05,0.6304166666666666,0.6635964912280702,42.80718994140625,139,565,141.25,158,39.5,0.06622221072514851,0.05023711760838827,0.05399344205856323,0,158,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 158}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.94,0.30283290414810177,2400,2256,0.94,0.09145127137502035,0.08437678654988606,0.09567393620808919,2.251294751962026e-05,0.6304166666666666,0.6706560283687943,42.80718994140625,130,541,135.25,134,33.5,0.06749264796574911,0.05103473424911499,0.05490201552708944,0,134,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 134}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.93,0.2782676241397858,2400,2232,0.93,0.09436123689015706,0.08627431233723959,0.09860911051432292,2.266213297843933e-05,0.6304166666666666,0.6778673835125448,42.80718994140625,124,517,129.25,110,27.5,0.06849823077519734,0.05167295217514038,0.055597527027130125,0,110,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 110}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.92,0.26082063016891477,2400,2208,0.92,0.09706432342529298,0.08855068206787109,0.10172249476114908,2.3562312126159668e-05,0.6304166666666666,0.6852355072463768,42.80718994140625,117,493,123.25,86,21.5,0.06944712400436401,0.05228625694910685,0.05637404203414917,0,86,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 86}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.9,0.22659842419624326,2400,2160,0.9,0.10195813814798992,0.09302677154541016,0.10536097844441732,2.4563148617744445e-05,0.6304166666666666,0.700462962962963,42.80718994140625,108,445,111.25,38,9.5,0.07091825882593791,0.053302187919616696,0.057594890594482424,0,38,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 38}",,,,,,
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,1.0,1.0253552182725565,1200,1200,1.0,0.06138484319051107,0.0607956059773763,0.03940761566162109,1.6061415274937946e-05,0.625,0.625,42.755948066711426,97,351,175.5,150,75.0,0.05432997385660807,0.042001349131266276,0.0445552651087443,0,150,"{""gain"": 569, ""neutral"": 83, ""ssim_regression"": 197, ""strong_regression"": 201, ""worst_regression"": 150}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.99,0.9556097421734089,1200,1190,0.9916666666666667,0.06036616325378418,0.0607956059773763,0.035332895914713544,1.598864793777466e-05,0.6183333333333333,0.6235294117647059,42.755948066711426,95,349,174.5,148,74.0,0.053810885747273766,0.04232721646626791,0.04482841968536377,8,148,"{""gain"": 563, ""neutral"": 83, ""ssim_regression"": 195, ""strong_regression"": 201, ""worst_regression"": 148}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.98,0.933756861405882,1200,1180,0.9833333333333333,0.06245584487915039,0.0607956059773763,0.04369162241617838,1.717189947764079e-05,0.6166666666666667,0.6271186440677966,42.755948066711426,88,342,171.0,144,72.0,0.05498900095621745,0.04351102193196615,0.045941735903422036,10,144,"{""gain"": 563, ""neutral"": 83, ""ssim_regression"": 192, ""strong_regression"": 198, ""worst_regression"": 144}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.97,0.9109520171569133,1200,1174,0.9783333333333334,0.06306609789530436,0.0607956059773763,0.04613263448079427,1.6867170731226604e-05,0.6141666666666666,0.6277683134582623,42.755948066711426,86,340,170.0,142,71.0,0.055230414072672526,0.043743804295857745,0.04650240739186605,12,142,"{""gain"": 561, ""neutral"": 81, ""ssim_regression"": 192, ""strong_regression"": 198, ""worst_regression"": 142}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.96,0.892885505350354,1200,1168,0.9733333333333334,0.062415822347005205,0.0607956059773763,0.04353153228759766,1.677220066388448e-05,0.6108333333333333,0.627568493150685,42.755948066711426,84,338,169.0,140,70.0,0.0544559383392334,0.0429855473836263,0.04588996728261312,16,140,"{""gain"": 559, ""neutral"": 81, ""ssim_regression"": 190, ""strong_regression"": 198, ""worst_regression"": 140}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.95,0.873064739949929,1200,1148,0.9566666666666667,0.06327025731404623,0.0607956059773763,0.04832515716552734,1.769880453745524e-05,0.5991666666666666,0.6263066202090593,42.755948066711426,78,332,166.0,134,67.0,0.05395455996195475,0.042621151606241865,0.04597422122955322,29,134,"{""gain"": 550, ""neutral"": 81, ""ssim_regression"": 185, ""strong_regression"": 198, ""worst_regression"": 134}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.94,0.8657601511629225,1200,1146,0.955,0.06328402519226074,0.0607956059773763,0.048380228678385415,1.763075590133667e-05,0.5991666666666666,0.6273996509598604,42.755948066711426,78,332,166.0,134,67.0,0.053963727951049804,0.042575381596883136,0.04598496913909912,29,134,"{""gain"": 550, ""neutral"": 79, ""ssim_regression"": 185, ""strong_regression"": 198, ""worst_regression"": 134}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.93,0.8548288609110781,1200,1136,0.9466666666666667,0.06312065442403157,0.0607956059773763,0.04772674560546875,1.750205953915914e-05,0.595,0.6285211267605634,42.755948066711426,74,328,164.0,131,65.5,0.053979225158691406,0.042539879480997723,0.04595419724782308,34,131,"{""gain"": 546, ""neutral"": 79, ""ssim_regression"": 183, ""strong_regression"": 197, ""worst_regression"": 131}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.92,0.8441790582479229,1200,1126,0.9383333333333334,0.06488247553507487,0.0607956059773763,0.049061800638834634,1.7425467570622763e-05,0.5933333333333334,0.6323268206039077,42.755948066711426,72,322,161.0,125,62.5,0.05452134768168131,0.04278399149576823,0.046067306200663245,36,125,"{""gain"": 544, ""neutral"": 77, ""ssim_regression"": 183, ""strong_regression"": 197, ""worst_regression"": 125}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,logistic,input_only,True,0.9,0.8269412436014769,1200,1106,0.9216666666666666,0.06420119921366374,0.0607956059773763,0.04131435394287109,1.6808708508809407e-05,0.585,0.6347197106690777,42.755948066711426,71,313,156.5,121,60.5,0.05376640637715657,0.042355435689290365,0.045572091738382975,46,121,"{""gain"": 534, ""neutral"": 76, ""ssim_regression"": 183, ""strong_regression"": 192, ""worst_regression"": 121}",pure_python_logistic,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,gbdt,input_only,True,1.0,0.36020567241422224,1200,1200,1.0,0.06138484319051107,0.0607956059773763,0.03940761566162109,1.6061415274937946e-05,0.625,0.625,42.755948066711426,97,351,175.5,150,75.0,0.05432997385660807,0.042001349131266276,0.0445552651087443,0,150,"{""gain"": 569, ""neutral"": 83, ""ssim_regression"": 197, ""strong_regression"": 201, ""worst_regression"": 150}",pure_python_boosted_stumps,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,gbdt,input_only,True,0.99,0.36020567241422224,1200,1200,1.0,0.06138484319051107,0.0607956059773763,0.03940761566162109,1.6061415274937946e-05,0.625,0.625,42.755948066711426,97,351,175.5,150,75.0,0.05432997385660807,0.042001349131266276,0.0445552651087443,0,150,"{""gain"": 569, ""neutral"": 83, ""ssim_regression"": 197, ""strong_regression"": 201, ""worst_regression"": 150}",pure_python_boosted_stumps,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,gbdt,input_only,True,0.98,0.36020567241422224,1200,1200,1.0,0.06138484319051107,0.0607956059773763,0.03940761566162109,1.6061415274937946e-05,0.625,0.625,42.755948066711426,97,351,175.5,150,75.0,0.05432997385660807,0.042001349131266276,0.0445552651087443,0,150,"{""gain"": 569, ""neutral"": 83, ""ssim_regression"": 197, ""strong_regression"": 201, ""worst_regression"": 150}",pure_python_boosted_stumps,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,0,gbdt,input_only,True,0.97,0.36020567241422224,1200,1200,1.0,0.06138484319051107,0.0607956059773763,0.03940761566162109,1.6061415274937946e-05,0.625,0.625,42.755948066711426,97,351,175.5,150,75.0,0.05432997385660807,0.042001349131266276,0.0445552651087443,0,150,"{""gain"": 569, ""neutral"": 83, ""ssim_regression"": 197, ""strong_regression"": 201, ""worst_regression"": 150}",pure_python_boosted_stumps,same_as_model_train_due_to_two_fold_source,1200,1200,1200,input_brightness_mean;input_texture_mean
