policy,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,false_reject_good_count,false_accept_severe_count,selected_group_counts
A0_only,2400,2400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,"{""fallback_a0"": 224, ""gain"": 1041, ""neutral"": 163, ""ssim_regression"": 408, ""strong_regression"": 363, ""worst_regression"": 201}"
oracle_choose_A0_L2_L3_L1,2400,2400,1.0,0.14610692818959553,0.13165114084879556,0.15225484212239584,2.852479616800944e-05,0.6541666666666667,0.6541666666666667,42.80718994140625,0,0,0.0,0,0.0,0.13911146561304727,0.12815282821655274,0.13045958280563355,0,0,"{""oracle_A0"": 830, ""oracle_l1_fdf_lite_s004_g025_bm2"": 1285, ""oracle_l2_fdf_lite_s002_g025_bm2"": 183, ""oracle_l3_fdf_lite_s004_g015_bm2"": 102}"
selector_choose_A0_L2_L3_L1,2400,2400,1.0,0.0634087085723877,0.06943435668945312,0.04601318359375,1.759822169939677e-05,0.5833333333333334,0.5833333333333334,42.80718994140625,100,564,141.0,201,50.25,0.05490758021672567,0.042893899281819664,0.046828416188557945,0,201,"{""fallback_a0"": 224, ""gain"": 1041, ""neutral"": 163, ""ssim_regression"": 408, ""strong_regression"": 363, ""worst_regression"": 201}"
l2_fdf_lite_s002_g025_bm2_only,2400,2400,1.0,0.052705670992533364,0.0631551742553711,0.033951975504557294,1.7000635464986167e-05,0.625,0.625,42.80718994140625,176,653,163.25,242,60.5,0.04571020841598511,0.03475157101949056,0.03705832560857137,0,242,"{""gain"": 1104, ""neutral"": 200, ""ssim_regression"": 443, ""strong_regression"": 411, ""worst_regression"": 242}"
l3_fdf_lite_s004_g015_bm2_only,2400,2400,1.0,0.06295862038930257,0.07343692143758138,0.040085767110188804,1.7357170581817626e-05,0.6304166666666666,0.6304166666666666,42.80718994140625,197,685,171.25,278,69.5,0.05660839478174846,0.04419080336888631,0.04714994510014852,0,278,"{""gain"": 1135, ""neutral"": 159, ""ssim_regression"": 421, ""strong_regression"": 407, ""worst_regression"": 278}"
l1_fdf_lite_s004_g025_bm2_only,2400,2400,1.0,0.07118344148000082,0.07974258422851563,0.045330657958984374,1.5355969468752545e-05,0.6308333333333334,0.6308333333333334,42.80718994140625,212,697,174.25,330,82.5,0.06951782862345378,0.05537246704101562,0.059187399546305336,0,330,"{""gain"": 1138, ""neutral"": 137, ""ssim_regression"": 428, ""strong_regression"": 367, ""worst_regression"": 330}"
