coverage,mean_dPSNR,hard_bottom25_dPSNR,dSSIM,positive_ratio,worst_per_600,strong_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,false_reject_good_count,false_accept_severe_count,max_outer_worst_per_600,variant,selector_type,feature_group,deployable,coverage_target,outer_reports,selector_score,strict_gate_pass,relaxed_exploratory_gate_pass,strict_gate_checks,relaxed_gate_checks
0.8979166666666667,0.0756353219350179,0.08129714965820312,1.6929184397061666e-05,0.5829166666666667,63.75,145.25,0.0712602663040161,0.05721162001291911,0.062346882820129394,53.5,127.5,72.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.9,2,0.04455698262850441,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9225,0.07588500181833903,0.08157650629679361,1.6286298632621764e-05,0.595,67.25,151.75,0.0717188278834025,0.057356371879577636,0.06253272533416748,39.5,134.5,73.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.92,2,0.041336952575047825,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9279166666666667,0.07562387625376384,0.08248052597045899,1.661583781242371e-05,0.5979166666666667,68.5,153.25,0.07132326285044352,0.05722892761230469,0.0620543893178304,36.5,137.0,74.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.93,2,0.04005083050727845,False,True,"{""coverage"": false, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9512499999999999,0.0748519484202067,0.08248052597045899,1.716372867425283e-05,0.6091666666666666,73.0,160.25,0.07128671487172444,0.05729311148325602,0.06171043713887532,24.0,146.0,75.0,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.94,2,0.03474008714358009,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9516666666666667,0.07474159558614095,0.08248052597045899,1.7134621739387515e-05,0.6091666666666666,73.25,160.5,0.07126650969187417,0.05732711315155029,0.06174590905507406,24.0,146.5,75.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.95,2,0.03438503686587015,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9675,0.072826140721639,0.08209439595540365,1.7077450950940448e-05,0.6166666666666667,77.5,165.5,0.07066183408101401,0.05650142987569173,0.06051032066345215,15.5,155.0,82.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.96,2,0.028199014822642005,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9716666666666667,0.07358478228251139,0.08209439595540365,1.7029692729314167e-05,0.62,77.5,165.75,0.07125001907348633,0.05690685272216797,0.06102361520131429,12.0,155.0,82.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.97,2,0.02907921746571858,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9829166666666667,0.07317004362742106,0.08209439595540365,1.6627709070841473e-05,0.6254166666666667,79.0,168.5,0.07115432898203533,0.05636664390563965,0.06013026078542073,6.5,158.0,82.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.98,2,0.0271251252969106,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9925,0.07164080937703451,0.08209439595540365,1.5752737720807393e-05,0.6287499999999999,81.0,171.0,0.07046923796335856,0.055716268221537274,0.05957689126332601,2.5,162.0,86.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,0.99,2,0.02358479406038922,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": false, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
0.9983333333333333,0.07140827496846516,0.08191897710164388,1.5974665681521096e-05,0.6308333333333334,82.25,173.25,0.07014965057373046,0.055950109163920084,0.05984126249949137,0.0,164.5,87.5,l1_fdf_lite_s004_g025_bm2,gbdt,deployable_all,True,1.0,2,0.021927133496602372,False,True,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": false, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": false}","{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": true, ""positive_ratio"": true, ""true_vs_normal"": true, ""true_vs_shuffle"": true, ""true_vs_zero"": true, ""worst"": true}"
