candidate,selector_type,feature_group,deployable,outer_fold,target,roc_auc,pr_auc,brier_score,ece,positive_count,eval_count,top_features
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,0,strong_regression,0.5803962429404126,0.5894492905619608,0.20479237282761636,0.0088132067494358,351,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,0,ssim_regression,0.5235077767727021,0.4157500625296175,0.22052911733607986,0.021395834687683787,396,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,0,good_action,0.5472408351946306,0.5936377574182461,0.248561785623247,0.011282563372056771,594,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,0,severe_regression,0.6137650793650794,0.18493106373691534,0.20096137285676524,0.2605083024627298,150,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,0,strong_regression,0.5699784227463851,0.3467932104768246,0.24319002059590877,0.16876675508879285,351,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,0,ssim_regression,0.5558602191064878,0.3763427239129916,0.22788456707097923,0.08768458289834234,396,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,0,good_action,0.5586892022535587,0.5488653156120126,0.2525541342057664,0.05931618268639057,594,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,0,severe_regression,0.560952380952381,0.629518136572024,0.1078675896552916,0.011992546271570495,150,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,0,strong_regression,0.5803962429404126,0.5894492905619608,0.20479237282761636,0.0088132067494358,351,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,0,ssim_regression,0.5235077767727021,0.4157500625296175,0.22052911733607986,0.021395834687683787,396,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,0,good_action,0.5472408351946306,0.5936377574182461,0.248561785623247,0.011282563372056771,594,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,0,severe_regression,0.6032126984126984,0.17624605506025856,0.20249673412143307,0.25779317781258243,150,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;dta_stage2_feature_gate_mean;input_texture_mean;input_brightness_mean
