variant,outer_fold,inner_calibration_fold,feature,direction,threshold,calibration_objective,calibration_coverage,coverage,selected_mean,selected_hard,selected_dssim,selected_positive_ratio,all_image_positive_ratio,worst,true_vs_zero,true_vs_shuffle,true_vs_normal
l1_fdf_lite_s004_g025_bm2,0,"1,2,3,4",input_brightness_mean,>=,0.6487957954406738,-0.13277844636175368,0.2,0.19333333333333333,0.010470923317803277,0.03270313262939453,1.5326672130160861e-06,0.6522988505747126,0.12611111111111112,37,0.015121208826700845,0.011467429267035591,0.012193368275960287
l1_fdf_lite_s004_g025_bm2,1,"0,2,3,4",input_brightness_mean,>=,0.6497910737991333,-0.14692244993845624,0.2,0.17666666666666667,0.01216738912794325,0.018622940911187064,1.8488036261664496e-06,0.6352201257861635,0.11222222222222222,28,0.017577310138278537,0.013389083014594185,0.015222293006049261
l1_fdf_lite_s004_g025_bm2,2,"0,1,3,4",dta_stage2_feature_delta_abs_mean,<=,0.02275097630918026,-0.14735054198768405,0.2,0.22055555555555556,0.011151329676310221,0.00420202891031901,-3.2916300826602515e-05,0.6473551637279596,0.14277777777777778,30,0.02061717351277669,0.016301922268337675,0.016914566887749567
l1_fdf_lite_s004_g025_bm2,3,"0,1,2,4",input_brightness_mean,>=,0.6469579458236694,-0.1557769796040323,0.2,0.22333333333333333,0.011620560752020942,0.03297917260064019,-2.0336773660447864e-06,0.6044776119402985,0.135,35,0.02114101939731174,0.01610051367017958,0.01869391335381402
l1_fdf_lite_s004_g025_bm2,4,"0,1,2,3",dta_stage2_feature_delta_abs_mean,<=,0.022870441526174547,-0.15584241123199463,0.2,0.29944444444444446,0.017867985831366645,0.03891368865966797,-3.713071346282959e-06,0.6326530612244898,0.18944444444444444,44,0.020596462885538735,0.01493213865492079,0.016584130393134222
l2_fdf_lite_s002_g025_bm2,0,"1,2,3,4",input_brightness_mean,>=,0.6487957954406738,-0.09042607822550668,0.2,0.19333333333333333,0.007563956578572591,0.02627963172064887,1.4946858088175457e-06,0.6551724137931034,0.12666666666666668,29,0.010207094616360135,0.0074127716488308374,0.007883221308390299
l2_fdf_lite_s002_g025_bm2,1,"0,2,3,4",input_brightness_mean,>=,0.6497910737991333,-0.10553998854955038,0.2,0.17666666666666667,0.008351804945203992,0.01392917209201389,2.263188362121582e-06,0.6194968553459119,0.10944444444444444,19,0.011521849102444118,0.008315486907958984,0.009487295150756836
l2_fdf_lite_s002_g025_bm2,2,"0,1,3,4",depth_mean,<=,1.3683215618133544,-0.08922335841125911,0.2,0.20833333333333334,0.010393519931369357,0.02737216525607639,4.897316296895345e-06,0.6106666666666667,0.1272222222222222,31,0.01420933935377333,0.010922617382473417,0.01138504981994629
l2_fdf_lite_s002_g025_bm2,3,"0,1,2,4",depth_mean,<=,1.379038143157959,-0.10856871931287977,0.2,0.23833333333333334,0.019153725306193033,0.03668937259250217,4.219412803649903e-06,0.6876456876456877,0.1638888888888889,25,0.021581188837687174,0.014458695517645942,0.016511997646755643
l2_fdf_lite_s002_g025_bm2,4,"0,1,2,3",depth_mean,<=,1.3519322633743285,-0.11347649211883547,0.2,0.17833333333333334,0.012701138390435112,0.03685257805718316,5.665222803751628e-06,0.719626168224299,0.12833333333333333,14,0.014911149342854818,0.010561561584472657,0.012158169216579862
l3_fdf_lite_s004_g015_bm2,0,"1,2,3,4",input_brightness_mean,>=,0.6487957954406738,-0.10718394227027894,0.2,0.19333333333333333,0.009355753792656792,0.030571564568413628,2.004139953189426e-06,0.6609195402298851,0.12777777777777777,31,0.012547147538926866,0.009353452258639865,0.009932318793402778
l3_fdf_lite_s004_g015_bm2,1,"0,2,3,4",input_brightness_mean,>=,0.6497910737991333,-0.1225300163878335,0.2,0.17666666666666667,0.010626215404934353,0.017282100253634983,2.502368556128608e-06,0.6226415094339622,0.11,21,0.014252734714084201,0.010586769315931532,0.012044981850518121
l3_fdf_lite_s004_g015_bm2,2,"0,1,3,4",depth_mean,<=,1.3683215618133544,-0.1143792457766003,0.2,0.20833333333333334,0.011870813369750977,0.03144858890109592,5.293190479278565e-06,0.6053333333333333,0.12611111111111112,31,0.017242879867553712,0.013550374772813584,0.014141509797837999
l3_fdf_lite_s004_g015_bm2,3,"0,1,2,4",depth_mean,<=,1.379038143157959,-0.12325848777294159,0.2,0.23833333333333334,0.022209275563557944,0.0418629879421658,4.180934694078234e-06,0.6946386946386947,0.16555555555555557,34,0.02675264358520508,0.01844373173183865,0.020962085723876953
l3_fdf_lite_s004_g015_bm2,4,"0,1,2,3",dta_stage2_feature_delta_abs_mean,<=,0.02458507865667343,-0.13317687027189468,0.2,0.33611111111111114,0.018606458240085177,0.03858626047770182,-1.082022984822591e-06,0.6495867768595042,0.21833333333333332,46,0.019323000378078884,0.013931167390611437,0.015381194220648872
