split,severity,independent_scenes,tau_mean,tau_median,true_rmse_mean,permuted_rmse_mean,negative_control_improvement_mean,negative_control_pass_rate,q_pass_rate
definition,light,1000,0.4092924113533501,0.4021051847031477,0.0019766934554562945,0.07369578388924114,0.07171909043378484,1.0,1.0
definition,middle,1000,0.7250227039567058,0.7154364146436847,0.0021769426742294326,0.10247351147432693,0.1002965688000975,1.0,1.0
definition,heavy,1000,1.1171007759275793,1.1247147908236346,0.002309827090795447,0.11799006319363647,0.115680236102841,1.0,1.0
validation,light,1000,0.4559277755356725,0.4390146419949048,0.0017667815520566001,0.054622427970909194,0.0528556464188526,1.0,1.0
validation,middle,1000,0.8103063469272604,0.8076917063395976,0.0018099983932457118,0.07247660671447767,0.07066660832123196,1.0,1.0
validation,heavy,1000,1.2559929186917138,1.2513137588975778,0.0018043712941537117,0.07624440105642401,0.07444002976227031,1.0,1.0
