bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant,selected_threshold
0,0.0,0.2,88294,0.10130773484706879,0.2938928008079529,d7_0_d6c_identity,0.41755766421556473
1,0.2,0.33,54654,0.2645072042942047,0.3261961340904236,d7_0_d6c_identity,0.41755766421556473
2,0.33,0.66,128476,0.49220237135887146,0.35213130712509155,d7_0_d6c_identity,0.41755766421556473
3,0.66,0.8,48749,0.728350043296814,0.3735616207122803,d7_0_d6c_identity,0.41755766421556473
4,0.8,1.000001,73043,0.9102902412414551,0.37924325466156006,d7_0_d6c_identity,0.41755766421556473
