canary_name,epoch,param_group,grad_l2_before_clip,grad_l2_after_clip,clip_coef,update_l2,weight_l2,weight_std,bias_mean,bias_delta,loss
canary32,1,mid_context,0.00033242725238082543,3.716705082595494e-06,0.019119509558392537,0.5066387148042736,4.193663120269775,0.02519182488322258,-0.007971314713358879,0.02385551997538556,3.3758199447765946
canary32,1,mid_risk,0.6756588798106036,0.007057249914967825,0.019119509558392537,0.10221077657244608,3.531160354614258,0.1069876030087471,-0.036100540310144424,0.016849341474019144,3.3758199447765946
canary32,1,final_context,0.00011567937955275576,1.3754169003183303e-06,0.019119509558392537,0.6215664077692077,6.056784629821777,0.02951453998684883,-0.003413289552554488,0.035096942669071075,3.3758199447765946
canary32,1,final_risk,0.6780401578279213,0.007084827129273327,0.019119509558392537,0.10240492035476297,3.5396955013275146,0.10726233571767807,-0.0712994784116745,0.01748738511547935,3.3758199447765946
canary32,1,other_trainable,0.0,0.0,0.019119509558392537,0.0,0.0,0.0,nan,0.0,3.3758199447765946
canary32,2,mid_context,0.000725995811299865,7.744816967745963e-06,0.019153728778918192,0.4556456321639699,3.7886688709259033,0.0227589700371027,-0.007458863779902458,0.021994708746278936,3.375684743747115
canary32,2,mid_risk,0.6744009909075166,0.007057111260798471,0.019153728778918192,0.09868459450086949,3.4523701667785645,0.10460120439529419,-0.03621560335159302,0.015917346794181646,3.375684743747115
canary32,2,final_context,0.00016304873164604602,1.8259564033938666e-06,0.019153728778918192,0.5544659854556979,5.6175408363342285,0.02737409807741642,-0.0032511267345398664,0.03265685941827273,3.375684743747115
canary32,2,final_risk,0.6768531267655535,0.007084962703489198,0.019153728778918192,0.09898789067104558,3.4605917930603027,0.10486513376235962,-0.07033373415470123,0.01687715134501009,3.375684743747115
canary32,2,other_trainable,0.0,0.0,0.019153728778918192,0.0,0.0,0.0,nan,0.0,3.375684743747115
canary32,3,mid_context,0.0010679441713511851,1.1242375272255374e-05,0.019185514063752258,0.40811530367031706,3.4195356369018555,0.02054153010249138,-0.006946163717657328,0.02014760801089664,3.3755752285942435
canary32,3,mid_risk,0.6732166748830217,0.007057257510382218,0.019185514063752258,0.09522458702059654,3.3759725093841553,0.1022871881723404,-0.03632425516843796,0.015119780289615747,3.3755752285942435
canary32,3,final_context,0.00020440621057783275,2.206746640864688e-06,0.019185514063752258,0.49294491371417976,5.22210693359375,0.025447161868214607,-0.003069245023652911,0.03035122001890814,3.3755752285942435
canary32,3,final_risk,0.6756850196156007,0.007084812895404157,0.019185514063752258,0.09564843938442298,3.3838813304901123,0.10254041105508804,-0.0694306269288063,0.016325901499979558,3.3755752285942435
canary32,3,other_trainable,0.0,0.0,0.019185514063752258,0.0,0.0,0.0,nan,0.0,3.3755752285942435
canary32,4,mid_context,0.001348765560147407,1.4176289471725091e-05,0.019212854524421855,0.3679153310444659,3.082982301712036,0.018519800156354904,-0.006439969874918461,0.018423014570035198,3.3753148019313812
canary32,4,mid_risk,0.6721879011195944,0.0070575625322194056,0.019212854524421855,0.0921603043630805,3.3018810749053955,0.1000429317355156,-0.03642992675304413,0.014528935985107225,3.3753148019313812
canary32,4,final_context,0.0002512392343912167,2.694599520863625e-06,0.019212854524421855,0.4417916650792955,4.865126609802246,0.023707600310444832,-0.0028765746392309666,0.028395709094688058,3.3753148019313812
canary32,4,final_risk,0.6746230768219209,0.007084503619688301,0.019212854524421855,0.09265065222283421,3.3094847202301025,0.10028577595949173,-0.06857971101999283,0.01588677076131258,3.3753148019313812
canary32,4,other_trainable,0.0,0.0,0.019212854524421855,0.0,0.0,0.0,nan,0.0,3.3753148019313812
canary32,5,mid_context,0.001488317077237833,1.5611379460377064e-05,0.019241278984561162,0.3328632895836965,2.7760276794433594,0.016675880178809166,-0.005943091586232185,0.01692534975413646,3.37534695956856
canary32,5,mid_risk,0.6712093650338139,0.0070581431160702006,0.019241278984561162,0.08939548159907727,3.22996187210083,0.09786444902420044,-0.03653959929943085,0.014017520373413743,3.37534695956856
canary32,5,final_context,0.00025092058951707536,2.7040860430726716e-06,0.019241278984561162,0.39802187818123086,4.541863441467285,0.022132327780127525,-0.002689252607524395,0.02666808630297927,3.37534695956856
canary32,5,final_risk,0.6735556479464418,0.007083922462708815,0.019241278984561162,0.08988813875911583,3.2372782230377197,0.09809749573469162,-0.06777282059192657,0.015482401975303662,3.37534695956856
canary32,5,other_trainable,0.0,0.0,0.019241278984561162,0.0,0.0,0.0,nan,0.0,3.37534695956856
