feature_set,fold,feature_dim,row_count,finite_ratio,channel_zero_variance_count,feature_l2_mean,feature_l2_std,feature_abs_mean,feature_std_mean,feature_std_p01,feature_std_p50,feature_std_p99,nan_count,inf_count
A_mid_ll_pooled,0,128,480,1.0,0,1.6489622592926025,0.57557213306427,0.055087048560380936,0.04487911984324455,0.006041403505951166,0.018011964857578278,0.6526646059751527,0,0
A_mid_ll_pooled,1,128,480,1.0,0,1.6463522911071777,0.5333164930343628,0.05543648451566696,0.04466662183403969,0.006138121876865625,0.016957742162048817,0.6783365392684955,0,0
A_mid_ll_pooled,2,128,480,1.0,0,1.6568711996078491,0.5588481426239014,0.05579535290598869,0.0452677458524704,0.006274280515499413,0.01829706970602274,0.6667986518144624,0,0
B_final_ll_pooled,0,64,480,1.0,0,0.6483268141746521,0.36681145429611206,0.02907273732125759,0.02529260143637657,0.0022054476663470267,0.0058374227955937386,0.33483925908803924,0,0
B_final_ll_pooled,1,64,480,1.0,0,0.6265950798988342,0.33741295337677,0.028469987213611603,0.02475569024682045,0.0021462286042515186,0.005758976098150015,0.31637062698602664,0,0
B_final_ll_pooled,2,64,480,1.0,0,0.6338522434234619,0.3482469618320465,0.028659923002123833,0.025048643350601196,0.0024837161879986526,0.005869880551472306,0.3230908235907553,0,0
C_final_ll_mid_global_context,0,192,480,1.0,32,0.6507522463798523,0.3661753237247467,0.011323904618620872,0.009368023835122585,0.0,0.0017404778627678752,0.16958969548344666,0,0
C_final_ll_mid_global_context,1,192,480,1.0,32,0.6291354298591614,0.33687594532966614,0.011194143444299698,0.009131849743425846,0.0,0.00160201545804739,0.160991176962853,0,0
C_final_ll_mid_global_context,2,192,480,1.0,32,0.6363990306854248,0.3475262224674225,0.011263320222496986,0.009391685016453266,0.0,0.002003832720220089,0.16713221579790166,0,0
D_risk_hidden_before_final_1x1,0,64,480,1.0,32,0.26554539799690247,0.0,0.029990222305059433,5.144406567403337e-10,0.0,2.999562057071081e-11,2.668705043618047e-09,0,0
D_risk_hidden_before_final_1x1,1,64,480,1.0,23,0.2138504981994629,3.838435347347513e-08,0.022879671305418015,4.940577946754843e-10,0.0,3.020903110995121e-10,1.939843841114452e-09,0,0
D_risk_hidden_before_final_1x1,2,64,480,1.0,28,0.10739758610725403,2.2351741790771484e-08,0.009866162203252316,1.4291179351033634e-10,0.0,3.3292354983949224e-11,8.67700759021872e-10,0,0
E_v221_cached_scalar_positive_control,0,31,480,1.0,1,59.958763122558594,4.609498977661133,3.724727153778076,0.8160293102264404,0.0002891132666263729,0.2445569783449173,4.087245154380797,0,0
E_v221_cached_scalar_positive_control,1,31,480,1.0,1,59.92368698120117,4.621243953704834,3.7497098445892334,0.8408952355384827,0.00034245477290824057,0.2465740293264389,4.102574396133423,0,0
E_v221_cached_scalar_positive_control,2,31,480,1.0,1,59.84332275390625,4.545746326446533,3.7900774478912354,0.8418136835098267,0.0003112540114670992,0.26730313897132874,4.090850853919982,0,0
F_current_features_plus_v221_scalar,0,479,480,1.0,65,59.99534606933594,4.592663288116455,0.2682085633277893,0.07193908095359802,0.0,0.0049482183530926704,2.1020849609375034,0,0
F_current_features_plus_v221_scalar,1,479,480,1.0,56,59.958641052246094,4.606753826141357,0.2688361406326294,0.07332517206668854,0.0,0.004836014937609434,2.2536864995956463,0,0
F_current_features_plus_v221_scalar,2,479,480,1.0,61,59.87892150878906,4.529824733734131,0.2698589563369751,0.07368853688240051,0.0,0.004977261647582054,2.324451198577885,0,0
