prefix,epoch,loss,train_count,train_auc,train_ap,train_prob_mean,train_prob_std,train_target_mae,train_hidden_std_mean
canary32,1,3.375810921192169,32,0.875,0.9123210801879281,0.18246383545920253,1.1282848071321112e-06,0.49831050148964096,0.047569590620696545
canary32,2,3.375689878128469,32,0.86328125,0.9045463217338219,0.1825166093185544,1.6099523665655032e-06,0.4983102495668845,0.0461924938717857
canary32,3,3.3755944026634097,32,0.8671875,0.9062446912990393,0.18253772286698222,1.700743880984898e-06,0.4983101727327721,0.04486516187898815
canary32,4,3.3753341240808368,32,0.875,0.9123210801879281,0.18253392726182938,1.64827994089603e-06,0.498310187168272,0.04357377113774419
canary32,5,3.3753815880045295,32,0.875,0.9123210801879281,0.18253773776814342,1.5137919359931786e-06,0.4983102695903199,0.04231036198325455
canary32,6,3.375469676218927,32,0.875,0.9123210801879281,0.1825354490429163,1.3172246691483037e-06,0.4983103780893998,0.041087113437242806
canary32,7,3.3754361318424344,32,0.87890625,0.9141738469863471,0.18256507720798254,1.0899637772485956e-06,0.49831051313117314,0.03990312933456153
canary32,8,3.3757821954786777,32,0.8828125,0.9163895580226225,0.1825242624618113,9.537060345065208e-07,0.4983105881026404,0.038728990009985864
canary32,9,3.375635971315205,32,0.896484375,0.9237098419054064,0.1825047698803246,7.963215115786383e-07,0.4983106803035753,0.037606040365062654
canary32,10,3.3757267082110047,32,0.8984375,0.9241104829310475,0.18253715615719557,6.428952854271806e-07,0.49831077762678433,0.036493216175585985
canary32,11,3.375422541052103,32,0.8828125,0.9146946803196804,0.1826370945200324,5.000907384894128e-07,0.49831087634697724,0.03541160316672176
canary32,12,3.374774164520204,32,0.88671875,0.9163720510198214,0.1826453534886241,4.0551692845916975e-07,0.4983109331576543,0.03435649594757706
canary32,13,3.3752670455724,32,0.90625,0.9337622549019609,0.18254890339449048,3.0942307807543614e-07,0.49831098670870233,0.03332028933800757
canary32,14,3.3751343097537756,32,0.900390625,0.9313849027514232,0.18262870283797383,2.327258462795084e-07,0.4983110388627665,0.032325115404091775
canary32,15,3.375346999615431,32,0.908203125,0.9365932360847565,0.18261099327355623,1.7640882006658831e-07,0.4983110719247179,0.031342670670710504
canary32,16,3.3747677067294717,32,0.900390625,0.9202267135141897,0.1827036878094077,1.3400369420868188e-07,0.49831110265836287,0.030391995795071125
canary32,17,3.374953545629978,32,0.916015625,0.9404543364459536,0.18262682715430856,1.0818485315413162e-07,0.4983111161625402,0.029442260914947838
canary32,18,3.374733319506049,32,0.900390625,0.9162437343358396,0.18269465025514364,7.4032822601524e-08,0.49831113991126585,0.028544226195663214
canary32,19,3.3748400704935193,32,0.916015625,0.9351089417091115,0.18261874420568347,5.372488272291443e-08,0.4983111524841206,0.027654565405100584
canary32,20,3.374565202742815,32,0.8984375,0.9169384057971015,0.18274507950991392,3.6772502627968106e-08,0.4983111641256528,0.026787883776705712
canary32,21,3.37442824896425,32,0.88671875,0.8766447368421053,0.1826945450156927,2.7056483638163562e-08,0.49831116971358824,0.025930435280315578
canary32,22,3.374500990845263,32,0.875,0.8693181818181818,0.1827213205397129,2.26600562419676e-08,0.49831117250755597,0.02512066042982042
canary32,23,3.3745407834649086,32,0.791015625,0.7946428571428572,0.18267917959019542,1.6963114589533754e-08,0.4983111785611527,0.02432116837007925
canary32,24,3.37471573241055,32,0.853515625,0.8487903225806451,0.18267739797011018,1.4718138267546061e-08,0.49831117669850755,0.02354542858665809
canary32,25,3.374514258466661,32,0.625,0.5721153846153846,0.1827159198001027,5.816107614336906e-09,0.498311185546072,0.02278851915616542
canary32,26,3.374206680804491,32,0.75,0.75,0.18279265239834785,6.452392069879462e-09,0.49831118368342686,0.02205358463106677
canary32,27,3.374101646244526,32,0.71875,0.6426630434782609,0.1827491926960647,6.6996992425705116e-09,0.49831118414908815,0.02131762431235984
canary32,28,3.3741188999265432,32,0.53125,0.53125,0.18277937220409513,2.5926923206215825e-09,0.4983111869430559,0.020617242844309658
canary32,29,3.373939366079867,32,0.5625,0.5334821428571428,0.18277212791144848,4.928095845625905e-09,0.4983111864773946,0.019923064566683024
canary32,30,3.3740027863532305,32,0.5,0.5,0.1827797293663025,0.0,0.49831118740871716,0.019246199226472527
canary32,31,3.374215048737824,32,0.5,0.5,0.18279273808002472,0.0,0.49831118740871716,0.018588413193356246
canary32,32,3.3738963715732098,32,0.5,0.5,0.18280872702598572,0.0,0.49831118740871716,0.017954181355889887
