variant,loss_mode,lr,weight_decay,grad_clip_norm,tiny_nonzero_init,epochs,train_count,val_count,train_auc,train_ap,train_prob_mean,train_prob_std,train_target_mae,val_auc,val_ap,val_prob_mean,val_prob_std,val_target_mae,val_ece10,risk_mid_final_weight_std,risk_final_final_weight_std,pass_line_auc,pass_line_prob_std,decision
baseline_soft_bce_scale_clip_wd1e-4,soft_bce_scale,0.0001,0.0001,0.01,False,3,192,96,0.7063473053892215,0.265431335218571,0.17932550135689476,3.7987858167491466e-07,0.2196927647336603,0.6883780332056194,0.3021598673772587,0.1793254908795158,3.9755427684833564e-07,0.24477830140858714,0.0855754908795158,0.009831232950091362,0.008945103734731674,False,False,fail
bce_only,bce_only,0.0001,0.0001,0.01,False,3,192,96,0.7164071856287425,0.29716468726383194,0.09042404433906388,0.012669402693216194,0.21360136363750826,0.6807151979565773,0.3158757596959844,0.08890616144041512,0.011505768381961306,0.2526545986838755,0.08429531018858447,0.04623393341898918,0.05001077800989151,False,False,fail
no_grad_clip,soft_bce_scale,0.0001,0.0001,,False,3,192,96,0.7288622754491018,0.2857141453144496,0.2213648816687055,0.034871122242085016,0.2203468436566709,0.7343550446998723,0.3956978206978207,0.22001420155478021,0.03731538015236748,0.23632341553153915,0.12626420155478021,0.02097935602068901,0.01925508677959442,False,False,fail
lr_3e_4,soft_bce_scale,0.0003,0.0001,0.01,False,3,192,96,0.5,0.13020833333333334,0.1729430928826332,0.0,0.2185610625967911,0.5,0.09375,0.1729430928826332,0.0,0.24480970436403973,0.07919309288263321,0.02949841134250164,0.03074871376156807,False,False,fail
lr_1e_3,soft_bce_scale,0.001,0.0001,0.01,False,3,192,96,0.5,0.13020833333333334,0.15238665789365768,0.0,0.21592505408890852,0.5,0.09375,0.15238665789365768,0.0,0.2452948742205384,0.058636657893657684,0.08046367019414902,0.07949665933847427,False,False,fail
weight_decay_0,soft_bce_scale,0.0001,0.0,0.01,False,3,192,96,0.7413173652694611,0.31873616349656053,0.16084697501113018,0.019830786376774844,0.21077920563182792,0.7381864623243933,0.4353782615514275,0.15900456241797656,0.021454215015396252,0.23802459848896737,0.06525456241797656,0.019503278657794,0.012599794194102287,False,False,fail
tiny_nonzero_init,soft_bce_scale,0.0001,0.0001,0.01,True,3,192,96,0.704191616766467,0.2818572409756039,0.17931896452015886,4.6686702916813246e-07,0.21969152696715355,0.6832694763729247,0.2946824651769349,0.1793189599023511,4.881911680633166e-07,0.24477827525394483,0.08556895990235111,0.01002528052777052,0.010193674825131893,False,False,fail
logit_target_mse,logit_mse,0.0001,0.0001,0.01,False,3,192,96,0.7167664670658682,0.28799824556025827,0.17923275117451945,4.4498962851237154e-07,0.219675346828429,0.7049808429118773,0.30523597417192866,0.17923274791489044,4.654090375284511e-07,0.244778263379582,0.08548274791489044,0.010291984304785728,0.010110406205058098,False,False,fail
class_balanced_bce,balanced_bce,0.0001,0.0001,0.01,False,3,192,96,0.7178443113772455,0.29318430175636345,0.1029435129094054,0.014034664620691112,0.21262766971896477,0.6781609195402298,0.3258760251310325,0.10161040587505947,0.013828764806030182,0.2490860086563771,0.00786040587505947,0.04658864811062813,0.05173467472195625,False,False,fail
focal_bce,focal_bce,0.0001,0.0001,0.01,False,3,192,96,0.7192814371257485,0.30778020328570166,0.12115656716438632,0.026041662621734008,0.21111388229739228,0.6781609195402298,0.315594421228224,0.11896988656371832,0.027014766754125015,0.24526956890561755,0.039257722441107035,0.05189080908894539,0.05108373612165451,False,False,fail
