variant,epoch,loss,train_auc,train_prob_std,train_target_mae,val_auc,val_prob_std,val_target_mae,mid_risk_weight_std,final_risk_weight_std,hidden_std_mean
baseline_soft_bce_scale_clip_wd1e-4,1,1.4128641958038013,0.6852694610778444,1.3427018864028113e-06,0.22004321520967096,0.6756066411238825,1.3805078344885464e-06,0.24477812554384096,0.0037350342608988285,0.003301996039226651,0.044231276609934866
baseline_soft_bce_scale_clip_wd1e-4,2,1.4140889442836244,0.7130538922155688,5.347557797760714e-07,0.2198629521374187,0.6871008939974457,5.494111177051796e-07,0.24477828705069746,0.006859755143523216,0.006177335511893034,0.04108670963129649
baseline_soft_bce_scale_clip_wd1e-4,3,1.4153250210608046,0.7063473053892215,3.7987858167491466e-07,0.2196927647336603,0.6883780332056194,3.9755427684833564e-07,0.24477830140858714,0.009831232950091362,0.008945103734731674,0.039519556099548936
bce_only,1,0.7916453344126543,0.7180838323353294,2.779954793931403e-05,0.21919542943722567,0.6960408684546615,2.931232845497132e-05,0.24477140783650006,0.014344061724841595,0.014186857268214226,0.059724504865395524
bce_only,2,0.7880911758790413,0.7202395209580839,0.00044463870648617926,0.2177630332761661,0.6909323116219668,0.00046524255152618647,0.2448105031283679,0.030818093568086624,0.030395204201340675,0.07617967451612155
bce_only,3,0.771806376054883,0.7164071856287425,0.012669402693216194,0.21360136363750826,0.6807151979565773,0.011505768381961306,0.2526545986838755,0.04623393341898918,0.05001077800989151,1.3319078255444765
no_grad_clip,1,1.4111591773107648,0.7192814371257485,8.504878852574283e-05,0.22058144577287445,0.7100893997445722,9.089416679487158e-05,0.24476647865655346,0.00424839137122035,0.004390200134366751,0.05506610288284719
no_grad_clip,2,1.4069610312581062,0.724311377245509,0.003537136741725549,0.22056000952117452,0.7241379310344828,0.0037798361264469818,0.24381126680418674,0.010809344239532948,0.010725312866270542,0.12200964638032019
no_grad_clip,3,1.3719486367578309,0.7288622754491018,0.034871122242085016,0.2203468436566709,0.7343550446998723,0.03731538015236748,0.23632341553153915,0.02097935602068901,0.01925508677959442,0.5522922828483084
lr_3e_4,1,1.4155256478115916,0.7251497005988023,6.628972596517765e-07,0.21964993999934754,0.7075351213282248,6.97179119117706e-07,0.2447782147955877,0.010617222636938095,0.011230611242353916,0.03996471494125823
lr_3e_4,2,1.4191765302481751,0.671497005988024,6.360250602335959e-09,0.21902969379417905,0.7758620689655172,6.463118470808454e-09,0.24477840501822357,0.021367738023400307,0.022394388914108276,0.040992051789847515
lr_3e_4,3,1.4224390950985253,0.5,0.0,0.2185610625967911,0.5,0.0,0.24480970436403973,0.02949841134250164,0.03074871376156807,0.04233986511826515
lr_1e_3,1,1.4155676276423037,0.5,0.0,0.21862137628848663,0.5,0.0,0.2448021651525778,0.02950725518167019,0.029260417446494102,0.03585409000515938
lr_1e_3,2,1.4471313298369448,0.5,0.0,0.21669541897692093,0.5,0.0,0.24509124659319545,0.06530839949846268,0.0644678995013237,0.05339304730296135
lr_1e_3,3,1.4518529553897679,0.5,0.0,0.21592505408890852,0.5,0.0,0.2452948742205384,0.08046367019414902,0.07949665933847427,0.05846669152379036
weight_decay_0,1,1.412683695865174,0.73437125748503,0.00014712974789962065,0.21997839810766587,0.722860791826309,0.00015681960114801826,0.24472966611392621,0.0038995789363980293,0.004039584193378687,0.05592514617213359
weight_decay_0,2,1.4149863083536427,0.7417964071856288,0.003744686033484207,0.2179021596750772,0.7407407407407407,0.004044204131411555,0.2434424383845908,0.011338925920426846,0.009785821661353111,0.1685971439583227
