fold,bin,lo,hi,count
0,0,0.0,0.1,70
0,1,0.1,0.2,21
0,2,0.2,0.3,12
0,3,0.3,0.4,12
0,4,0.4,0.5,6
0,5,0.5,0.6,9
0,6,0.6,0.7,7
0,7,0.7,0.8,6
0,8,0.8,0.9,4
0,9,0.9,1.0,13
1,0,0.0,0.1,68
1,1,0.1,0.2,26
1,2,0.2,0.3,10
1,3,0.3,0.4,15
1,4,0.4,0.5,4
1,5,0.5,0.6,5
1,6,0.6,0.7,6
1,7,0.7,0.8,6
1,8,0.8,0.9,9
1,9,0.9,1.0,11
2,0,0.0,0.1,67
2,1,0.1,0.2,26
2,2,0.2,0.3,13
2,3,0.3,0.4,5
2,4,0.4,0.5,6
2,5,0.5,0.6,3
2,6,0.6,0.7,10
2,7,0.7,0.8,2
2,8,0.8,0.9,7
2,9,0.9,1.0,21
