feature_set,probe_type,fold_eval,train_folds,train_count,val_count,label_base_rate_train,label_base_rate_val,target_prob_mean_train,target_prob_mean_val,standardization,seed,epochs,lr,weight_decay,train_auc,val_auc,val_ap,val_ap_epsilon_1e-4,val_auc_epsilon_1e-4,val_prob_std,val_target_mae,val_ece10
B_final_ll_pooled,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.9879128723568452,0.6019250475772215,0.19397501437701134,0.19386344585158774,0.6017969550578246,0.273953926183966,0.24505239786569347,0.17793383949362634
B_final_ll_pooled,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.9901892215568863,0.573531047265987,0.1750131983137199,0.17503739952020347,0.573660797034291,0.2929828890619089,0.2740134561500386,0.18973656083140356
C_final_ll_mid_global_context,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8063518080276982,0.6183823825435807,0.2139523280841533,0.21386622299153193,0.6190064012238818,0.2708518436827568,0.2448346961321239,0.14791176767864628
C_final_ll_mid_global_context,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8203040592684057,0.4752598448250622,0.1282004998486885,0.12816143381995948,0.4752415458937198,0.3138333410478493,0.496601520188824,0.5472931362247133
C_final_ll_mid_global_context,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8458155688622755,0.5403151065801668,0.15086388805306342,0.15070536288065303,0.5400185356811863,0.14054388427966558,0.2743698329997462,0.12737082736088892
C_final_ll_mid_global_context,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.556040903418012,0.1605901617688436,0.15809125572205884,0.5564032368452836,0.4180174163101584,0.4681799137190641,0.5431461610375136
C_final_ll_mid_global_context,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.40709632557458647,0.11072485242174623,0.12164768787399982,0.43932074366856977,0.2828238292843126,0.6782151350663981,0.7907646234674075
C_final_ll_mid_global_context,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.49961075069508804,0.13196915768375295,0.12902601677050335,0.4890268767377201,0.144050645084038,0.3119024028162502,0.15242599778815996
D_risk_hidden_before_final_1x1,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.5021040709398797,0.5,0.12291666666666666,0.12291666666666666,0.5,0.0,0.6995449237091634,0.8762358744939168
D_risk_hidden_before_final_1x1,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.5118845500848896,0.5,0.1375,0.1375,0.5,0.0,0.28182252758092546,0.13460871907882394
D_risk_hidden_before_final_1x1,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.531051497005988,0.5,0.13541666666666666,0.13541666666666666,0.5,0.0,0.6494221103585914,0.8147096236546835
D_risk_hidden_before_final_1x1,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.49947513328852017,0.498812351543943,0.12291666666666666,0.12291666666666666,0.5,4.312807083004774e-12,0.2995167741348117,0.12282580434043666
D_risk_hidden_before_final_1x1,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.5138910325667542,0.4420655833699312,0.12868633843204338,0.1375,0.5,4.3097421041561714e-08,0.2724323192423829,0.17045754057665663
D_risk_hidden_before_final_1x1,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.5128431137724551,0.4960704355885079,0.13450956343398207,0.13541666666666666,0.5,2.5574298027865217e-08,0.4703782458997921,0.5724541261792183
E_v221_cached_scalar_positive_control,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9674214311365666,0.9562784331092234,0.735422370466277,0.7351019901438297,0.956258303474375,0.31979967525405506,0.09841340547854997,0.2535245504896011
E_v221_cached_scalar_positive_control,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9664300046303442,0.9545454545454546,0.7524277678457589,0.7524277678457589,0.954563753476797,0.307157050499555,0.06316546123578821,0.17315300484866988
E_v221_cached_scalar_positive_control,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9638994011976048,0.9691195551436516,0.8606916337722669,0.8607071424571304,0.9691195551436516,0.33529984508831623,0.09687099701674622,0.24274981635783963
E_v221_cached_scalar_positive_control,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.984364496910653,0.9586537300213374,0.7400387304476173,0.7402001509480209,0.9586537300213374,0.34323546704522134,0.11071607870294127,0.14143689506268248
E_v221_cached_scalar_positive_control,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.9853468899521531,0.9637681159420289,0.8186660078142071,0.8186660078142071,0.9638047138047138,0.3184922603012612,0.09989025423825329,0.07748079013198517
E_v221_cached_scalar_positive_control,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.9852550898203593,0.963595922150139,0.8225132263092862,0.8225755122015315,0.963595922150139,0.32429986841056035,0.11038061618444862,0.08730071538486209
F_current_features_plus_v221_scalar,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9912430132874152,0.797254317806675,0.43134606613048976,0.38285472481121247,0.7950803172430452,0.26918306966417055,0.5637807160944703,0.7319367967326647
F_current_features_plus_v221_scalar,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9914917425528631,0.8836919923876445,0.5150505571414148,0.5130574340311387,0.8836004977309325,0.28400178526215614,0.451704455381135,0.5952993707886587
F_current_features_plus_v221_scalar,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.9911664670658683,0.7911399443929564,0.45522856324318045,0.4517528214875947,0.7911399443929564,0.398644087286164,0.30187027234432834,0.38135132692501755
F_current_features_plus_v221_scalar,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.8693184105640324,0.48345256863671676,0.12291666666666666,0.5,1.189114274163839e-22,0.29960761745142006,0.12291666666666666
F_current_features_plus_v221_scalar,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.9053579270970575,0.6323270541323595,0.6166109068932154,0.8946896501244327,0.31112735641909106,0.17273031946718265,0.08510479461778886
F_current_features_plus_v221_scalar,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.8338090824837813,0.5348464549499614,0.4801366498269459,0.7515848007414272,0.23004150042149346,0.24185658664482387,0.10009034972587325
