feature_set,probe_type,fold_eval,train_folds,train_count,val_count,label_base_rate_train,label_base_rate_val,target_prob_mean_train,target_prob_mean_val,standardization,seed,epochs,lr,weight_decay,train_auc,val_auc,val_ap,val_ap_epsilon_1e-4,val_auc_epsilon_1e-4,val_prob_std,val_target_mae,val_ece10
A_mid_ll_pooled,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8360390058840321,0.6499456499859092,0.19630957882716188,0.19630957882716188,0.6499456499859092,0.27225879051641055,0.27770494629697473,0.26132386824162196
A_mid_ll_pooled,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.869405000771724,0.6265920070267896,0.2319521305233718,0.2319521305233718,0.626610305958132,0.274560410193687,0.26305347396219836,0.24056190531057378
A_mid_ll_pooled,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8617005988023952,0.6086376274328081,0.2121319006673538,0.21212460246271214,0.6086561631139944,0.2935597480279694,0.27215829238051203,0.2529237295115915
A_mid_ll_pooled,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.6064656387133137,0.18304387429664737,0.1822916494742934,0.6045130641330166,0.2593590631087023,0.2848560799432284,0.156340792446435
A_mid_ll_pooled,mlp,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.6401332162201727,0.2699658424807938,0.2673736498645512,0.6328136436832089,0.22039914535826327,0.24775456651068636,0.13585608537828373
A_mid_ll_pooled,mlp,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,1.0,0.6387395736793328,0.21561102719467756,0.20454595755928065,0.6403707136237257,0.2863104918729446,0.26846475983164997,0.16549400318444027
B_final_ll_pooled,linear,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.7434598845293234,0.6796972502918797,0.2643144455288508,0.2643144455288508,0.6797173799267281,0.2117639651350924,0.2761740517937445,0.3168568963797346
B_final_ll_pooled,linear,1,"0,2",960,480,0.12916666666666668,0.1375,0.3022159111022726,0.28443400694069776,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.7847372279672788,0.6706192358366272,0.22709035841782807,0.2271305346872558,0.6706741326306543,0.24169546120514424,0.2670138130226254,0.2721935308709969
B_final_ll_pooled,linear,2,"0,1",960,480,0.13020833333333334,0.13541666666666666,0.2920208121960589,0.30482420475312516,train_fold_mean_std_clamp_min_1e-6,226,160,0.01,0.001,0.8052215568862275,0.5909545875810936,0.18947283504886214,0.18951884794412166,0.5909545875810936,0.25172938329966504,0.28044546850611973,0.2733515894281785
B_final_ll_pooled,mlp,0,"1,2",960,480,0.13645833333333332,0.12291666666666666,0.29462910584691143,0.29960761745142006,train_fold_mean_std_clamp_min_1e-6,226,160,0.003,0.001,0.9936739748984798,0.6715246185434196,0.23205971174334597,0.2319988268543846,0.6715850074479649,0.2760135398867765,0.2478449047455443,0.1694966093502393
