feature_name,importance_type,importance_value,auc_drop_when_removed,ap_drop_when_removed,sign,notes
oof_fold,linear_probe_leave_one_out_and_standardized_coeff,0.10194689283768336,-0.0014042105263157856,-0.0018311132477085712,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
A0_PSNR,linear_probe_leave_one_out_and_standardized_coeff,0.2240485648314158,0.0021747368421052293,0.006921010324712373,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
candidate_PSNR,linear_probe_leave_one_out_and_standardized_coeff,0.2525840178132057,0.0025915789473683892,0.009067015182290694,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
dPSNR,linear_probe_leave_one_out_and_standardized_coeff,0.4541619122028351,0.006301052631578874,0.016808881200303438,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
o2_oracle_dPSNR,linear_probe_leave_one_out_and_standardized_coeff,0.08917808532714844,0.0024399999999999977,0.008059661689065578,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
o3_oracle_dPSNR,linear_probe_leave_one_out_and_standardized_coeff,0.0674489710169534,0.0024778947368421234,0.007974644573826462,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
o3_minus_o2_dPSNR,linear_probe_leave_one_out_and_standardized_coeff,0.11772777636845906,0.0025410526315788884,0.004599942365110632,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_pred_delta_abs_mean,linear_probe_leave_one_out_and_standardized_coeff,0.21888441344102225,0.0023978947368420434,0.008538341067372168,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_pred_delta_rms,linear_probe_leave_one_out_and_standardized_coeff,0.20025303463141123,0.002435789473684169,0.00805573152386696,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_pred_delta_abs_max,linear_probe_leave_one_out_and_standardized_coeff,0.06048081815242767,0.0025242105263157955,0.007177759107620751,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_pred_spatial_entropy,linear_probe_leave_one_out_and_standardized_coeff,0.4052615314722061,0.002383157894736865,0.00900350477718359,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_pred_local_peak_ratio,linear_probe_leave_one_out_and_standardized_coeff,0.04477312477926413,0.002035789473684213,0.005501141756018013,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_pred_delta_abs_mean,linear_probe_leave_one_out_and_standardized_coeff,0.05178223053614298,0.002705263157894655,0.008860785205939803,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_pred_delta_rms,linear_probe_leave_one_out_and_standardized_coeff,0.13645907739798227,0.0027431578947367807,0.009238144869202713,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_pred_delta_abs_max,linear_probe_leave_one_out_and_standardized_coeff,0.05891146262486776,0.0024273684210526225,0.007707087043687499,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_pred_spatial_entropy,linear_probe_leave_one_out_and_standardized_coeff,0.11831007921136916,0.00165263157894735,0.004588110205318796,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_pred_local_peak_ratio,linear_probe_leave_one_out_and_standardized_coeff,0.21568851669629416,0.0015621052631578092,0.004040948045389348,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_target_delta_abs_mean,linear_probe_leave_one_out_and_standardized_coeff,0.14618688076734543,0.0019052631578947432,0.005436786646551783,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
mid_target_delta_rms,linear_probe_leave_one_out_and_standardized_coeff,0.22682867447535196,0.002162105263157854,0.004813140197375332,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_target_delta_abs_mean,linear_probe_leave_one_out_and_standardized_coeff,0.09175245029230912,0.002098947368420978,0.004853111379304664,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
final_target_delta_rms,linear_probe_leave_one_out_and_standardized_coeff,0.10172472661361098,0.0021200000000000108,0.005376130282942815,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
cosine_to_o3_delta,linear_probe_leave_one_out_and_standardized_coeff,0.08232921237746875,0.0019136842105262897,0.00634434752306956,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
dot_to_o3_delta,linear_probe_leave_one_out_and_standardized_coeff,0.2670743564764659,0.002098947368420978,0.005627624241846596,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
wrong_direction,linear_probe_leave_one_out_and_standardized_coeff,0.2582837591568629,0.0009852631578947113,-0.01641606498014958,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
hard_bottom25,linear_probe_leave_one_out_and_standardized_coeff,0.06804580613970757,0.0021768421052631437,0.004738853993563552,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
easy_top25,linear_probe_leave_one_out_and_standardized_coeff,0.03647618554532528,0.0020084210526315482,0.004132143074804029,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
strong_reference,linear_probe_leave_one_out_and_standardized_coeff,0.014118938066530973,0.0020084210526315482,0.004132143074804029,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
middle50,linear_probe_leave_one_out_and_standardized_coeff,0.01708228886127472,0.0020884210526315172,0.004160053641912409,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
unsafe_action_probability,linear_probe_leave_one_out_and_standardized_coeff,0.42737776041030884,0.004050526315789393,0.013506572632896563,positive,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
risk_scale,linear_probe_leave_one_out_and_standardized_coeff,0.5386742353439331,0.0032463157894736527,0.011862953222961936,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
raw_action_dPSNR,linear_probe_leave_one_out_and_standardized_coeff,0.843464990456899,0.018762105263157913,0.0733607966590728,negative,full_linear_auc=0.9560842105263158; full_linear_ap=0.7678407381313336
