variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,gate_mean_dPSNR_ge_0p15,gate_hard_bottom25_ge_0p25,gate_easy_top25_ge_0,gate_p05_ge_neg0p15,gate_severe_rate_le_0p025,gate_strong_regressions_le_5pct,gate_real_beats_shuffled_by_0p10,gate_pass,control_gap_vs_shuffled
P1_mlp_pooled_ll,all,2400,0.26317835489908853,0.07342147827148438,-2.6291401672363284,-1.164642333984375,-2.0502514680226644,0.8594181060791015,-0.18392913182576498,0.5920833333333333,568,0.23666666666666666,600,303,True,True,False,False,False,False,True,False,0.308957724571228
P1_ridge_pooled_ll,all,2400,0.17127096970876057,0.034801483154296875,-2.2222048950195314,-1.2176177978515625,-1.8198841094970704,0.7243498420715332,-0.2054060173034668,0.5466666666666666,661,0.27541666666666664,600,308,,,,,,,,,
P1_shuffled_target_control,all,2400,-0.04577936967213948,0.023031234741210938,-2.4887778472900393,-1.5460874557495117,-2.108246167500814,0.21211979548136392,-0.46904856999715167,0.5166666666666667,892,0.37166666666666665,600,386,,,,,,,,,
