checkpoint,name,a0_psnr,candidate_psnr,dPSNR,a0_final_l1,candidate_final_l1,delta_final_l1_vs_a0,a0_lowband_l1,candidate_lowband_l1,delta_lowband_l1_vs_a0,preserve_l1_to_a0,image_action_l1,budget_hinge,is_hard_bottom25,is_easy_top25,is_strong_reference,tail_hinge_margin_neg0p15,severe_hinge_margin_neg0p20,preserve_mask_strong_or_easy,preserve_hinge_margin_neg0p05,tail_hinge_active,preserve_hinge_active,positive_sample
model_5,1000_0.74_1.6.png,36.9222412109375,37.31825256347656,0.3960113525390625,0.011689144186675549,0.011210309341549873,-0.0004788348451256752,0.02315281145274639,0.022185884416103363,-0.0009669270366430283,0.0007319722790271044,0.0007319722790271044,0.0,1,0,0,0.0,0.0,0,0.0,0,0,1
model_5,1006_0.89_1.55.png,37.09952926635742,37.16049575805664,0.06096649169921875,0.010160733945667744,0.010112796910107136,-4.793703556060791e-05,0.019575947895646095,0.019470835104584694,-0.00010511279106140137,0.0005543994484469295,0.0005543994484469295,0.0,1,0,0,0.0,0.0,0,0.0,0,0,1
model_5,1010_0.91_1.13.png,39.22648620605469,39.493309020996094,0.26682281494140625,0.008179513737559319,0.007879217155277729,-0.0003002965822815895,0.015936171635985374,0.015324612148106098,-0.0006115594878792763,0.0005797863123007119,0.0005797863123007119,0.0,0,0,0,0.0,0.0,0,0.0,0,0,1
model_5,1017_0.91_1.44.png,33.62205123901367,33.61399841308594,-0.008052825927734375,0.013086038641631603,0.012973305769264698,-0.00011273287236690521,0.025918474420905113,0.025680648162961006,-0.00023782625794410706,0.0007654100772924721,0.0007654100772924721,0.0,1,0,0,0.0,0.0,0,0.0,0,0,0
model_5,1022_0.66_1.05.png,40.141082763671875,40.00214385986328,-0.13893890380859375,0.006343092769384384,0.00635251821950078,9.42545011639595e-06,0.012409505434334278,0.012413490563631058,3.9851292967796326e-06,0.0008348732371814549,0.0008348732371814549,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0
model_5,1030_0.75_1.69.png,38.21989059448242,38.16403579711914,-0.05585479736328125,0.00943535566329956,0.009372121654450893,-6.323400884866714e-05,0.018516503274440765,0.018369056284427643,-0.00014744699001312256,0.0007930380525067449,0.0007930380525067449,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0
model_5,1041_0.64_0.82.png,36.111610412597656,36.2745246887207,0.16291427612304688,0.013342120684683323,0.013090508989989758,-0.00025161169469356537,0.02657441794872284,0.026061054319143295,-0.0005133636295795441,0.0005604845937341452,0.0005604845937341452,0.0,1,0,0,0.0,0.0,0,0.0,0,0,1
model_5,1047_0.89_1.57.png,31.743871688842773,31.602174758911133,-0.14169692993164062,0.020652340725064278,0.021022439002990723,0.000370098277926445,0.04080383479595184,0.041551195085048676,0.0007473602890968323,0.0010307120392099023,0.0010307120392099023,0.0,1,0,0,0.0,0.0,0,0.0,0,0,0
model_5,1051_0.69_0.54.png,42.749366760253906,42.93111801147461,0.18175125122070312,0.005652120802551508,0.005526816472411156,-0.00012530433014035225,0.011028775945305824,0.010780851356685162,-0.0002479245886206627,0.0005408990546129644,0.0005408990546129644,0.0,0,0,0,0.0,0.0,0,0.0,0,0,1
model_5,1057_0.96_1.31.png,40.0328254699707,40.015830993652344,-0.016994476318359375,0.006732962094247341,0.00681770546361804,8.474336937069893e-05,0.012958500534296036,0.013148344121873379,0.000189843587577343,0.0009983249474316835,0.0009983249474316835,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0
model_5,1062_0.58_1.51.png,34.548439025878906,34.606510162353516,0.058071136474609375,0.014689534902572632,0.014480765908956528,-0.00020876899361610413,0.02919881045818329,0.028774727135896683,-0.00042408332228660583,0.0008201702148653567,0.0008201702148653567,0.0,1,0,0,0.0,0.0,0,0.0,0,0,1
