fold,train_count,test_count,target_abs_mean_test,mlp_target_mse,ridge_target_mse,shuffled_target_mse,variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions
0,1920,480,0.002118463162332773,1.890349631139543e-05,2.0819270503125153e-05,3.0631141271442175e-05,,,,,,,,,,,,,,,
1,1920,480,0.002278991974890232,1.8031076251645572e-05,2.1515135813388042e-05,3.4101354685844854e-05,,,,,,,,,,,,,,,
2,1920,480,0.0022157432977110147,2.0381243302836083e-05,2.249943463539239e-05,3.437524719629437e-05,,,,,,,,,,,,,,,
3,1920,480,0.002125329803675413,1.7599109924049117e-05,2.1643123545800336e-05,3.073968400713056e-05,,,,,,,,,,,,,,,
4,1920,480,0.002256571315228939,1.9899551261914894e-05,2.2796673874836415e-05,3.628101330832578e-05,,,,,,,,,,,,,,,
,,,,,,,P1_mlp_pooled_ll,replay_fold0,480,0.19230930407842,0.07435417175292969,-2.4190113067626955,-1.2648361206054688,-1.9928377469380696,0.6998197714487712,-0.21585458119710285,0.5958333333333333,121,0.2520833333333333,120,59
,,,,,,,P1_mlp_pooled_ll,replay_fold1,480,0.3357870697975159,0.08169937133789062,-2.5175235748291014,-1.269278335571289,-2.1526564757029214,1.1297531604766846,-0.1415843963623047,0.5875,116,0.24166666666666667,120,62
,,,,,,,P1_mlp_pooled_ll,replay_fold2,480,0.2608318249384562,0.07557487487792969,-2.9499680328369142,-1.1597934722900392,-2.5250434080759683,0.9442695617675781,-0.2581283251444499,0.58125,111,0.23125,120,60
,,,,,,,P1_mlp_pooled_ll,replay_fold3,480,0.25607775847117104,0.05099678039550781,-2.285538635253906,-0.9151679992675781,-1.7305912971496582,0.7331992467244466,-0.1701641082763672,0.5833333333333334,107,0.22291666666666668,120,60
,,,,,,,P1_mlp_pooled_ll,replay_fold4,480,0.27088581720987953,0.0900726318359375,-2.152068748474121,-1.1160764694213867,-1.7490023771921794,0.8285023053487142,-0.12394965489705403,0.6125,113,0.23541666666666666,120,57
,,,,,,,P1_ridge_pooled_ll,replay_fold0,480,0.14735581477483115,0.03942108154296875,-2.328004493713379,-1.2632699966430665,-1.8768779436747234,0.7042128086090088,-0.19886277516682943,0.5479166666666667,128,0.26666666666666666,120,65
,,,,,,,P1_ridge_pooled_ll,replay_fold1,480,0.2267154057820638,0.025911331176757812,-2.3440678405761717,-1.3106149673461913,-1.833459456761678,0.900296974182129,-0.16643896102905273,0.5541666666666667,123,0.25625,120,61
,,,,,,,P1_ridge_pooled_ll,replay_fold2,480,0.19836338758468627,0.03296470642089844,-2.0226801300048827,-1.2632694244384766,-1.794312318166097,0.8242667357126872,-0.1651778221130371,0.55,130,0.2708333333333333,120,56
,,,,,,,P1_ridge_pooled_ll,replay_fold3,480,0.14007935126622517,0.04287528991699219,-2.234384002685547,-1.1309432983398438,-1.9160313606262207,0.5122766971588135,-0.24524574279785155,0.5479166666666667,124,0.25833333333333336,120,59
,,,,,,,P1_ridge_pooled_ll,replay_fold4,480,0.1438408891359965,0.036449432373046875,-1.807707862854004,-1.1263973236083984,-1.6594286759694417,0.6700966993967692,-0.25272789001464846,0.5333333333333333,156,0.325,120,67
,,,,,,,P1_shuffled_target_control,replay_fold0,480,-0.048149200280507405,0.03271484375,-2.4557504653930664,-1.6138662338256835,-2.185706933339437,0.25022549629211427,-0.5019990603129069,0.51875,173,0.36041666666666666,120,79
,,,,,,,P1_shuffled_target_control,replay_fold1,480,0.026428588231404624,0.077728271484375,-2.26437744140625,-1.455252456665039,-1.8892831802368164,0.3334011713663737,-0.33833176294962564,0.5520833333333334,162,0.3375,120,73
,,,,,,,P1_shuffled_target_control,replay_fold2,480,-0.013214290142059326,0.029449462890625,-2.1100105667114257,-1.3744098663330078,-1.795638084411621,0.23097926775614422,-0.3442318598429362,0.5208333333333334,184,0.38333333333333336,120,69
,,,,,,,P1_shuffled_target_control,replay_fold3,480,-0.07807119687398274,0.01358795166015625,-2.7423873138427735,-1.6532129287719726,-2.2695326805114746,0.18470004399617512,-0.5916820208231608,0.51875,169,0.35208333333333336,120,77
,,,,,,,P1_shuffled_target_control,replay_fold4,480,-0.11589074929555257,-0.05982208251953125,-2.865523452758789,-1.7142393112182617,-2.3030333518981934,0.07825508117675781,-0.6132905006408691,0.47291666666666665,204,0.425,120,88
