variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions
P1_mlp_pooled_ll,all,2400,0.26317835489908853,0.07342147827148438,-2.6291401672363284,-1.164642333984375,-2.0502514680226644,0.8594181060791015,-0.18392913182576498,0.5920833333333333,568,0.23666666666666666,600,303
P1_shuffled_target_control,all,2400,-0.04577936967213948,0.023031234741210938,-2.4887778472900393,-1.5460874557495117,-2.108246167500814,0.21211979548136392,-0.46904856999715167,0.5166666666666667,892,0.37166666666666665,600,386
