checkpoint,count,severe_count,tail_hinge_active_count,tail_hinge_coverage_on_severe,positive_tail_hinge_activation_rate,mean_tail_hinge,mean_severe_hinge
Best,480,24,42,1.0,0.0,0.006681186358133953,0.0034008010228474927
Final,480,39,56,1.0,0.0,0.014709936777750652,0.0096312149365743
model_10,480,38,61,1.0,0.0,0.013873679637908936,0.008859364986419677
model_15,480,26,45,1.0,0.0,0.007306238015492758,0.003668289979298909
model_20,480,39,56,1.0,0.0,0.014709936777750652,0.0096312149365743
model_5,480,67,92,1.0,0.0,0.03921642939249675,0.030996294021606443
