name,oof_fold,variant,A0_PSNR,candidate_PSNR,dPSNR,oracle_dPSNR,pred_delta_abs_mean,pred_delta_rms,target_delta_abs_mean,target_delta_rms,cosine_to_oracle_delta,dot_to_oracle_delta,wrong_direction
2804_0.51_1.83.png,2,P1_mlp_pooled_ll,39.663482666015625,32.96861267089844,-6.6948699951171875,0.058258056640625,0.007630542386323214,0.017097655683755875,0.0008714268915355206,0.0015571903204545379,-0.8973283171653748,-0.0007645037258043885,1
452_0.51_0.55.png,2,P1_mlp_pooled_ll,47.397239685058594,41.276329040527344,-6.12091064453125,0.6697540283203125,0.002597736194729805,0.005443509202450514,0.0009582730708643794,0.0018880225252360106,-0.9530881643295288,-0.00031345064053311944,1
358_0.51_1.67.png,1,P1_mlp_pooled_ll,38.47641372680664,33.7475700378418,-4.728843688964844,0.054538726806640625,0.00690274266526103,0.014898383989930153,0.0022133048623800278,0.003721595508977771,0.22073714435100555,0.0003916460264008492,0
2679_0.72_1.97.png,2,P1_mlp_pooled_ll,42.482444763183594,37.93535614013672,-4.547088623046875,0.23408126831054688,0.004862456116825342,0.011010944843292236,0.000833198893815279,0.00155056978110224,0.6412124037742615,0.0003503223124425858,0
656_0.77_1.82.png,1,P1_mlp_pooled_ll,35.94485855102539,31.520057678222656,-4.424800872802734,2.304515838623047,0.013895420357584953,0.030484920367598534,0.006602850742638111,0.01363346353173256,0.9941877126693726,0.01322238054126501,0
451_0.68_1.78.png,1,P1_mlp_pooled_ll,42.33784484863281,38.29826736450195,-4.039577484130859,0.03714752197265625,0.004283992573618889,0.009432248771190643,0.0020320587791502476,0.002859843196347356,0.012865792959928513,1.1105650628451258e-05,0
1483_0.89_1.89.png,0,P1_mlp_pooled_ll,35.02826690673828,31.27983856201172,-3.7484283447265625,0.5970840454101562,0.0065109580755233765,0.014644150622189045,0.0032392891589552164,0.006742196623235941,-0.7954809665679932,-0.002513306215405464,1
1577_0.86_1.16.png,0,P1_mlp_pooled_ll,42.62694549560547,38.89046096801758,-3.7364845275878906,0.07122421264648438,0.0033545996993780136,0.007251393981277943,0.0011929369065910578,0.002110091270878911,-0.7287585139274597,-0.000356825883500278,1
1702_0.69_0.67.png,2,P1_mlp_pooled_ll,45.464256286621094,41.84550857543945,-3.6187477111816406,0.37288665771484375,0.0023114969953894615,0.004459833260625601,0.0011741685448214412,0.0018184257205575705,-0.5063261389732361,-0.00013139973452780396,1
2903_0.67_0.55.png,1,P1_mlp_pooled_ll,44.44679260253906,40.86562728881836,-3.581165313720703,0.013156890869140625,0.0029483193065971136,0.006360196508467197,0.0009673882159404457,0.0015207418473437428,0.06880805641412735,2.1296844352036715e-05,0
305_0.65_1.24.png,3,P1_mlp_pooled_ll,38.88999557495117,35.319820404052734,-3.5701751708984375,0.7704696655273438,0.008188209496438503,0.01602809503674507,0.002296506892889738,0.004615599289536476,0.9602493643760681,0.0022732329089194536,0
1256_0.66_0.52.png,3,P1_mlp_pooled_ll,46.67754364013672,43.2695198059082,-3.4080238342285156,0.01461029052734375,0.002112197456881404,0.004397402051836252,0.0004583315458148718,0.0007837457815185189,-0.17085295915603638,-1.8842731151380576e-05,1
2228_0.86_1.99.png,1,P1_mlp_pooled_ll,44.94801330566406,41.586769104003906,-3.3612442016601562,0.0,0.002860383130609989,0.006537964101880789,0.002811363898217678,0.006298602093011141,0.9921908378601074,0.001307470491155982,0
308_0.73_0.91.png,0,P1_mlp_pooled_ll,40.07057571411133,36.80760955810547,-3.2629661560058594,0.5098991394042969,0.006611481308937073,0.013011258095502853,0.001294660847634077,0.0029548981692641973,0.942194402217865,0.0011591839138418436,0
