checkpoint,name,ll_delta_abs_mean,image_action_l1,dPSNR,is_model5_severe,is_model5_positive
model_5,1000_0.74_1.6.png,0.0029567251913249493,0.0007319722790271044,0.3960113525390625,0,1
model_5,1006_0.89_1.55.png,0.0029921901877969503,0.0005543994484469295,0.06096649169921875,0,1
model_5,1010_0.91_1.13.png,0.0029874127358198166,0.0005797863123007119,0.26682281494140625,0,1
model_5,1017_0.91_1.44.png,0.002954476047307253,0.0007654100772924721,-0.008052825927734375,0,0
model_5,1022_0.66_1.05.png,0.002982515376061201,0.0008348732371814549,-0.13893890380859375,0,0
model_5,1030_0.75_1.69.png,0.0029673532117158175,0.0007930380525067449,-0.05585479736328125,0,0
model_5,1041_0.64_0.82.png,0.0029770114924758673,0.0005604845937341452,0.16291427612304688,0,1
model_5,1047_0.89_1.57.png,0.002970114117488265,0.0010307120392099023,-0.14169692993164062,0,0
model_5,1051_0.69_0.54.png,0.002977412659674883,0.0005408990546129644,0.18175125122070312,0,1
model_5,1057_0.96_1.31.png,0.002971714362502098,0.0009983249474316835,-0.016994476318359375,0,0
model_5,1062_0.58_1.51.png,0.002975741634145379,0.0008201702148653567,0.058071136474609375,0,1
model_5,1068_0.69_1.34.png,0.0029516471549868584,0.0006830493803136051,0.3267669677734375,0,1
model_5,1077_0.94_0.84.png,0.002985443454235792,0.0007166540599428117,0.024169921875,0,1
model_5,1082_0.94_0.87.png,0.00294193672016263,0.0008785660029388964,0.2998161315917969,0,1
model_5,1090_0.54_0.58.png,0.002983678597956896,0.0008782926597632468,0.41867828369140625,0,1
model_5,1099_0.54_1.76.png,0.0029130373150110245,0.0014720730250701308,0.5339546203613281,0,1
model_5,1106_0.89_1.69.png,0.0029726969078183174,0.0007144251721911132,0.1974029541015625,0,1
model_5,1113_0.9_0.52.png,0.002965576946735382,0.000783750438131392,-0.23212814331054688,1,0
model_5,1119_0.62_1.98.png,0.0029702014289796352,0.000890843162778765,-0.16870880126953125,0,0
model_5,1124_0.74_1.17.png,0.00290985987521708,0.0009071751846931875,0.47499847412109375,0,1
model_5,112_0.8_1.78.png,0.002978232689201832,0.0007772373501211405,-0.13145065307617188,0,0
model_5,1136_0.96_0.74.png,0.0029801949858665466,0.0008609030046500266,-0.24680328369140625,1,0
model_5,1142_0.64_0.53.png,0.002961962018162012,0.0007607348379679024,0.1790771484375,0,1
model_5,1147_0.56_1.1.png,0.002987113781273365,0.0011950874468311667,-0.109649658203125,0,0
model_5,1152_0.65_1.76.png,0.002947403583675623,0.0009666376863606274,0.2563362121582031,0,1
model_5,1158_0.86_1.65.png,0.0029380456544458866,0.0012214103480800986,0.2346649169921875,0,1
model_5,1163_0.95_1.89.png,0.0029866225086152554,0.0005279118777252734,0.10964584350585938,0,1
model_5,1170_0.71_1.78.png,0.002984538208693266,0.0007265580352395773,0.2564239501953125,0,1
model_5,1176_0.65_1.07.png,0.002963848179206252,0.0008408973808400333,-0.0004119873046875,0,0
model_5,1182_0.63_1.77.png,0.002927070017904043,0.0012822153512388468,0.331085205078125,0,1
model_5,1188_0.95_1.95.png,0.0029818364419043064,0.0009054427500814199,0.42626953125,0,1
model_5,1192_0.85_0.98.png,0.0029677669517695904,0.0007940322975628078,0.3811836242675781,0,1
model_5,11_0.68_1.56.png,0.0029799656476825476,0.0005423789261840284,0.2696266174316406,0,1
model_5,1206_0.81_1.09.png,0.0029701669700443745,0.0007433196878992021,0.09720993041992188,0,1
model_5,1213_0.56_1.24.png,0.002965168561786413,0.0007579790544696152,-0.07530593872070312,0,0
model_5,121_0.96_0.85.png,0.00294950301758945,0.0005824839463457465,0.33339691162109375,0,1
model_5,1225_0.98_0.8.png,0.002967471955344081,0.0006647438858635724,0.0501251220703125,0,1
model_5,1231_0.98_1.26.png,0.002964853309094906,0.0004344373883213848,-0.018939971923828125,0,0
model_5,1240_0.64_0.5.png,0.002983708865940571,0.001137609826400876,-1.0472679138183594,1,0
model_5,1245_0.57_1.62.png,0.002961748046800494,0.0007337548886425793,0.047149658203125,0,1
model_5,1253_0.91_1.15.png,0.002956360811367631,0.0007253516232594848,0.23226547241210938,0,1
model_5,1259_0.98_0.87.png,0.002940565347671509,0.0005544216837733984,0.1258678436279297,0,1
model_5,1268_0.82_1.47.png,0.0029417122714221478,0.0010196765651926398,0.4468727111816406,0,1
model_5,1273_0.96_1.43.png,0.002969443565234542,0.0009778166422620416,0.20987701416015625,0,1
model_5,1279_0.87_0.95.png,0.002976995659992099,0.0006283567636273801,-0.06929779052734375,0,0
model_5,1286_0.98_0.99.png,0.002975242678076029,0.0007005671504884958,0.041728973388671875,0,1
model_5,1293_0.79_0.72.png,0.0029472731985151768,0.0008104523294605315,0.2350311279296875,0,1
model_5,12_0.9_1.75.png,0.003006043378263712,0.0004947757697664201,0.11577606201171875,0,1
model_5,1307_0.92_1.87.png,0.0029632295481860638,0.0004866253293585032,-0.09377288818359375,0,0
model_5,1312_0.62_0.6.png,0.002972021931782365,0.0008839452057145536,0.22892379760742188,0,1
model_5,1319_0.88_1.19.png,0.0029695916455239058,0.0007501980289816856,-0.23334884643554688,1,0
model_5,1324_0.55_1.43.png,0.0029675764963030815,0.0006745659047737718,0.21440887451171875,0,1
model_5,1329_0.78_1.76.png,0.0029603810980916023,0.0011046446161344647,0.15040969848632812,0,1
model_5,1336_0.6_0.63.png,0.002974561881273985,0.0008246509241871536,-0.3021049499511719,1,0
model_5,1341_0.94_0.51.png,0.002949883695691824,0.0008267697994597256,0.2603607177734375,0,1
model_5,1347_0.75_1.79.png,0.0029250411316752434,0.0015360127435997128,0.366241455078125,0,1
model_5,1352_0.7_1.62.png,0.0029678954742848873,0.0008735296432860196,-0.12102699279785156,0,0
model_5,1358_0.55_0.52.png,0.0029683606699109077,0.000959733733907342,-0.6566009521484375,1,0
model_5,1363_0.77_1.15.png,0.002962720114737749,0.0005066057783551514,0.1970672607421875,0,1
model_5,1370_0.82_0.79.png,0.0029535950161516666,0.0007588724256493151,0.245391845703125,0,1
model_5,1377_0.5_0.79.png,0.002985510043799877,0.0009521060856059194,-0.41530609130859375,1,0
model_5,1382_0.57_1.88.png,0.002974769100546837,0.0005587026244029403,0.1134490966796875,0,1
model_5,1388_0.67_1.18.png,0.002965718973428011,0.0007812044350430369,0.11280059814453125,0,1
model_5,1394_0.64_1.0.png,0.002964988350868225,0.0008168800850398839,0.4464378356933594,0,1
model_5,13_0.94_1.35.png,0.002953137271106243,0.0012917822459712625,0.4825782775878906,0,1
model_5,1406_0.83_1.82.png,0.002939093392342329,0.0006437296397052705,0.24071884155273438,0,1
model_5,1411_0.54_0.56.png,0.0029908353462815285,0.0009512744727544487,0.7010841369628906,0,1
model_5,1420_0.92_1.35.png,0.0029683797620236874,0.0006762080010958016,-0.09259986877441406,0,0
model_5,1425_0.84_1.75.png,0.0029720356687903404,0.0010429627727717161,-0.23375701904296875,1,0
model_5,1433_0.9_1.85.png,0.0030202483758330345,0.0009943072218447924,0.021465301513671875,0,1
model_5,1439_0.92_1.24.png,0.002925167791545391,0.0006485900958068669,0.15636444091796875,0,1
model_5,1444_0.58_1.95.png,0.0029531498439610004,0.0006723827682435513,0.2379150390625,0,1
model_5,1449_0.94_0.78.png,0.0029763798229396343,0.0006126792286522686,-0.32477569580078125,1,0
model_5,1453_0.64_1.53.png,0.0029618320986628532,0.0010720484424382448,-0.3158683776855469,1,0
model_5,1459_0.77_0.55.png,0.0029780352488160133,0.000627698958851397,0.3497810363769531,0,1
model_5,1466_0.85_1.61.png,0.0030086496844887733,0.0005501449923031032,-0.003780364990234375,0,0
model_5,1471_0.82_1.95.png,0.0029778683092445135,0.0012055629631504416,0.4203987121582031,0,1
model_5,1477_0.87_1.44.png,0.0030009986367076635,0.0009687815909273922,0.23453903198242188,0,1
model_5,1483_0.89_1.89.png,0.002949655055999756,0.0009531463147141039,-0.3133811950683594,1,0
model_5,1488_0.71_1.67.png,0.0029739877209067345,0.0010555655462667346,-0.4422492980957031,1,0
model_5,1494_0.53_0.86.png,0.0029505640268325806,0.0004276239487808198,0.0433502197265625,0,1
model_5,1499_0.76_0.97.png,0.0029803155921399593,0.0007434916333295405,-0.08237838745117188,0,0
model_5,1505_0.8_0.86.png,0.0029969001188874245,0.0011238588485866785,0.6472969055175781,0,1
model_5,150_0.71_0.79.png,0.0029725083149969578,0.0007640005787834525,0.5712356567382812,0,1
model_5,1514_0.53_0.9.png,0.003005497856065631,0.0009671174921095371,-0.5576629638671875,1,0
model_5,1519_0.95_0.89.png,0.0029867347329854965,0.0007411707774735987,-0.06508255004882812,0,0
model_5,1523_0.59_1.3.png,0.002998554613441229,0.0008290740079246461,0.4278068542480469,0,1
model_5,1529_0.84_0.56.png,0.0029915357008576393,0.0009229873539879918,0.14335250854492188,0,1
model_5,1533_0.88_0.99.png,0.002988321240991354,0.0007982769748196006,0.025020599365234375,0,1
model_5,1539_0.58_0.79.png,0.0029995867516845465,0.0009277116041630507,-0.0521240234375,0,0
model_5,1544_0.87_1.52.png,0.0029952963814139366,0.0008765149395912886,0.14444732666015625,0,1
model_5,154_0.97_0.91.png,0.0029590660706162453,0.0006490292144007981,0.033901214599609375,0,1
model_5,1555_0.58_0.76.png,0.003027357393875718,0.001057824702002108,0.1486358642578125,0,1
model_5,1560_0.99_1.56.png,0.002997134579345584,0.0008621968445368111,0.17799758911132812,0,1
model_5,1565_0.92_0.5.png,0.0029982435517013073,0.0008831584127619863,0.6321144104003906,0,1
model_5,1571_0.87_0.66.png,0.0029955944046378136,0.0009344224235974252,0.15309524536132812,0,1
model_5,1577_0.86_1.16.png,0.003070969134569168,0.0009609631961211562,0.08343505859375,0,1
model_5,1583_0.73_1.16.png,0.003028351115062833,0.0008558720001019537,0.2525520324707031,0,1
model_5,1590_0.78_0.63.png,0.0029850832652300596,0.0009280580561608076,-0.44351959228515625,1,0
model_5,1596_0.91_1.05.png,0.0029900670051574707,0.000790598860476166,0.0523681640625,0,1
model_5,1600_0.78_1.77.png,0.003005929524078965,0.0007184627465903759,0.27953338623046875,0,1
model_5,1605_1.0_1.37.png,0.0030073770321905613,0.000988632906228304,-0.056354522705078125,0,0
model_5,160_0.63_1.04.png,0.00297157047316432,0.000591822958085686,0.13615036010742188,0,1
model_5,1616_0.76_0.88.png,0.0030102678574621677,0.0006932632531970739,0.293182373046875,0,1
model_5,1622_0.98_1.75.png,0.0030146141070872545,0.0008890628814697266,0.07146835327148438,0,1
model_5,1627_0.94_0.52.png,0.0029931021854281425,0.001001387252472341,-0.5251426696777344,1,0
model_5,1632_0.67_0.5.png,0.0029909710865467787,0.000903880747500807,0.25788116455078125,0,1
model_5,1637_0.75_0.58.png,0.00300187268294394,0.0008118706755340099,0.5104331970214844,0,1
model_5,1643_0.77_0.66.png,0.003007464110851288,0.0009607255924493074,0.5915603637695312,0,1
model_5,1648_0.89_1.41.png,0.003021431155502796,0.001014636131003499,0.21026992797851562,0,1
model_5,1653_0.9_1.01.png,0.0030118748545646667,0.0008869771263562143,-0.0334320068359375,0,0
model_5,1658_0.96_1.72.png,0.0030156311113387346,0.0008604474132880569,0.14921951293945312,0,1
model_5,1663_0.92_1.8.png,0.003026403021067381,0.0009424114832654595,-0.0210113525390625,0,0
model_5,1669_0.52_1.31.png,0.0030817680526524782,0.0009574149735271931,0.32659912109375,0,1
model_5,1673_0.63_1.48.png,0.003038473427295685,0.0010437173768877983,0.4930229187011719,0,1
model_5,167_0.83_0.5.png,0.002978538628667593,0.0008370060240849853,0.07356643676757812,0,1
model_5,1686_0.51_0.6.png,0.003014079062268138,0.000933187548071146,0.16694259643554688,0,1
model_5,1691_0.77_1.92.png,0.003079809946939349,0.001217750716023147,0.5269622802734375,0,1
model_5,1696_0.74_1.51.png,0.003008483909070492,0.0009088166989386082,0.12024688720703125,0,1
model_5,16_0.51_1.32.png,0.0029810150153934956,0.001106834621168673,-0.190155029296875,0,0
model_5,1706_0.83_0.85.png,0.002989238128066063,0.0011110530467703938,0.3733634948730469,0,1
model_5,1711_0.54_0.6.png,0.003009347477927804,0.000949167413637042,0.2870903015136719,0,1
model_5,1719_0.77_1.33.png,0.003009945619851351,0.0009758446249179542,0.2677574157714844,0,1
model_5,1724_0.5_1.22.png,0.0030196465086191893,0.0007998429355211556,0.3080253601074219,0,1
model_5,1730_0.81_1.53.png,0.003012822475284338,0.0008575788233429193,-0.030185699462890625,0,0
model_5,1735_0.72_0.9.png,0.0029913499020040035,0.0008908399031497538,0.3707008361816406,0,1
model_5,1742_0.9_1.59.png,0.0029987646266818047,0.0009507582290098071,0.06960296630859375,0,1
model_5,1748_0.82_1.35.png,0.0029985415749251842,0.0009159872424788773,0.13535690307617188,0,1
model_5,1755_0.74_1.04.png,0.0030011918861418962,0.0011389217106625438,0.005359649658203125,0,1
model_5,175_0.58_1.26.png,0.002971341833472252,0.0009515660349279642,0.050830841064453125,0,1
model_5,1764_0.84_1.26.png,0.0029987760353833437,0.0007758669089525938,0.11839675903320312,0,1
model_5,1769_0.93_0.69.png,0.0029894676990807056,0.0007257540128193796,-0.05348968505859375,0,0
model_5,1774_0.83_0.59.png,0.003002807032316923,0.0009852504590526223,0.5022048950195312,0,1
model_5,177_0.65_1.21.png,0.002975895768031478,0.0005896249786019325,0.22630691528320312,0,1
model_5,1784_0.94_1.15.png,0.0029968530870974064,0.001008351449854672,-0.0765228271484375,0,0
model_5,1789_0.73_0.64.png,0.0029906253330409527,0.0009600888006389141,0.052875518798828125,0,1
model_5,1793_0.92_1.79.png,0.0030693821609020233,0.0010794189292937517,0.060688018798828125,0,1
model_5,1798_0.64_0.63.png,0.002991092624142766,0.0009135458967648447,-0.2557411193847656,1,0
model_5,1804_0.8_1.29.png,0.003009652718901634,0.000954704184550792,0.17319488525390625,0,1
model_5,1809_0.71_1.38.png,0.0030177482403814793,0.0009592968272045255,0.3474884033203125,0,1
model_5,1814_0.55_0.54.png,0.002998853102326393,0.0009017608244903386,-0.014026641845703125,0,0
model_5,1819_0.84_1.22.png,0.003005923004820943,0.0010338096180930734,-0.3623504638671875,1,0
model_5,1824_0.74_1.39.png,0.003002299927175045,0.0009273390169255435,0.37982940673828125,0,1
model_5,1829_0.55_1.16.png,0.0030268062837421894,0.0008174546528607607,0.10773849487304688,0,1
model_5,1833_0.88_1.83.png,0.0030224400106817484,0.0009890871588140726,0.45676422119140625,0,1
model_5,1839_0.54_0.82.png,0.003000184427946806,0.0009387753088958561,-0.653076171875,1,0
model_5,1844_0.91_1.28.png,0.0030010659247636795,0.0009228051058016717,-0.16233062744140625,0,0
model_5,184_0.81_1.03.png,0.002974820788949728,0.0008334528538398445,-0.2298126220703125,1,0
model_5,1855_0.9_1.32.png,0.002996651455760002,0.0010137773351743817,-0.2568702697753906,1,0
model_5,1860_0.77_1.07.png,0.002999798860400915,0.0008930379990488291,0.041309356689453125,0,1
model_5,1866_0.53_1.34.png,0.0030281362123787403,0.001043076510541141,-0.7811088562011719,1,0
model_5,1871_0.8_1.86.png,0.0030009583570063114,0.0008648518705740571,0.31029510498046875,0,1
model_5,1876_0.97_1.69.png,0.0030017714016139507,0.0008162188460119069,0.15314865112304688,0,1
model_5,1880_0.85_1.19.png,0.003016588743776083,0.0008473812486045063,0.4027252197265625,0,1
model_5,1885_0.54_0.83.png,0.0029987385496497154,0.0010223902063444257,0.7493400573730469,0,1
model_5,1890_0.83_1.44.png,0.0029919298831373453,0.0010395718272775412,0.17757415771484375,0,1
model_5,1897_0.5_0.84.png,0.003005318809300661,0.000857766077388078,-0.38684844970703125,1,0
model_5,1902_0.89_1.97.png,0.003006563987582922,0.0008439303492195904,0.098785400390625,0,1
model_5,1907_0.86_1.3.png,0.0029903785325586796,0.0007740493747405708,-0.18280792236328125,0,0
model_5,1911_0.96_1.13.png,0.0029968731105327606,0.0008616470731794834,0.24420166015625,0,1
model_5,1916_0.51_0.74.png,0.003014208283275366,0.0012464618775993586,-0.9038238525390625,1,0
model_5,1923_0.81_1.81.png,0.003022510791197419,0.0008078111568465829,0.18403244018554688,0,1
model_5,1929_0.88_1.23.png,0.003015152644366026,0.0010791206732392311,0.36867523193359375,0,1
model_5,1934_0.95_1.59.png,0.0030094506219029427,0.0009951303945854306,0.1833820343017578,0,1
model_5,1939_0.93_1.32.png,0.0030033872462809086,0.0007918437477201223,0.17791366577148438,0,1
model_5,1943_0.86_0.57.png,0.002996115479618311,0.0009761480614542961,0.24160385131835938,0,1
model_5,194_0.82_0.6.png,0.0029701064340770245,0.0006765429279766977,0.11397171020507812,0,1
model_5,1956_0.99_1.4.png,0.002989932196214795,0.0008361871005035937,-0.020687103271484375,0,0
model_5,1960_0.8_0.62.png,0.003000623779371381,0.000979282078333199,-0.2982635498046875,1,0
model_5,1966_0.52_1.48.png,0.003051554784178734,0.0008244042401202023,-0.19085693359375,0,0
model_5,1971_0.99_1.02.png,0.0030039274133741856,0.0010045610833913088,0.16034317016601562,0,1
model_5,1977_0.65_1.98.png,0.0030111069791018963,0.0008905620779842138,0.2863883972167969,0,1
model_5,1981_0.66_1.25.png,0.0030044333543628454,0.0009200273780152202,0.3840904235839844,0,1
model_5,1986_0.78_0.65.png,0.0030014445073902607,0.0011364910751581192,0.22940444946289062,0,1
model_5,1990_0.97_0.51.png,0.002994117559865117,0.0008672006078995764,-0.0894775390625,0,0
model_5,1996_0.77_1.8.png,0.003005913458764553,0.0008981367573142052,0.23067855834960938,0,1
model_5,2000_0.86_0.62.png,0.002996969036757946,0.000815487583167851,0.14886856079101562,0,1
model_5,2006_0.91_1.19.png,0.0030003818683326244,0.0008546947501599789,0.055873870849609375,0,1
model_5,2010_0.89_1.17.png,0.0030291983857750893,0.0008522986900061369,0.1839599609375,0,1
model_5,2016_0.66_1.25.png,0.003007215913385153,0.0008165640756487846,-0.49912261962890625,1,0
model_5,2020_0.68_0.87.png,0.0029975755605846643,0.0008665360510349274,-0.2800445556640625,1,0
