variant,count,mean_cosine_to_oracle_delta,median_cosine_to_oracle_delta,wrong_direction_rate,mean_pred_delta_abs_mean,mean_target_delta_abs_mean
P1_mlp_pooled_ll,2400,0.49494634345416366,0.7554685175418854,0.19375,0.0017297985344581926,0.0021990198971373804
P1_ridge_pooled_ll,2400,0.43763497025710724,0.7013747990131378,0.235,0.001504034150463364,0.0021990198971373804
P1_shuffled_target_control,2400,0.367785044131136,0.7273055016994476,0.2791666666666667,0.0010783987284654964,0.0021990198971373804
