phase,epoch,train_loss,train_hard_bce,train_focal_bce,train_rank,train_spatial_bce,subset_hard_bce,subset_spatial_bce
global,0,,,,,,1.7080414951778948,2.062084491364658
global,1,1.0841496792510152,0.639025964776675,0.6359416100531113,0.635764547665914,,0.645784484106116,2.062084491364658
global,2,0.6284910347859065,0.47305112824837364,0.17275663369088823,0.34530793793996173,,0.6376079792971723,2.062084491364658
global,3,0.5823477275719245,0.44279905503988265,0.17206159744330823,0.26758935864766437,,0.6380885518155992,2.062084491364658
global,4,0.569040007683138,0.43369719601670903,0.17296688309655034,0.24429684162139892,,0.6319840078940615,2.062084491364658
global,5,0.5563657198349635,0.4315985508263111,0.1658104998555125,0.20930959049860637,,0.6302920144225936,2.062084491364658
spatial,0,,,,,,0.6302920144225936,2.062084491364658
spatial,1,0.7885554594993591,,,,0.7885554594993591,0.6302920144225936,0.7370684307534248
spatial,2,0.6768034954071045,,,,0.6768034954071045,0.6302920144225936,0.7349186763167381
spatial,3,0.6758612014452616,,,,0.6758612014452616,0.6302920144225936,0.7336024921387434
