name,a0_psnr,z_img,global_score_unit,b_img,s_pixel_mean,mask_mean,rmse0,hard_target_full_image,spatial_bce,zero_residual_max_abs_diff_vs_a0
1000_0.73_1.8.png,28.284752440633802,-2.430543899536133,0.0808730274438858,0.29087722301483154,0.3784463405609131,0.11008141934871674,0.038540422916412354,1.0,0.8328754901885986,0.0
100_0.5_1.76.png,29.537743467754225,-1.9093687534332275,0.1290517896413803,0.45561152696609497,0.3762684464454651,0.1714322417974472,0.033355843275785446,1.0,0.8376667499542236,0.0
101_0.83_1.44.png,24.609098398551644,1.5326576232910156,0.8223947882652283,0.9893508553504944,0.3964715898036957,0.3922494947910309,0.05882272496819496,1.0,0.9075860977172852,0.0
102_0.67_1.36.png,24.43211714376359,0.9842085838317871,0.7279424667358398,0.9777116775512695,0.3912035822868347,0.3824843168258667,0.06003356724977493,1.0,0.9167007803916931,0.0
103_0.94_0.98.png,26.648918387220863,0.5434722900390625,0.6326197981834412,0.9600021243095398,0.3896631598472595,0.3740774691104889,0.04651084542274475,1.0,0.9031566977500916,0.0
104_0.91_1.41.png,25.641777181096458,1.5619025230407715,0.826626181602478,0.9897643327713013,0.3976074755191803,0.393537700176239,0.05222894623875618,1.0,0.8934447765350342,0.0
105_0.84_0.8.png,26.4522573194084,-1.623098373413086,0.16477800905704498,0.5532152652740479,0.37143728137016296,0.2054847627878189,0.04757601395249367,1.0,0.8501145243644714,0.0
106_0.59_1.07.png,29.951141861855227,-1.6310138702392578,0.16369152069091797,0.5505368113517761,0.36973685026168823,0.20355373620986938,0.031801335513591766,1.0,0.8225812315940857,0.0
107_0.89_1.5.png,25.931467710802806,1.583590030670166,0.8297123908996582,0.9900606870651245,0.38840043544769287,0.38453999161720276,0.05051615089178085,1.0,0.8102864027023315,0.0
108_0.73_1.27.png,27.32750281685105,-0.33942508697509766,0.41594916582107544,0.8776189088821411,0.37503039836883545,0.3291337490081787,0.043015819042921066,1.0,0.8378859162330627,0.0
109_0.74_1.74.png,32.8297094582653,0.41423559188842773,0.602103054523468,0.9526318311691284,0.3802051246166229,0.3621954917907715,0.022830452769994736,1.0,0.780316174030304,0.0
10_0.6_1.67.png,35.124030389490436,0.5998725891113281,0.6456271409988403,0.9628623723983765,0.38433435559272766,0.37006106972694397,0.01754414476454258,0.6149722653606576,0.7613018155097961,0.0
110_0.68_1.22.png,32.72798306365337,-1.246020793914795,0.22338972985744476,0.674720048904419,0.3705952763557434,0.25004810094833374,0.02309940755367279,1.0,0.7934916615486145,0.0
111_0.98_0.89.png,32.068963816838085,-1.1250267028808594,0.24508008360862732,0.709954559803009,0.37289974093437195,0.2647418975830078,0.02492021583020687,1.0,0.7493278384208679,0.0
112_0.54_0.98.png,32.687639506086214,-2.567403793334961,0.07126594334840775,0.253811240196228,0.3656647503376007,0.09280982613563538,0.023208070546388626,1.0,0.7962409853935242,0.0
113_0.71_1.48.png,32.29976859818446,-0.25895166397094727,0.4356214106082916,0.8889619708061218,0.39769038558006287,0.3535316288471222,0.024266883730888367,1.0,0.7690486907958984,0.0
114_0.7_0.91.png,34.14269006696878,-1.3706302642822266,0.202518031001091,0.6362473368644714,0.38653236627578735,0.24593022465705872,0.019627565518021584,0.7968819652716486,0.7437028884887695,0.0
