profile,group,bin,count,mean_bootstrap_LCB,hard_bootstrap_LCB,positive_Wilson_LCB,severe_Wilson_UCB
WD0375,split,val_hard,300,3.020123145421346,3.5328176905314126,0.9813628354450568,0.018637164554943353
WD0375,split,val_regular,300,1.8172065579096477,3.0382142893473305,0.9191522802928904,0.06026245145756911
WD0375,A0_PSNR_q4,q1,150,3.414960963567098,3.647638176582955,0.9750288608542813,0.02497113914571871
WD0375,A0_PSNR_q4,q2,150,2.920222005208333,3.185898868457691,0.9750288608542813,0.02497113914571871
WD0375,A0_PSNR_q4,q3,150,2.1734508895874023,2.3265337969805744,0.9526921436197237,0.036793752933975674
WD0375,A0_PSNR_q4,q4,150,1.068042558034261,1.5849623705889728,0.8494348221544131,0.11836352652481318
WD0375,WDMamba_A0_diff_signed_q4,q1,150,3.3824744300842284,3.5536519746522646,0.9632062470660242,0.036793752933975674
WD0375,WDMamba_A0_diff_signed_q4,q2,150,2.1389163589477542,2.6246327632182354,0.9334450938998244,0.047307856380276334
WD0375,WDMamba_A0_diff_signed_q4,q3,150,1.3582120056152345,2.2438112490885964,0.873463014734016,0.10170500474670958
WD0375,WDMamba_A0_diff_signed_q4,q4,150,2.6197297808329263,3.28603332880381,0.9750288608542813,0.02497113914571871
WD0375,WDMamba_A0_diff_abs_q4,q1,150,1.0224204953511555,1.3727323686754382,0.8415639255193983,0.11836352652481318
WD0375,WDMamba_A0_diff_abs_q4,q2,150,2.1777748680114746,2.1307974222544077,0.9750288608542813,0.02497113914571871
WD0375,WDMamba_A0_diff_abs_q4,q3,150,2.8494341475168863,2.759558963775635,0.9632062470660242,0.036793752933975674
WD0375,WDMamba_A0_diff_abs_q4,q4,150,3.609086671829224,3.634881364977038,0.9750288608542813,0.02497113914571871
WD0375,FSNet_A0_diff_signed_q4,q1,150,3.07052111752828,3.629253323013718,0.9750288608542813,0.02497113914571871
WD0375,FSNet_A0_diff_signed_q4,q2,150,2.673411633173625,3.3552646740062815,0.9632062470660242,0.02497113914571871
WD0375,FSNet_A0_diff_signed_q4,q3,150,1.7359842828114829,2.8342773669474837,0.9068124260764262,0.08451453912715763
WD0375,FSNet_A0_diff_signed_q4,q4,150,1.9496257966359456,3.1173485781695396,0.8982949952532904,0.0756528425070956
WD0375,FSNet_A0_diff_abs_q4,q1,150,1.4672816225687664,2.8489614795994114,0.8653774250568133,0.10170500474670958
WD0375,FSNet_A0_diff_abs_q4,q2,150,2.3358232046763105,3.3486205255663073,0.9526921436197237,0.047307856380276334
WD0375,FSNet_A0_diff_abs_q4,q3,150,2.7173113180796307,3.4160206511213973,0.9632062470660242,0.02497113914571871
WD0375,FSNet_A0_diff_abs_q4,q4,150,2.9535387395222985,3.585755691012821,0.9632062470660242,0.036793752933975674
WD0375,expert_disagreement_q4,q1,150,2.0263307813008624,2.666633464194633,0.9526921436197237,0.047307856380276334
WD0375,expert_disagreement_q4,q2,150,2.083786050796509,3.165933116706642,0.9428523341357584,0.036793752933975674
WD0375,expert_disagreement_q4,q3,150,2.4579034417470296,3.364065964157517,0.9334450938998244,0.047307856380276334
WD0375,expert_disagreement_q4,q4,150,2.8317732652028402,3.789044297708047,0.9068124260764262,0.08451453912715763
WD0375,haze_density_q4,q1,150,1.2910003668467205,1.9628795804204167,0.8573705468757647,0.11836352652481318
WD0375,haze_density_q4,q2,150,2.2483186880747477,3.186838299519307,0.9428523341357584,0.036793752933975674
WD0375,haze_density_q4,q3,150,2.8689715181986495,3.5406656419908678,0.9750288608542813,0.02497113914571871
WD0375,haze_density_q4,q4,150,3.09527809715271,3.506649398803711,0.9750288608542813,0.02497113914571871
WD0375,transmission_q4,q1,150,3.09527809715271,3.506649398803711,0.9750288608542813,0.02497113914571871
WD0375,transmission_q4,q2,150,2.8689715181986495,3.5406656419908678,0.9750288608542813,0.02497113914571871
WD0375,transmission_q4,q3,150,2.2483186880747477,3.186838299519307,0.9428523341357584,0.036793752933975674
WD0375,transmission_q4,q4,150,1.2910003668467205,1.9628795804204167,0.8573705468757647,0.11836352652481318
WD0375,airlight_q4,q1,150,2.9559172801971436,3.577567399514688,0.9750288608542813,0.02497113914571871
WD0375,airlight_q4,q2,157,2.755028841298097,3.4688176228449894,0.9648062552548127,0.02388436822314625
WD0375,airlight_q4,q3,143,2.2297575683860513,3.324779142652239,0.9302882153718061,0.04955795471087411
WD0375,airlight_q4,q4,150,1.5138982607523601,2.642238931398134,0.873463014734016,0.11009092044290468
WD0375,depth_q4,q1,150,2.506138659159342,3.3395837758038494,0.9526921436197237,0.02497113914571871
WD0375,depth_q4,q2,150,2.394379894256592,3.3433582821407835,0.9526921436197237,0.036793752933975674
WD0375,depth_q4,q3,150,2.387474641164144,3.4510023581015097,0.9154854608728422,0.0756528425070956
WD0375,depth_q4,q4,150,2.1156451314290363,3.168387013512689,0.9154854608728422,0.0756528425070956
WD0375,dark_channel_q4,q1,150,1.7504766082763672,3.1185674126083787,0.8816364734751868,0.09318757392357377
WD0375,dark_channel_q4,q2,150,2.230034335454305,3.213087375743969,0.9334450938998244,0.05714766586424166
WD0375,dark_channel_q4,q3,150,2.6370806763966876,3.576056248432881,0.9526921436197237,0.036793752933975674
WD0375,dark_channel_q4,q4,150,2.8105109933217367,3.4712528331859693,0.9750288608542813,0.02497113914571871
WD0375,low_texture_q4,q1,150,2.027942934036255,3.2342217136073756,0.8899090795570952,0.09318757392357377
WD0375,low_texture_q4,q2,150,2.490963903427124,3.5075723261446567,0.9428523341357584,0.047307856380276334
WD0375,low_texture_q4,q3,150,2.4416559454600018,3.3185482205571355,0.9632062470660242,0.036793752933975674
WD0375,low_texture_q4,q4,150,2.425245864868164,3.394766469903894,0.9428523341357584,0.036793752933975674
WD0375,edge_density_q4,q1,150,2.2146722412109376,3.453957885020488,0.8982949952532904,0.0756528425070956
WD0375,edge_density_q4,q2,150,2.1574264761606856,3.3039539337158206,0.9334450938998244,0.06655490610017561
WD0375,edge_density_q4,q3,150,2.45228617922465,3.4088753777581293,0.9428523341357584,0.047307856380276334
WD0375,edge_density_q4,q4,150,2.578160982131958,3.4231998649803366,0.9632062470660242,0.02497113914571871
WD0375,sky_highlight_proxy_q4,q1,150,2.1615103549957273,3.494026975373964,0.9068124260764262,0.06655490610017561
WD0375,sky_highlight_proxy_q4,q2,150,1.9028090432484945,3.005272782815469,0.9068124260764262,0.08451453912715763
WD0375,sky_highlight_proxy_q4,q3,150,2.389038262049357,3.3598934250908927,0.9526921436197237,0.036793752933975674
WD0375,sky_highlight_proxy_q4,q4,150,2.9446441300710045,3.473139984543259,0.9750288608542813,0.02497113914571871
