profile,split,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
WD0375,val_hard,300,3.100388952891032,3.020123145421346,3.6384882354736328,3.5328176905314126,2.5464745585123696,0.0021528096993764243,0.9966666666666667,0.9813628354450568,0.9966666666666667,1,2.0,0.018637164554943353
WD0375,val_regular,300,1.924015146891276,1.8172065579096477,3.181707814534505,3.0382142893473305,0.7480201721191406,0.0011938643455505372,0.95,0.9191522802928904,0.95,10,20.0,0.06026245145756911
WD050,val_hard,300,4.178071460723877,4.029379531224569,5.137302474975586,4.957263295491536,3.2293960571289064,0.002564018964767456,0.9966666666666667,0.9813628354450568,0.9966666666666667,1,2.0,0.018637164554943353
WD050,val_regular,300,2.281639213562012,2.1046365683873494,4.293019256591797,4.061051582336426,0.5132710266113282,0.0013636632760365803,0.9033333333333333,0.864617489059097,0.9033333333333333,21,42.00000000000001,0.10463675583744661
FS050,val_hard,300,2.0833832931518557,1.968587555249532,2.127191569010417,1.8458326199849446,1.9657076517740886,0.002055951158205668,0.9666666666666667,0.9397375485424309,0.9666666666666667,6,12.0,0.04294018673005515
FS050,val_regular,300,1.9911201413472492,1.8699273087183634,2.0833434804280597,1.8281574694315594,1.8685392761230468,0.0013966864347457885,0.9433333333333334,0.9111333346485289,0.9433333333333334,12,24.0,0.06860486345997804
WD0375_or_FS050_oracle,val_hard,300,3.3311546262105307,3.2548776213328043,3.7451947784423827,3.622875882466634,2.9219685872395833,0.0023563377062479655,1.0,0.9873565700022642,1.0,0,0.0,0.012643429997735661
WD0375_or_FS050_oracle,val_regular,300,2.625105438232422,2.5413290688196817,3.3884974670410157,3.262169403076172,2.035023651123047,0.0014409758647282917,0.9966666666666667,0.9813628354450568,1.0,0,0.0,0.012643429997735661
S3_oracle,val_hard,300,4.302863063812256,4.187765534083049,5.150680465698242,4.974715375264486,3.5192223103841145,0.0026384528477986654,1.0,0.9873565700022642,1.0,0,0.0,0.012643429997735661
S3_oracle,val_regular,300,3.019093322753906,2.915131319999695,4.376880645751953,4.180437057495117,2.084795430501302,0.0015092313289642334,1.0,0.9873565700022642,1.0,0,0.0,0.012643429997735661
