profile,group,bins,min_mean_dPSNR,min_hard_bottom25_dPSNR,min_positive_ratio,max_severe_loss_per_600,group_pass
WD0375,A0_PSNR_q4,4,1.1894835408528646,1.8067351676322319,0.9066666666666666,40.0,True
WD0375,FSNet_A0_diff_abs_q4,4,1.6414129384358724,3.163432147051837,0.92,32.0,True
WD0375,FSNet_A0_diff_signed_q4,4,1.8992901357014973,3.0356597900390625,0.9466666666666667,24.0,True
WD0375,WDMamba_A0_diff_abs_q4,4,1.1246026357014973,1.5527961318557326,0.9,40.0,True
WD0375,WDMamba_A0_diff_signed_q4,4,1.4996317545572917,2.528777045172614,0.9266666666666666,32.0,True
WD0375,airlight_q4,4,1.6624680582682292,2.9134884396114864,0.9266666666666666,36.0,True
WD0375,dark_channel_q4,4,1.918623415629069,3.2905657484724715,0.9333333333333333,28.0,True
WD0375,depth_q4,4,2.271156298319499,3.39414931632377,0.96,20.0,True
WD0375,edge_density_q4,4,2.3136828994750975,3.448918883864944,0.9466666666666667,20.0,True
WD0375,expert_disagreement_q4,4,2.138913256327311,2.845343564007733,0.9533333333333334,24.0,True
WD0375,haze_density_q4,4,1.442180544535319,2.1797958064723657,0.9133333333333333,40.0,True
WD0375,low_texture_q4,4,2.232314669291178,3.4519739408750794,0.94,28.0,True
WD0375,sky_highlight_proxy_q4,4,2.0796402867635093,3.233024854917784,0.9533333333333334,24.0,True
WD0375,split,2,1.924015146891276,3.181707814534505,0.95,20.0,True
WD0375,transmission_q4,4,1.442180544535319,2.1797958064723657,0.9133333333333333,40.0,True
