profile,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,usage_WD0375,group_gate_pass
WD0375,split,val_hard,300,3.100388952891032,3.020123145421346,3.6384882354736328,3.5328176905314126,2.5464745585123696,0.0021528096993764243,0.9966666666666667,0.9813628354450568,0.9966666666666667,1,2.0,0.018637164554943353,1.0,True
WD0375,split,val_regular,300,1.924015146891276,1.8172065579096477,3.181707814534505,3.0382142893473305,0.7480201721191406,0.0011938643455505372,0.95,0.9191522802928904,0.95,10,20.0,0.06026245145756911,1.0,True
WD0375,A0_PSNR_q4,q1,150,3.5056149673461916,3.414960963567098,3.7616582818933435,3.647638176582955,3.2545520679370776,0.00324133038520813,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,A0_PSNR_q4,q2,150,3.027662658691406,2.920222005208333,3.342834575756176,3.185898868457691,2.804871327168233,0.0015434503555297851,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,A0_PSNR_q4,q3,150,2.3260470326741536,2.1734508895874023,2.656039469950908,2.3265337969805744,1.944429552232897,0.0012673985958099364,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,1.0,True
WD0375,A0_PSNR_q4,q4,150,1.1894835408528646,1.068042558034261,1.8067351676322319,1.5849623705889728,0.5152835330447635,0.000641168753306071,0.9066666666666666,0.8494348221544131,0.9066666666666666,10,40.0,0.11836352652481318,1.0,True
WD0375,WDMamba_A0_diff_signed_q4,q1,150,3.490522613525391,3.3824744300842284,3.6975337879077808,3.5536519746522646,3.064536635940139,0.002759522596995036,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,1.0,True
WD0375,WDMamba_A0_diff_signed_q4,q2,150,2.2840375010172527,2.1389163589477542,2.8017902889767208,2.6246327632182354,1.5784074937975086,0.001428457498550415,0.9733333333333334,0.9334450938998244,0.9733333333333334,2,8.0,0.047307856380276334,1.0,True
WD0375,WDMamba_A0_diff_signed_q4,q3,150,1.4996317545572917,1.3582120056152345,2.528777045172614,2.2438112490885964,0.5617944872057116,0.0010299170017242431,0.9266666666666666,0.873463014734016,0.9266666666666666,8,32.0,0.10170500474670958,1.0,True
WD0375,WDMamba_A0_diff_signed_q4,q4,150,2.774616330464681,2.6197297808329263,3.4977657730514937,3.28603332880381,1.6818051724820524,0.0014754509925842285,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,WDMamba_A0_diff_abs_q4,q1,150,1.1246026357014973,1.0224204953511555,1.5527961318557326,1.3727323686754382,0.5152835330447635,0.0006787113348642985,0.9,0.8415639255193983,0.9,10,40.0,0.11836352652481318,1.0,True
WD0375,WDMamba_A0_diff_abs_q4,q2,150,2.287652359008789,2.1777748680114746,2.3276270273569466,2.1307974222544077,2.0530703776591532,0.0012374138832092286,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,WDMamba_A0_diff_abs_q4,q3,150,2.9508750152587893,2.8494341475168863,2.9397290204022384,2.759558963775635,2.604198662010399,0.001662067969640096,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,1.0,True
WD0375,WDMamba_A0_diff_abs_q4,q4,150,3.6856781895955404,3.609086671829224,3.7616582818933435,3.634881364977038,3.6633326556231522,0.0031151549021402993,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,FSNet_A0_diff_signed_q4,q1,150,3.1827099609375,3.07052111752828,3.7904818766825907,3.629253323013718,2.4485691173656567,0.002673141161600749,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,FSNet_A0_diff_signed_q4,q2,150,2.812400321960449,2.673411633173625,3.488317283424171,3.3552646740062815,2.0658777597788216,0.0017640618483225504,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,1.0,True
WD0375,FSNet_A0_diff_signed_q4,q3,150,1.8992901357014973,1.7359842828114829,3.0356597900390625,2.8342773669474837,0.6768221468538851,0.00111723264058431,0.9533333333333334,0.9068124260764262,0.9533333333333334,6,24.0,0.08451453912715763,1.0,True
WD0375,FSNet_A0_diff_signed_q4,q4,150,2.1544077809651694,1.9496257966359456,3.3408386642868453,3.1173485781695396,0.8076846148516681,0.0011389124393463134,0.9466666666666667,0.8982949952532904,0.9466666666666667,5,20.0,0.0756528425070956,1.0,True
WD0375,FSNet_A0_diff_abs_q4,q1,150,1.6414129384358724,1.4672816225687664,3.163432147051837,2.8489614795994114,0.4859247980891047,0.0006783886750539144,0.92,0.8653774250568133,0.92,8,32.0,0.10170500474670958,1.0,True
WD0375,FSNet_A0_diff_abs_q4,q2,150,2.4979038365681965,2.3358232046763105,3.4931014292948954,3.3486205255663073,1.3744428479993664,0.00143400510152181,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,1.0,True
WD0375,FSNet_A0_diff_abs_q4,q3,150,2.839345194498698,2.7173113180796307,3.589461764773807,3.4160206511213973,1.9486037589408256,0.001878144343694051,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,1.0,True
WD0375,FSNet_A0_diff_abs_q4,q4,150,3.070146230061849,2.9535387395222985,3.722635217615076,3.585755691012821,2.341960185282939,0.002702809969584147,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,1.0,True
WD0375,expert_disagreement_q4,q1,150,2.138913256327311,2.0263307813008624,2.845343564007733,2.666633464194633,1.4844247972643054,0.001577208439509074,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,1.0,True
WD0375,expert_disagreement_q4,q2,150,2.2518942896525065,2.083786050796509,3.345640594894822,3.165933116706642,0.9322756174448374,0.001431807279586792,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,1.0,True
WD0375,expert_disagreement_q4,q3,150,2.621337521870931,2.4579034417470296,3.5062474946717956,3.364065964157517,1.2018658406025655,0.0018575819333394368,0.9733333333333334,0.9334450938998244,0.9733333333333334,2,8.0,0.047307856380276334,1.0,True
WD0375,expert_disagreement_q4,q4,150,3.0366631317138673,2.8317732652028402,3.9268479218354098,3.789044297708047,1.2789287051639042,0.0018267504374186198,0.9533333333333334,0.9068124260764262,0.9533333333333334,6,24.0,0.08451453912715763,1.0,True
WD0375,haze_density_q4,q1,150,1.442180544535319,1.2910003668467205,2.1797958064723657,1.9628795804204167,0.5395732570338894,0.0010732285181681315,0.9133333333333333,0.8573705468757647,0.9133333333333333,10,40.0,0.11836352652481318,1.0,True
WD0375,haze_density_q4,q2,150,2.4119427235921225,2.2483186880747477,3.3914447475124048,3.186838299519307,1.3373399682947107,0.001268324851989746,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,1.0,True
WD0375,haze_density_q4,q3,150,2.9850502904256184,2.8689715181986495,3.6809919718149544,3.5406656419908678,2.064904702676309,0.001950232187906901,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,haze_density_q4,q4,150,3.209634641011556,3.09527809715271,3.643052436210014,3.506649398803711,2.5548909161541915,0.002401562531789144,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,transmission_q4,q1,150,3.209634641011556,3.09527809715271,3.643052436210014,3.506649398803711,2.5548909161541915,0.002401562531789144,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,transmission_q4,q2,150,2.9850502904256184,2.8689715181986495,3.6809919718149544,3.5406656419908678,2.064904702676309,0.001950232187906901,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,transmission_q4,q3,150,2.4119427235921225,2.2483186880747477,3.3914447475124048,3.186838299519307,1.3373399682947107,0.001268324851989746,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,1.0,True
WD0375,transmission_q4,q4,150,1.442180544535319,1.2910003668467205,2.1797958064723657,1.9628795804204167,0.5395732570338894,0.0010732285181681315,0.9133333333333333,0.8573705468757647,0.9133333333333333,10,40.0,0.11836352652481318,1.0,True
WD0375,airlight_q4,q1,150,3.0873559697469077,2.9559172801971436,3.710239668150206,3.577567399514688,2.194615647599504,0.0013724084695180257,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,airlight_q4,q2,157,2.885483723537178,2.755028841298097,3.6189204974052234,3.4688176228449894,1.901537577311198,0.0020547326962659313,0.9936305732484076,0.9648062552548127,0.9936305732484076,0,0.0,0.02388436822314625,1.0,True
WD0375,airlight_q4,q3,143,2.3903963715880066,2.2297575683860513,3.492890875680106,3.324779142652239,1.1189090183803014,0.0018756289582152466,0.972027972027972,0.9302882153718061,0.972027972027972,2,8.391608391608392,0.04955795471087411,1.0,True
WD0375,airlight_q4,q4,150,1.6624680582682292,1.5138982607523601,2.9134884396114864,2.642238931398134,0.6066429550583298,0.0013822197914123535,0.9266666666666666,0.873463014734016,0.9266666666666666,9,36.0,0.11009092044290468,1.0,True
WD0375,depth_q4,q1,150,2.6553424326578776,2.506138659159342,3.5360189901815877,3.3395837758038494,1.5533508094581399,0.0018756580352783203,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871,1.0,True
