profile,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,usage_WD0375,group_gate_pass,usage_WD050,usage_FS050,usage_WD0375_or_FS050_oracle,usage_S3_oracle
WD0375,low_texture_q4,q4,150,2.569803949991862,2.425245864868164,3.5635678059345968,3.394766469903894,1.4053140588708826,0.001455229123433431,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,1.0,True,,,,
WD0375,edge_density_q4,q1,150,2.384231071472168,2.2146722412109376,3.6135109050853833,3.453957885020488,0.9687425768053209,0.0023551106452941893,0.9466666666666667,0.8982949952532904,0.9466666666666667,5,20.0,0.0756528425070956,1.0,True,,,,
WD0375,edge_density_q4,q2,150,2.3136828994750975,2.1574264761606856,3.448918883864944,3.3039539337158206,0.8685293455381651,0.0017318896452585856,0.9733333333333334,0.9334450938998244,0.9733333333333334,4,16.0,0.06655490610017561,1.0,True,,,,
WD0375,edge_density_q4,q3,150,2.6065932591756185,2.45228617922465,3.6024630263045028,3.4088753777581293,1.3519661362106736,0.0012450842062632242,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,1.0,True,,,,
WD0375,edge_density_q4,q4,150,2.7443009694417317,2.578160982131958,3.574465158823374,3.4231998649803366,1.4809064091862858,0.0013612635930379232,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,1.0,True,,,,
WD0375,sky_highlight_proxy_q4,q1,150,2.340530637105306,2.1615103549957273,3.6052136292328707,3.494026975373964,0.9711538778769003,0.0011951454480489095,0.9533333333333334,0.9068124260764262,0.9533333333333334,4,16.0,0.06655490610017561,1.0,True,,,,
WD0375,sky_highlight_proxy_q4,q2,150,2.0796402867635093,1.9028090432484945,3.233024854917784,3.005272782815469,0.8156047511745144,0.0012910048166910808,0.9533333333333334,0.9068124260764262,0.9533333333333334,6,24.0,0.08451453912715763,1.0,True,,,,
WD0375,sky_highlight_proxy_q4,q3,150,2.5455166625976564,2.389038262049357,3.522100293958509,3.3598934250908927,1.4078235110721073,0.00203887939453125,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,1.0,True,,,,
WD0375,sky_highlight_proxy_q4,q4,150,3.0831206130981443,2.9446441300710045,3.638763479284338,3.473139984543259,2.2300233583192566,0.002168318430582682,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True,,,,
WD050,split,val_hard,300,4.178071460723877,4.029379531224569,5.137302474975586,4.957263295491536,3.2293960571289064,0.002564018964767456,0.9966666666666667,0.9813628354450568,0.9966666666666667,1,2.0,0.018637164554943353,,True,1.0,,,
WD050,split,val_regular,300,2.281639213562012,2.1046365683873494,4.293019256591797,4.061051582336426,0.5132710266113282,0.0013636632760365803,0.9033333333333333,0.864617489059097,0.9033333333333333,21,42.00000000000001,0.10463675583744661,,True,1.0,,,
