count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,seed,fold,profile,aggregate_gate_pass
116,2.3919700425246666,2.1886440943027363,3.4701498623551994,3.272108847519447,0.991143851444639,0.0015159855628835745,0.9482758620689655,0.8917305061462193,0.9482758620689655,4,20.689655172413794,0.08532082045501174,3407,0,WD0375,True
113,2.5678415889233612,2.3764594272174664,3.544755390712193,3.367599313599723,1.1929522923060827,0.0017897639654378976,0.9557522123893806,0.90058093130631,0.9557522123893806,2,10.619469026548673,0.06224595318765318,3407,1,WD0375,True
114,2.4435605500873767,2.25475731146963,3.543172836303711,3.276233513014657,1.1652589525495256,0.0014434467282211571,0.9736842105263158,0.9254738996807138,0.9736842105263158,3,15.789473684210526,0.07452610031928616,3407,2,WD0375,True
128,2.5089247971773148,2.3357480600476266,3.692391097545624,3.5374011397361755,1.2342711687088013,0.0020215073600411415,0.984375,0.9448179261814567,0.984375,2,9.375,0.055182073818543405,3407,3,WD0375,True
129,2.6354909201925114,2.448601773727772,3.427081823348999,3.2219029664993286,1.3721131086349487,0.0015705324882684753,1.0,0.9710813480114662,1.0,0,0.0,0.028918651988533713,3407,4,WD0375,True
108,2.6110226666485823,2.4126006929962722,3.5940214086461952,3.4261526001824274,1.1597299929018374,0.001737814258646082,0.9814814814814815,0.9349796714470743,0.9814814814814815,1,5.555555555555555,0.05059469369997506,3411,0,WD0375,True
113,2.7095015027881724,2.5232932301749167,3.652878829411098,3.4608320440564837,1.3741779327392578,0.002087452242859697,0.9911504424778761,0.9515679439394749,0.9911504424778761,1,5.3097345132743365,0.04843205606052523,3411,1,WD0375,True
119,2.505262022258855,2.3382569329077456,3.4600832051244277,3.316237817961594,1.4826690410745555,0.0016074400989949202,0.9663865546218487,0.9167502285215104,0.9663865546218487,3,15.126050420168067,0.07150610682874038,3411,2,WD0375,True
141,2.3344739819249365,2.160274166756488,3.3715631757463727,3.1616279029846193,0.8573742457798549,0.0015513220577375263,0.950354609929078,0.9010731405592894,0.950354609929078,5,21.276595744680854,0.0803237539402888,3411,3,WD0375,True
119,2.4526899161459017,2.2850902421133856,3.44367869146939,3.1960875280972187,1.2746650432718212,0.0014320536821830173,0.9831932773109243,0.9407860259928331,0.9831932773109243,1,5.042016806722689,0.04606901828259955,3411,4,WD0375,True
111,2.5787987923836924,2.359806029861038,3.704838646782769,3.5539983643425836,1.381920991120515,0.0015615085223773578,0.990990990990991,0.9507254595746947,0.990990990990991,1,5.405405405405405,0.04927454042530521,2026,0,WD0375,True
128,2.311023861169815,2.132907109707594,3.3474098443984985,3.1480129987001417,0.940394401550293,0.0016542966477572918,0.953125,0.9015012401106196,0.953125,3,14.0625,0.06664488090027204,2026,1,WD0375,True
110,2.6607147563587534,2.4679564597389914,3.5341529846191406,3.3023756910253454,1.3480583473488137,0.00176446871324019,0.9636363636363636,0.9102118658040409,0.9636363636363636,4,21.818181818181817,0.0897881341959592,2026,2,WD0375,True
128,2.4626743346452713,2.275358072668314,3.4879154562950134,3.3087198466062544,1.0134268999099731,0.0016795378178358078,0.9609375,0.9118117730873818,0.9609375,3,14.0625,0.06664488090027204,2026,3,WD0375,True
123,2.5801835098886876,2.41355519798713,3.579787826538086,3.41288911819458,1.416543197631836,0.0017061170523728782,1.0,0.9697134063272616,1.0,0,0.0,0.03028659367273828,2026,4,WD0375,True
