low_size,K,index,name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,target_abs_mean,pred_abs_mean,weighted_field_l1,group
32,16,0,1000_0.74_1.6.png,36.89458465576172,38.38372039794922,38.789039611816406,1.4891357421875,1.8944549560546875,0.8047961592674255,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010541913099586964,0.004197336359644962,middle
32,16,1,1001_0.89_1.66.png,35.02743911743164,36.28177261352539,36.463478088378906,1.25433349609375,1.4360389709472656,0.8981079459190369,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.013557234779000282,0.004187016787565895,open_hard
32,16,2,1002_0.73_1.47.png,33.70071029663086,34.25431823730469,34.3560905456543,0.5536079406738281,0.6553802490234375,0.9369131326675415,1.0,0.9999188184738159,0.08550451695919037,0.014679329469799995,0.0135032394900918,0.005073950543334151,open_hard
32,16,3,1003_0.9_1.06.png,38.71543502807617,39.15859603881836,39.21985626220703,0.4431610107421875,0.5044212341308594,0.8771495819091797,1.0,0.9999078512191772,0.05866250395774841,0.009056659415364265,0.00904804840683937,0.0030947223789056424,middle
32,16,4,1004_0.91_1.17.png,37.05818557739258,37.589508056640625,37.72386169433594,0.5313224792480469,0.6656761169433594,0.8443993926048279,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.01007706206291914,0.003985653779499037,middle
32,16,5,1005_0.74_1.81.png,38.33662796020508,38.82123565673828,39.121376037597656,0.4846076965332031,0.7847480773925781,0.8036361336708069,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.006287946831434965,0.004576869809233358,middle
32,16,6,1006_0.89_1.55.png,37.09894561767578,37.947845458984375,38.48366165161133,0.8488998413085938,1.3847160339355469,0.8247896432876587,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006969273090362549,0.005108210712308959,middle
32,16,7,1007_0.68_1.25.png,38.79450607299805,38.90571212768555,38.94744873046875,0.1112060546875,0.15294265747070312,0.8107709288597107,1.0,0.9970719814300537,0.02106962539255619,0.007698973640799522,0.006719044875353575,0.004022667165396422,middle
32,16,8,1008_0.52_1.98.png,39.02428436279297,39.05875778198242,39.0996208190918,0.034473419189453125,0.07533645629882812,0.6722832322120667,1.0,0.997860848903656,0.01296052522957325,0.00647794408723712,0.004454818554222584,0.004716481519759172,middle
32,16,9,1009_0.84_0.56.png,44.44461441040039,44.44461441040039,44.44461441040039,0.0,0.0,,0.0,8.601648005424067e-05,4.93106635985896e-05,0.004470694810152054,144.86473083496094,0.0,closed_easy
32,16,10,100_0.65_1.43.png,36.16236114501953,36.85847854614258,37.09977722167969,0.6961174011230469,0.9374160766601562,0.8844367265701294,1.0,0.9997609257698059,0.11936704814434052,0.0106405820697546,0.009697274304926395,0.004520658726372774,middle
32,16,11,1010_0.91_1.13.png,39.185401916503906,39.26282501220703,39.29069900512695,0.077423095703125,0.10529708862304688,0.7743446826934814,1.0,0.9999287128448486,0.01370201725512743,0.007629727479070425,0.006829052697867155,0.00422554088991005,middle
32,16,12,1011_0.79_0.66.png,43.748023986816406,43.748023986816406,43.748023986816406,0.0,0.0,,0.0,0.0007819355232641101,9.821240382734686e-05,0.005071797873824835,144.865234375,0.0,closed_easy
32,16,13,1012_0.85_1.28.png,38.438724517822266,38.564762115478516,38.60681915283203,0.12603759765625,0.16809463500976562,0.8055843114852905,1.0,0.999962568283081,0.02146560698747635,0.008506431244313717,0.00760986702516675,0.004356415020460583,middle
32,16,14,1013_0.63_1.83.png,39.83412170410156,40.542205810546875,40.726287841796875,0.7080841064453125,0.8921661376953125,0.9209516048431396,1.0,0.9999841451644897,0.11482831835746765,0.006926377769559622,0.006214338820427656,0.002824219527368473,open_easy
32,16,15,1014_0.74_1.61.png,40.047698974609375,40.74699401855469,40.91287612915039,0.6992950439453125,0.8651771545410156,0.9324874877929688,1.0,0.9999018907546997,0.11008141934871674,0.00640513701364398,0.005723295267671347,0.002486087462079922,open_easy
32,16,16,1015_0.7_1.92.png,39.555458068847656,40.604408264160156,40.884544372558594,1.0489501953125,1.3290863037109375,0.9238787293434143,1.0,0.999993085861206,0.16993017494678497,0.00713506992906332,0.0064187305979430676,0.00284316754072598,middle
32,16,17,1016_0.8_1.72.png,39.64141082763672,40.63843536376953,40.935420989990234,0.9970245361328125,1.2940101623535156,0.9143416285514832,1.0,0.9999897480010986,0.16453078389167786,0.006814457476139069,0.006046568043529987,0.002965187685507201,open_easy
32,16,18,1017_0.91_1.44.png,33.59113311767578,34.150814056396484,34.21234130859375,0.5596809387207031,0.6212081909179688,0.9422189593315125,1.0,0.9995864033699036,0.09871816635131836,0.011212984099984169,0.010194038972258568,0.003911384596089622,open_hard
32,16,19,1018_0.88_0.54.png,38.61735534667969,38.61735534667969,38.61735534667969,0.0,0.0,,0.0,0.0519559346139431,0.004500661976635456,0.007016218267381191,144.88589477539062,0.0,middle
32,16,20,1019_0.82_1.87.png,32.75981140136719,33.45148468017578,33.519691467285156,0.6916732788085938,0.7598800659179688,0.9561477303504944,1.0,0.9994409680366516,0.11797859519720078,0.013951051980257034,0.013118015602231026,0.003969674649898153,open_hard
32,16,21,101_0.78_1.87.png,31.293811798095703,33.76422119140625,33.87527847290039,2.470409393310547,2.5814666748046875,0.987389326095581,1.0,0.9999998807907104,0.3091174364089966,0.019500868394970894,0.01917649805545807,0.0025584353850170074,open_hard
32,16,22,1020_0.5_0.98.png,41.363670349121094,41.363670349121094,41.363670349121094,0.0,0.0,,0.0,0.00888428557664156,0.004220263101160526,0.00665947375819087,144.87918090820312,0.0,closed_easy
32,16,23,1021_0.73_0.84.png,38.96540451049805,38.96540451049805,38.96540451049805,0.0,0.0,,0.0,0.9809446334838867,0.014000875875353813,0.005958791356533766,145.0435791015625,0.0,middle
32,16,24,1022_0.66_1.05.png,40.1223030090332,40.245391845703125,40.285011291503906,0.12308883666992188,0.16270828247070312,0.8873161673545837,1.0,0.9939929842948914,0.02091854251921177,0.005909023806452751,0.005004973616451025,0.0031837649666787656,open_easy
32,16,25,1023_0.5_1.87.png,37.44718933105469,37.73744201660156,37.90703582763672,0.290252685546875,0.45984649658203125,0.8195410370826721,1.0,0.9996567964553833,0.0583980455994606,0.008995349518954754,0.007279562298208475,0.005363444877309998,middle
32,16,26,1024_0.69_1.66.png,35.45882034301758,35.893531799316406,36.03076171875,0.4347114562988281,0.5719413757324219,0.8886274695396423,1.0,0.9999728202819824,0.08301740139722824,0.009800033643841743,0.008055414073169231,0.0049931250893279185,open_hard
32,16,27,1025_0.95_1.79.png,34.556087493896484,36.67338180541992,36.82017517089844,2.1172943115234375,2.264087677001953,0.9884526133537292,1.0,0.9999998807907104,0.28326040506362915,0.01305338367819786,0.01260052528232336,0.001894253776018159,open_hard
32,16,28,1026_0.77_0.89.png,35.73930740356445,36.17903137207031,36.20172882080078,0.4397239685058594,0.4624214172363281,0.9350025057792664,1.0,0.9998424053192139,0.054025571793317795,0.013351695612072945,0.012897138483822346,0.0027760446055741946,middle
32,16,29,1027_0.57_1.77.png,33.44512176513672,34.329551696777344,34.482154846191406,0.884429931640625,1.0370330810546875,0.9297915697097778,1.0,0.9999932050704956,0.1344485878944397,0.014729207381606102,0.013568426482379436,0.0049576526734999736,open_hard
32,16,30,1028_0.97_1.41.png,36.600486755371094,38.23295974731445,38.38471603393555,1.6324729919433594,1.7842292785644531,0.9782558679580688,1.0,0.9999997615814209,0.22275389730930328,0.0100977448746562,0.009700189344584942,0.0020658174297639924,middle
32,16,31,1029_0.71_0.56.png,44.27614212036133,44.27614212036133,44.27614212036133,0.0,0.0,,0.0,0.0011881550308316946,0.0009659481002017856,0.003963490482419729,144.87303161621094,0.0,closed_easy
