score,kind,split,threshold,selected_coverage,action_positive_coverage,negative_low_risk_coverage,ignore_coverage,action_recall,low_adjacent_recall,negative_false_rate,ignore_hit_rate,isolated_ldhn_hit_rate,action_precision_vs_neg_ignore,auroc_action_vs_negative,auprc_action_vs_negative,auroc_lowadjacent_vs_negative,auprc_lowadjacent_vs_negative
d7c_topk_score,deployable_prior_candidate,train_inner,0.5773006677627563,0.30833343505859373,0.341663818359375,0.12958536783854166,0.1947393798828125,0.5769427503325699,0.16660590594239882,0.0032656239696799375,0.024125480707450925,0.02439054936659716,0.6393093989820658,0.9695813238191681,0.9881774305983875,0.9149057415378846,0.5486213690222401
d7c_topk_score,deployable_prior_candidate,val_inner,0.5773006677627563,0.3026953125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5483118150551728,0.15590440293252703,0.0029743024097268933,0.02302618092523342,0.022366214361945417,0.6253521959822773,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682
d3_density_pred_matched,deployable_density_control,train_inner,0.4325486123561859,0.30833353678385417,0.341663818359375,0.12958536783854166,0.1947393798828125,0.46921837429570795,0.10511925091620776,0.048725307643758105,0.09674430072410396,0.1349313996230267,0.5199400074297882,0.8746001651968305,0.9438104353888052,0.6796649533658321,0.12618687962658096
d3_density_pred_matched,deployable_density_control,val_inner,0.4325486123561859,0.3114017740885417,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.45424704099120017,0.11390465145176656,0.04958445839323912,0.10680168914763642,0.1474462570513798,0.5035861706701024,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795
true_density_oracle_matched,diagnostic_density_oracle_not_deployable,train_inner,0.3249516534308805,0.30833343505859373,0.341663818359375,0.12958536783854166,0.1947393798828125,0.5238131391625073,0.0,0.0,0.0,0.0,0.5804365562854478,0.9908174378043804,0.9970094957327402,0.7041138382300384,0.14296009394249612
true_density_oracle_matched,diagnostic_density_oracle_not_deployable,val_inner,0.3249516534308805,0.31236124674479165,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5175607536779873,0.0,0.0,0.0,0.0,0.5720143970174257,0.9918938403386758,0.9974162492212744,0.7151357902158524,0.14246391188298693
dark_channel_proxy_matched,handcrafted_proxy_control,train_inner,0.6258487885197064,0.30833353678385417,0.341663818359375,0.12958536783854166,0.1947393798828125,0.1876251231134025,0.16248057255789858,0.359383487874801,0.30121773997239815,0.3045744021340948,0.207907049786839,0.4448420175596885,0.6500936708315485,0.364853804778251,0.05428892102698402
dark_channel_proxy_matched,handcrafted_proxy_control,val_inner,0.6258487885197064,0.30913736979166667,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.18748246753399825,0.14762042828148947,0.38023252477788366,0.3034747501774813,0.2894089546170656,0.20936878073436035,0.4394610212317067,0.6511382729988392,0.36802028539662607,0.05298969652697157
need_target_oracle_not_deployable,diagnostic_target_oracle_upper_bound,train_inner,0.7659185528755188,0.3083336385091146,0.341663818359375,0.12958536783854166,0.1947393798828125,0.7459776008041226,0.6421609071895926,0.0,0.28035286878266746,0.6581803836110537,0.8266161186099966,1.0,1.0,1.0,1.0
need_target_oracle_not_deployable,diagnostic_target_oracle_upper_bound,val_inner,0.7659185528755188,0.31024576822916666,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.7419032420034275,0.6181501884604234,0.0,0.2925280895239616,0.6759668648676119,0.8255515043412114,1.0,1.0,1.0,1.0
