name,pixels,ldhn_pixels,ldhn_coverage,ldhn_d7c_recall,ldhn_core_pixels,ldhn_core_coverage,ldhn_core_d7c_recall,ldhn_boundary_pixels,ldhn_boundary_coverage,ldhn_boundary_d7c_recall,ldhn_adjacent_to_haze_pixels,ldhn_adjacent_to_haze_coverage,ldhn_adjacent_to_haze_d7c_recall,ldhn_isolated_pixels,ldhn_isolated_coverage,ldhn_isolated_d7c_recall,ldhn_unstable_pixels,ldhn_unstable_coverage,ldhn_unstable_d7c_recall,ldhn_miss_rate
1002_0.73_1.47.png,4096,1233,0.301025390625,0.0016220600162206002,1039,0.253662109375,0.0009624639076034649,194,0.04736328125,0.005154639175257732,24,0.005859375,0.08333333333333333,1209,0.295166015625,0.0,6,0.00146484375,0.0,0.9983779399837794
1007_0.68_1.25.png,4096,259,0.063232421875,0.11969111969111969,194,0.04736328125,0.0979381443298969,65,0.015869140625,0.18461538461538463,100,0.0244140625,0.25,159,0.038818359375,0.03773584905660377,11,0.002685546875,0.0,0.8803088803088803
1012_0.85_1.28.png,4096,61,0.014892578125,0.0,61,0.014892578125,0.0,0,0.0,nan,0,0.0,nan,61,0.014892578125,0.0,0,0.0,nan,1.0
1016_0.8_1.72.png,4096,72,0.017578125,0.08333333333333333,5,0.001220703125,0.2,67,0.016357421875,0.07462686567164178,42,0.01025390625,0.14285714285714285,30,0.00732421875,0.0,11,0.002685546875,0.0,0.9166666666666666
1022_0.66_1.05.png,4096,487,0.118896484375,0.004106776180698152,371,0.090576171875,0.0,116,0.0283203125,0.017241379310344827,3,0.000732421875,0.0,484,0.1181640625,0.004132231404958678,9,0.002197265625,0.1111111111111111,0.9958932238193019
1023_0.5_1.87.png,4096,275,0.067138671875,0.09818181818181818,95,0.023193359375,0.08421052631578947,180,0.0439453125,0.10555555555555556,63,0.015380859375,0.30158730158730157,212,0.0517578125,0.03773584905660377,36,0.0087890625,0.1388888888888889,0.9018181818181819
1029_0.71_0.56.png,4096,614,0.14990234375,0.0,284,0.0693359375,0.0,330,0.08056640625,0.0,0,0.0,nan,614,0.14990234375,0.0,19,0.004638671875,0.0,1.0
103_0.75_1.59.png,4096,786,0.19189453125,0.001272264631043257,778,0.18994140625,0.0012853470437017994,8,0.001953125,0.0,150,0.03662109375,0.006666666666666667,636,0.1552734375,0.0,1,0.000244140625,0.0,0.9987277353689568
1042_0.91_0.56.png,4096,338,0.08251953125,0.0,126,0.03076171875,0.0,212,0.0517578125,0.0,12,0.0029296875,0.0,326,0.07958984375,0.0,19,0.004638671875,0.0,1.0
1045_0.58_1.58.png,4096,456,0.111328125,0.3355263157894737,431,0.105224609375,0.34106728538283065,25,0.006103515625,0.24,244,0.0595703125,0.4918032786885246,212,0.0517578125,0.15566037735849056,11,0.002685546875,0.18181818181818182,0.6644736842105263
1060_0.94_1.09.png,4096,0,0.0,nan,0,0.0,nan,0,0.0,nan,0,0.0,nan,0,0.0,nan,0,0.0,nan,0.0
1064_0.54_0.97.png,4096,234,0.05712890625,0.0,158,0.03857421875,0.0,76,0.0185546875,0.0,28,0.0068359375,0.0,206,0.05029296875,0.0,8,0.001953125,0.0,1.0
1072_0.58_0.58.png,4096,96,0.0234375,0.0,32,0.0078125,0.0,64,0.015625,0.0,0,0.0,nan,96,0.0234375,0.0,24,0.005859375,0.0,1.0
1073_0.51_0.98.png,4096,743,0.181396484375,0.0013458950201884253,157,0.038330078125,0.006369426751592357,586,0.14306640625,0.0,0,0.0,nan,743,0.181396484375,0.0013458950201884253,9,0.002197265625,0.0,0.9986541049798116
