score,kind,split,threshold,threshold_source,selected_coverage,action_positive_coverage,negative_low_risk_coverage,ignore_coverage,action_recall,low_adjacent_recall,negative_false_rate,ignore_hit_rate,isolated_ldhn_hit_rate,action_precision_vs_all_selected,auroc_action_vs_negative,auprc_action_vs_negative,auroc_lowadjacent_vs_negative,auprc_lowadjacent_vs_negative
d7c_topk_score,deployable_prior_baseline,train_calib,0.5773006677627563,train_calib_match_d7c_fixed_coverage,0.3106689453125,0.34792683919270834,0.12507120768229166,0.19022759331597222,0.5746229818785706,0.15554675641787105,0.004213094753965026,0.026498919793798262,0.024496604745197232,0.6435363457760315,0.9670844585655741,0.987853630797214,0.9112522241954083,0.5267705956769099
d7c_topk_score,deployable_prior_baseline,val_inner,0.5773006677627563,train_calib_match_d7c_fixed_coverage,0.3026953125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5483118150551728,0.15590440293252703,0.0029743024097268933,0.02302618092523342,0.022366214361945417,0.6253521959822773,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682
d3_density_pred,deployable_density_control,train_calib,0.43644440174102783,train_calib_match_d7c_fixed_coverage,0.3106689453125,0.34792683919270834,0.12507120768229166,0.19022759331597222,0.4712858086812114,0.11786444928397018,0.049147349871221366,0.10328981611539312,0.1397267477176091,0.5278061558611656,0.8686802892597109,0.9442763960285331,0.6726584638056426,0.13015364225168702
d3_density_pred,deployable_density_control,val_inner,0.43644440174102783,train_calib_match_d7c_fixed_coverage,0.306759033203125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.44839149200991013,0.11108810007041378,0.04778648780472254,0.10385625414033217,0.14435127305991768,0.5046180416001783,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795
context_core_linear,small_selective_probe,train_calib,0.7701337933540344,train_calib_match_d7c_fixed_coverage,0.3106689453125,0.34792683919270834,0.12507120768229166,0.19022759331597222,0.4920327694385807,0.15950636837589915,0.02712213636979802,0.06348261331470008,0.05986346451981396,0.5510412573673871,0.9070160241551576,0.9616309835246287,0.7077646070717604,0.2019333178493968
context_core_linear,small_selective_probe,val_inner,0.7701337933540344,train_calib_match_d7c_fixed_coverage,0.3046293131510417,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4857972292221125,0.20183904237253034,0.02516840034811771,0.06410906525055618,0.06059358642069421,0.5505364940152834,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801
context_core_mlp,small_selective_probe,train_calib,0.9904975295066833,train_calib_match_d7c_fixed_coverage,0.31066962348090277,0.34792683919270834,0.12507120768229166,0.19022759331597222,0.48370981543313474,0.006863327393915397,0.0002656906601599566,0.0017290429301751859,0.0018313523902775133,0.5417189659048987,0.9737938072261052,0.990692706697904,0.8124867210268375,0.28954582761402703
context_core_mlp,small_selective_probe,val_inner,0.9904975295066833,train_calib_match_d7c_fixed_coverage,0.3028564453125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.45999533253342073,0.010437808060307335,0.0003060375469815453,0.0018859415358123898,0.0021344717182497333,0.52434770925702,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331
context_image_density_linear,small_selective_probe,train_calib,0.8370293974876404,train_calib_match_d7c_fixed_coverage,0.31066962348090277,0.34792683919270834,0.12507120768229166,0.19022759331597222,0.5060667902440166,0.06394773312215403,0.006268130676426732,0.016859059828450422,0.012338963382018295,0.5667571125144891,0.9378652056710515,0.9772443669884348,0.7268570175283456,0.21490225401889088
context_image_density_linear,small_selective_probe,val_inner,0.8370293974876404,train_calib_match_d7c_fixed_coverage,0.30270711263020833,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4889949152901962,0.07675102514186306,0.004045433824162302,0.015270947653254327,0.01601361996239264,0.5576792533736237,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966
