name,haze_path,gt_path,trans_path,height,width
1002_0.73_1.47.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1002_0.73_1.47.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1002.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1002.png,400,400
1007_0.68_1.25.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1007_0.68_1.25.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1007.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1007.png,400,400
1012_0.85_1.28.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1012_0.85_1.28.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1012.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1012.png,400,400
1016_0.8_1.72.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1016_0.8_1.72.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1016.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1016.png,400,400
1022_0.66_1.05.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1022_0.66_1.05.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1022.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1022.png,400,400
1023_0.5_1.87.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1023_0.5_1.87.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1023.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1023.png,400,400
1029_0.71_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1029_0.71_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1029.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1029.png,400,400
103_0.75_1.59.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/103_0.75_1.59.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/103.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/103.png,400,400
1042_0.91_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1042_0.91_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1042.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1042.png,400,400
1045_0.58_1.58.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1045_0.58_1.58.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1045.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1045.png,400,400
1060_0.94_1.09.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1060_0.94_1.09.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1060.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1060.png,400,400
1064_0.54_0.97.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1064_0.54_0.97.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1064.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1064.png,400,400
1072_0.58_0.58.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1072_0.58_0.58.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1072.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1072.png,400,400
1073_0.51_0.98.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1073_0.51_0.98.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1073.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1073.png,400,400
1075_0.76_1.99.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1075_0.76_1.99.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1075.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1075.png,400,400
1080_0.59_1.22.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1080_0.59_1.22.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1080.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1080.png,400,400
