score,split,action_recall_n,action_recall_mean,action_recall_p50,action_recall_p75,action_recall_p90,action_recall_p95,action_recall_max,negative_false_rate_n,negative_false_rate_mean,negative_false_rate_p50,negative_false_rate_p75,negative_false_rate_p90,negative_false_rate_p95,negative_false_rate_max,ignore_hit_rate_n,ignore_hit_rate_mean,ignore_hit_rate_p50,ignore_hit_rate_p75,ignore_hit_rate_p90,ignore_hit_rate_p95,ignore_hit_rate_max,isolated_ldhn_hit_rate_n,isolated_ldhn_hit_rate_mean,isolated_ldhn_hit_rate_p50,isolated_ldhn_hit_rate_p75,isolated_ldhn_hit_rate_p90,isolated_ldhn_hit_rate_p95,isolated_ldhn_hit_rate_max,low_adjacent_recall_n,low_adjacent_recall_mean,low_adjacent_recall_p50,low_adjacent_recall_p75,low_adjacent_recall_p90,low_adjacent_recall_p95,low_adjacent_recall_max
d7c_topk_score,train_inner,2400,0.501001908217834,0.5265972417675204,0.7419104323064976,0.860774818401937,0.9196383726770467,0.9870237437879624,2254,0.012917610222452995,0.0,0.00392156862745098,0.02127659574468085,0.058333333333333334,1.0,2398,0.04367518190385545,0.014553014553014554,0.04455445544554455,0.10952380952380952,0.19101123595505617,0.8729281767955801,2385,0.04876013522127938,0.009345794392523364,0.043010752688172046,0.12195121951219512,0.23809523809523808,1.0,2125,0.16218963636194994,0.08450704225352113,0.24,0.4444444444444444,0.6,1.0
d7c_topk_score,val_inner,600,0.49690038606240267,0.5303643724696356,0.7095531587057011,0.8715995647442872,0.9235772357723577,0.9837580509661159,565,0.01114564079631026,0.0,0.003861003861003861,0.02459016393442623,0.047619047619047616,0.5454545454545454,600,0.03833488380509601,0.013812154696132596,0.04411764705882353,0.09375,0.15476190476190477,1.0,594,0.0423191120599785,0.009389671361502348,0.04411764705882353,0.11267605633802817,0.17647058823529413,1.0,520,0.16419544137036576,0.07692307692307693,0.25,0.47058823529411764,0.65,1.0
d3_density_pred_matched,train_inner,2400,0.39547653660169724,0.39796716184519154,0.5829986613119144,0.7258862324814509,0.799200355397601,0.9616438356164384,2254,0.05364436662933255,0.0,0.04,0.17256637168141592,0.29608938547486036,1.0,2398,0.08498135206601265,0.015606242496998799,0.10777957860615883,0.27257663628831813,0.3861671469740634,0.9824561403508771,2385,0.1080932157488603,0.012195121951219513,0.12244897959183673,0.3810760667903525,0.553072625698324,1.0,2125,0.0857996267524194,0.0,0.05185185185185185,0.3333333333333333,0.5565217391304348,1.0
d3_density_pred_matched,val_inner,600,0.3988029416678511,0.4043583535108959,0.5927583401139137,0.7244897959183674,0.787443578169881,0.9655172413793104,565,0.05981588365856616,0.0,0.04983388704318937,0.18883248730964466,0.3438101347017319,1.0,600,0.08380009606894005,0.01661631419939577,0.10116279069767442,0.2824427480916031,0.38312829525483305,0.821256038647343,594,0.11091029715449088,0.011583011583011582,0.12658227848101267,0.40202702702702703,0.5521327014218009,0.9847094801223242,520,0.092822178679585,0.0,0.06451612903225806,0.3684210526315789,0.5714285714285714,1.0
true_density_oracle_matched,train_inner,2400,0.41146645780803237,0.4153094462540717,0.6521953626048347,0.798196650923143,0.8537650054565297,0.9874885566066525,2254,0.0,0.0,0.0,0.0,0.0,0.0,2398,0.0,0.0,0.0,0.0,0.0,0.0,2385,0.0,0.0,0.0,0.0,0.0,0.0,2125,0.0,0.0,0.0,0.0,0.0,0.0
true_density_oracle_matched,val_inner,600,0.42422895831594093,0.4386503067484663,0.6489167319237797,0.7984832069339112,0.8698517298187809,0.9623572971305153,565,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,594,0.0,0.0,0.0,0.0,0.0,0.0,520,0.0,0.0,0.0,0.0,0.0,0.0
dark_channel_proxy_matched,train_inner,2400,0.27509481882764686,0.2056451612903226,0.38537699923838536,0.6320754716981132,0.7616161616161616,1.0,2254,0.35216268924673916,0.2683982683982684,0.5771812080536913,0.8571428571428571,0.9958847736625515,1.0,2398,0.3409101484552539,0.29357798165137616,0.4901500938086304,0.6825396825396826,0.8074074074074075,1.0,2385,0.41002169884983675,0.358974358974359,0.6481927710843374,0.8923076923076924,0.9961904761904762,1.0,2125,0.23587564850880027,0.07692307692307693,0.39285714285714285,0.7777777777777778,1.0,1.0
dark_channel_proxy_matched,val_inner,600,0.2574159843636719,0.1901028907398334,0.3731656184486373,0.5623229461756374,0.7217694994179278,1.0,565,0.3455775496798206,0.26859504132231404,0.556,0.8741721854304636,1.0,1.0,600,0.3512529050329279,0.29821717990275526,0.509090909090909,0.7142857142857143,0.8425925925925926,1.0,594,0.41591471769682836,0.375,0.6438356164383562,0.9095607235142119,1.0,1.0,520,0.24172128516668057,0.08333333333333333,0.4,0.8571428571428571,1.0,1.0
need_target_oracle_not_deployable,train_inner,2400,0.6478461245357171,0.6634460547504025,0.7784285017081504,0.8758915834522111,0.9186358754027927,0.9987492182614134,2254,0.0,0.0,0.0,0.0,0.0,0.0,2398,0.27847613252133735,0.17503217503217502,0.42464358452138495,0.7406451612903225,0.8547979797979798,1.0,2385,0.5578568451075933,0.5490196078431373,0.7693798449612403,0.9164214243672749,0.9647390691114246,1.0,2125,0.4797530829335011,0.49504950495049505,0.7352941176470589,0.9242424242424242,1.0,1.0
need_target_oracle_not_deployable,val_inner,600,0.6535803604555183,0.6575875486381323,0.7754962354551677,0.882094470889784,0.9194926936862421,1.0,565,0.0,0.0,0.0,0.0,0.0,0.0,600,0.27835838066520896,0.1908831908831909,0.4137622877569258,0.7001703577512777,0.8333333333333334,1.0,594,0.5688238768811105,0.5714285714285714,0.7582644628099173,0.9183673469387755,0.958904109589041,1.0,520,0.46964541307535035,0.46938775510204084,0.7254901960784313,0.9259259259259259,1.0,1.0
