score,feature_set,kind,control,train_rows,train_positive_rows,train_negative_rows,loss_final,loss_history
context_core_linear,context_core,linear,normal,43420,21710,21710,0.40715452893213794,"[0.6860614148053256, 0.5654291402209889, 0.4961212060668252, 0.45366063714027405, 0.42556930807503784, 0.40715452893213794]"
context_core_mlp,context_core,mlp,normal,43420,21710,21710,0.2220366197553548,"[0.6133503534577109, 0.4139031564647501, 0.308536173267798, 0.2655822614377195, 0.23889138888229022, 0.2220366197553548]"
context_image_density_linear,context_image_density,linear,normal,43420,21710,21710,0.3566406044093045,"[0.6142440031875264, 0.4910239008339969, 0.4284493625164032, 0.39236412806944415, 0.37041477317159827, 0.3566406044093045]"
context_image_density_mlp,context_image_density,mlp,normal,43420,21710,21710,0.17936258018016815,"[0.5724470507014882, 0.34889000247825275, 0.2671246203509244, 0.22763533754782242, 0.19943673705512827, 0.17936258018016815]"
context_plus_d7c_density_linear,context_plus_d7c_density,linear,normal,43420,21710,21710,0.3706960610368035,"[0.6882470629431985, 0.5367765128612518, 0.4588880715045062, 0.4155273031104695, 0.38804570924152026, 0.3706960610368035]"
context_plus_d7c_density_mlp,context_plus_d7c_density,mlp,normal,43420,21710,21710,0.18536260453137485,"[0.597914766181599, 0.3686442998322574, 0.2764015028422529, 0.2361919195814566, 0.2067059725522995, 0.18536260453137485]"
context_plus_d7c_density_mlp_labelperm_control,context_plus_d7c_density,mlp,label_permutation,43420,21710,21710,0.6885062212293799,"[0.694310337305069, 0.691673522645777, 0.6901286406950518, 0.6885062212293799]"
