score,kind,split,threshold,threshold_source,selected_coverage,action_positive_coverage,negative_low_risk_coverage,ignore_coverage,action_recall,low_adjacent_recall,negative_false_rate,ignore_hit_rate,isolated_ldhn_hit_rate,action_precision_vs_all_selected,auroc_action_vs_negative,auprc_action_vs_negative,auroc_lowadjacent_vs_negative,auprc_lowadjacent_vs_negative,target_train_calib_coverage
d7c_topk_score,deployable_prior_baseline,val_inner,0.6224716901779175,train_calib_coverage_0.20,0.19647908528645833,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3787236600481362,0.04473346311560287,0.0004016742804132782,0.004863743960779321,0.004319764191695889,0.6654399658705192,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682,0.2
d7c_topk_score,deployable_prior_baseline,val_inner,0.6002630591392517,train_calib_coverage_0.25,0.24495646158854167,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4579527265783934,0.08362672410222424,0.0010615677410922353,0.010243208776317408,0.009249377445748844,0.6454082607287315,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682,0.25
d7c_topk_score,deployable_prior_baseline,val_inner,0.5810226798057556,train_calib_coverage_0.30,0.29253011067708334,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5326710874018477,0.14178022615250796,0.0024769913958818824,0.01989301489548561,0.018884992630990496,0.6286245239400102,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682,0.3
d7c_topk_score,deployable_prior_baseline,val_inner,0.5650553703308105,train_calib_coverage_0.35,0.34119344075520835,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.605571965027003,0.22213478026757238,0.005942229037225005,0.04186833366060389,0.04697362402805306,0.6127281855943291,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682,0.35
d7c_topk_score,deployable_prior_baseline,val_inner,0.5515788793563843,train_calib_coverage_0.40,0.39195353190104165,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6800923121167903,0.3200099407695812,0.01397571464549057,0.073368304529928,0.08713218478426589,0.5990127327370973,0.969588596441277,0.9882980517743943,0.9203605300819007,0.5423318407691682,0.4
d3_density_pred,deployable_density_control,val_inner,0.5411123633384705,train_calib_coverage_0.20,0.19824178059895833,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3060255107693541,0.04970384790622541,0.015773685234007146,0.0488748006706529,0.0766122884586065,0.5329239181525414,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795,0.2
d3_density_pred,deployable_density_control,val_inner,0.490878701210022,train_calib_coverage_0.25,0.24661458333333333,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.37092215467229905,0.07434867249306217,0.0272851600480734,0.07057607529956045,0.1054276566549779,0.5192383843717001,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795,0.25
d3_density_pred,deployable_density_control,val_inner,0.4455797076225281,train_calib_coverage_0.30,0.29624348958333335,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4348794119935033,0.10396388187052148,0.04396739424968201,0.09763955212125267,0.13739391167352746,0.5067838933696679,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795,0.3
d3_density_pred,deployable_density_control,val_inner,0.4043874442577362,train_calib_coverage_0.35,0.34521687825520836,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.49700739958464263,0.1400405914757901,0.06284927332022047,0.1287252200444944,0.17120496010570718,0.49701970167549697,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795,0.35
d3_density_pred,deployable_density_control,val_inner,0.36605367064476013,train_calib_coverage_0.40,0.3942256673177083,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5577822933290587,0.18141904485772273,0.08641416443779946,0.16350940489265886,0.20771967271433653,0.48845279295328786,0.8720866616003845,0.9433389076520186,0.6908491381952568,0.12556298476949795,0.4
context_core_linear,small_selective_probe,val_inner,0.8326164484024048,train_calib_coverage_0.20,0.19314249674479167,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3293993819142742,0.11866793687611316,0.009040859200413151,0.028884683522179235,0.027305991767037657,0.588772760693286,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801,0.2
context_core_linear,small_selective_probe,val_inner,0.8057211637496948,train_calib_coverage_0.25,0.24256673177083332,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4008929476465832,0.15449612724185063,0.014469837768221189,0.042343055786323254,0.04003659094374142,0.570558198519791,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801,0.25
context_core_linear,small_selective_probe,val_inner,0.7767427563667297,train_calib_coverage_0.30,0.29344767252604165,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.47094737785027807,0.19363790746800313,0.022962379696959072,0.059698465137054436,0.05628398638003761,0.5540442914846148,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801,0.3
context_core_linear,small_selective_probe,val_inner,0.7450350522994995,train_calib_coverage_0.35,0.345234375,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5382154719445185,0.23224122934183822,0.03395741615049396,0.08173204525396555,0.07780149413020278,0.5382015161801312,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801,0.35
context_core_linear,small_selective_probe,val_inner,0.7105770707130432,train_calib_coverage_0.40,0.39676310221354166,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6008549950142971,0.27506937828770245,0.048522890652146884,0.10871568244542314,0.1043807490979316,0.5228067296697211,0.908763173606692,0.9619043784857674,0.7465135376231028,0.2481648432035801,0.4
context_core_mlp,small_selective_probe,val_inner,0.99791020154953,train_calib_coverage_0.20,0.19115926106770834,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.2906735531442931,0.00153253531044195,6.694571340221304e-05,0.00022657192363878824,0.0002541037759821111,0.5249439646823175,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331,0.2
context_core_mlp,small_selective_probe,val_inner,0.9958767890930176,train_calib_coverage_0.25,0.239705810546875,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.36401524705749233,0.003893468085987657,0.00015939455571955483,0.0006473483532536807,0.0007623113279463333,0.5242564517799155,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331,0.25
context_core_mlp,small_selective_probe,val_inner,0.9918007850646973,train_calib_coverage_0.30,0.29154012044270833,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.44259369703427287,0.008366814397547943,0.000264594962494461,0.0015557938756530127,0.0017838085073944199,0.5240945778651173,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331,0.3
context_core_mlp,small_selective_probe,val_inner,0.9834767580032349,train_calib_coverage_0.35,0.3450618489583333,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5235883860230591,0.01959160004970385,0.000659893460678957,0.003651044712350759,0.004106317019870916,0.523836589530485,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331,0.35
context_core_mlp,small_selective_probe,val_inner,0.9661718010902405,train_calib_coverage_0.40,0.3990226236979167,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6037368020310552,0.03901752060638695,0.0016290123594538506,0.008322741994998155,0.009345936880622047,0.5223395381374166,0.9739856427432144,0.9904150320387584,0.8276460221391352,0.3123755163287331,0.4
context_image_density_linear,small_selective_probe,val_inner,0.9066803455352783,train_calib_coverage_0.20,0.193812255859375,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3281394016685014,0.015035413991633186,0.00047180788492988233,0.002477186365117418,0.0025918585150175332,0.5844938097427532,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966,0.2
context_image_density_linear,small_selective_probe,val_inner,0.8786376714706421,train_calib_coverage_0.25,0.24230061848958334,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.40158245975488727,0.03479269353435779,0.001351665832501825,0.005908132637361926,0.0059002896783046195,0.5721672337181223,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966,0.25
context_image_density_linear,small_selective_probe,val_inner,0.8450345993041992,train_calib_coverage_0.30,0.29182779947916665,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.47374785779785156,0.06768007289897693,0.0033409098878818696,0.013091541530633603,0.013741932205112568,0.5604325735224401,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966,0.3
context_image_density_linear,small_selective_probe,val_inner,0.8049029111862183,train_calib_coverage_0.35,0.3433146158854167,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.544579020444918,0.11324193347968355,0.007634999218966677,0.026340604493892267,0.026975656858260914,0.5476100174226352,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966,0.35
context_image_density_linear,small_selective_probe,val_inner,0.7599292993545532,train_calib_coverage_0.40,0.39447184244791667,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6103891205597188,0.16269726214637784,0.01540388986473778,0.046572398360913966,0.0472683844081923,0.5341872848015481,0.9375355120539416,0.9766538160319311,0.7549276449920659,0.25532286614152966,0.4
context_image_density_mlp,small_selective_probe,val_inner,0.9999154806137085,train_calib_coverage_0.20,0.19452392578125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3017587862701049,0.0,0.0,6.473483532536807e-06,1.5246226558926665e-05,0.5355372315724739,0.9828069939867776,0.9938554165281818,0.823123597647699,0.3006150329858934,0.2
context_image_density_mlp,small_selective_probe,val_inner,0.9997069239616394,train_calib_coverage_0.25,0.24385457356770834,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.37566741236124307,0.0002070993662759392,0.0,1.2946967065073614e-05,3.049245311785333e-05,0.5318331311519997,0.9828069939867776,0.9938554165281818,0.823123597647699,0.3006150329858934,0.25
context_image_density_mlp,small_selective_probe,val_inner,0.9990758895874023,train_calib_coverage_0.30,0.2935078938802083,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4491599738810456,0.0008698173383589446,6.375782228782194e-06,5.394569610447339e-05,0.00010164151039284444,0.5283041624787717,0.9828069939867776,0.9938554165281818,0.823123597647699,0.3006150329858934,0.3
context_image_density_mlp,small_selective_probe,val_inner,0.9972707629203796,train_calib_coverage_0.35,0.3442989095052083,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5237298244042498,0.0022366731557801433,4.4630475601475355e-05,0.00027404413621072486,0.00036590943741423996,0.5251391894335394,0.9828069939867776,0.9938554165281818,0.823123597647699,0.3006150329858934,0.35
context_image_density_mlp,small_selective_probe,val_inner,0.9922171235084534,train_calib_coverage_0.40,0.3963142903645833,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6000900491026914,0.007248477819657872,0.00017533401129151031,0.0011501222409473727,0.0015398688824515931,0.522732452961143,0.9828069939867776,0.9938554165281818,0.823123597647699,0.3006150329858934,0.4
context_plus_d7c_density_linear,small_selective_probe,val_inner,0.887302041053772,train_calib_coverage_0.20,0.19002522786458334,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.32425927541117316,0.045147661848154746,0.0017692795684870588,0.007271879834883014,0.006865884027036642,0.5890930737506584,0.9326280396040583,0.974059278428318,0.7666815585754702,0.2757195313475228,0.2
context_plus_d7c_density_linear,small_selective_probe,val_inner,0.8587508797645569,train_calib_coverage_0.25,0.23933512369791668,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.3983046252707956,0.0780350412127739,0.0034748013146862957,0.013943883529084282,0.013889312395182192,0.5745286387051803,0.9326280396040583,0.974059278428318,0.7666815585754702,0.2757195313475228,0.25
context_plus_d7c_density_linear,small_selective_probe,val_inner,0.8260733485221863,train_calib_coverage_0.30,0.28913777669270835,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4696119638012036,0.11659694321335377,0.0065543041311880955,0.024077043085348564,0.02402297098134878,0.5607084303777873,0.9326280396040583,0.974059278428318,0.7666815585754702,0.2757195313475228,0.3
context_plus_d7c_density_linear,small_selective_probe,val_inner,0.7889333367347717,train_calib_coverage_0.35,0.339600830078125,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.5383439451407666,0.15959077165223876,0.011935464332280267,0.038862479473662635,0.03814605885043452,0.5472601943678611,0.9326280396040583,0.974059278428318,0.7666815585754702,0.2757195313475228,0.35
context_plus_d7c_density_linear,small_selective_probe,val_inner,0.7470973134040833,train_calib_coverage_0.40,0.3906005859375,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6037615537477635,0.21173839208052023,0.021671283795630675,0.06058964803670033,0.058281242059257,0.5336239764985311,0.9326280396040583,0.974059278428318,0.7666815585754702,0.2757195313475228,0.4
context_plus_d7c_density_mlp,small_selective_probe,val_inner,0.9998321533203125,train_calib_coverage_0.20,0.193909912109375,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.30331814442273103,4.141987325518784e-05,0.0,8.631311376715743e-06,2.0328302078568888e-05,0.5400091910028895,0.982172546016222,0.9936087723992725,0.8311148479570548,0.31240162981130076,0.2
context_plus_d7c_density_mlp,small_selective_probe,val_inner,0.9994698762893677,train_calib_coverage_0.25,0.243258056640625,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.37680716998300384,0.0003313589860415027,6.375782228782194e-06,2.3736106285968292e-05,5.082075519642222e-05,0.534754805287782,0.982172546016222,0.9936087723992725,0.8311148479570548,0.31240162981130076,0.25
context_plus_d7c_density_mlp,small_selective_probe,val_inner,0.9984737038612366,train_calib_coverage_0.30,0.2931998697916667,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.4502667292138619,0.0009526570848693203,1.2751564457564388e-05,9.71022529880521e-05,0.00014229811454998222,0.530162316394844,0.982172546016222,0.9936087723992725,0.8311148479570548,0.31240162981130076,0.3
context_plus_d7c_density_mlp,small_selective_probe,val_inner,0.9958339929580688,train_calib_coverage_0.35,0.3445609537760417,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.526044699243069,0.0032721699871598392,7.650938674538632e-05,0.0004660908143426501,0.000620013213396351,0.5270591514100849,0.982172546016222,0.9936087723992725,0.8311148479570548,0.31240162981130076,0.35
context_plus_d7c_density_mlp,small_selective_probe,val_inner,0.9889161586761475,train_calib_coverage_0.40,0.3967008463541667,0.3452254231770833,0.12763956705729165,0.18856974283854167,0.6028257031255525,0.00956799072194839,0.00022952816023615898,0.001711157480433896,0.0022615236062407886,0.5246037672370996,0.982172546016222,0.9936087723992725,0.8311148479570548,0.31240162981130076,0.4
