score,kind,split,action_recall_n,action_recall_mean,action_recall_p50,action_recall_p75,action_recall_p90,action_recall_p95,action_recall_max,low_adjacent_recall_n,low_adjacent_recall_mean,low_adjacent_recall_p50,low_adjacent_recall_p75,low_adjacent_recall_p90,low_adjacent_recall_p95,low_adjacent_recall_max,negative_false_rate_n,negative_false_rate_mean,negative_false_rate_p50,negative_false_rate_p75,negative_false_rate_p90,negative_false_rate_p95,negative_false_rate_max,ignore_hit_rate_n,ignore_hit_rate_mean,ignore_hit_rate_p50,ignore_hit_rate_p75,ignore_hit_rate_p90,ignore_hit_rate_p95,ignore_hit_rate_max,isolated_ldhn_hit_rate_n,isolated_ldhn_hit_rate_mean,isolated_ldhn_hit_rate_p50,isolated_ldhn_hit_rate_p75,isolated_ldhn_hit_rate_p90,isolated_ldhn_hit_rate_p95,isolated_ldhn_hit_rate_max
d7c_topk_score,deployable_prior_baseline,val_inner,600,0.49690038606240267,0.5303643724696356,0.7095531587057011,0.8715995647442872,0.9235772357723577,0.9837580509661159,520,0.16419544137036576,0.07692307692307693,0.25,0.47058823529411764,0.65,1.0,565,0.01114564079631026,0.0,0.003861003861003861,0.02459016393442623,0.047619047619047616,0.5454545454545454,600,0.03833488380509601,0.013812154696132596,0.04411764705882353,0.09375,0.15476190476190477,1.0,594,0.0423191120599785,0.009389671361502348,0.04411764705882353,0.11267605633802817,0.17647058823529413,1.0
d3_density_pred,deployable_density_control,val_inner,600,0.3930073407695535,0.3943569553805774,0.5885997521685254,0.7193995381062356,0.7789008212255212,0.9636533084808947,520,0.09034250475885144,0.0,0.0625,0.34210526315789475,0.5681818181818182,1.0,565,0.05801272778882798,0.0,0.047527296082209375,0.18238993710691823,0.327132777421424,1.0,600,0.0816388477250074,0.01593625498007968,0.0979020979020979,0.2786259541984733,0.38303341902313626,0.821256038647343,594,0.10844258603466098,0.010526315789473684,0.11814345991561181,0.39572192513368987,0.55,0.9847094801223242
context_core_linear,small_selective_probe,val_inner,600,0.5015464427564028,0.514344262295082,0.6446700507614214,0.7751084417751084,0.8409090909090909,0.9885675857431069,520,0.17014566429689254,0.027888446215139442,0.23809523809523808,0.6086956521739131,0.7936507936507936,1.0,565,0.026793187056785978,0.0027247956403269754,0.01713796058269066,0.060810810810810814,0.15940366972477063,0.9761904761904762,600,0.049879301456324604,0.0166256157635468,0.05519480519480519,0.14967259120673526,0.23399014778325122,0.4812286689419795,594,0.054156583569189835,0.01282051282051282,0.06061806656101426,0.1532258064516129,0.2681564245810056,0.8236877523553163
context_core_mlp,small_selective_probe,val_inner,600,0.45088659935773334,0.4595300261096606,0.625866050808314,0.7574887156339762,0.8122308354866494,0.9735099337748344,520,0.010111865211419475,0.0,0.0,0.02857142857142857,0.058823529411764705,0.4,565,0.0003547430501052323,0.0,0.0,0.0,0.0012594458438287153,0.051643192488262914,600,0.0018839731917488218,0.0,0.0018867924528301887,0.005535055350553505,0.008797653958944282,0.05092592592592592,594,0.0037397135858724152,0.0,0.0,0.008547008547008548,0.02247191011235955,0.21739130434782608
context_image_density_linear,small_selective_probe,val_inner,600,0.4733711939445496,0.48775055679287305,0.6354208216992421,0.7573620904189133,0.8121755545068429,0.9825151311365165,520,0.06425411638937892,0.0,0.03636363636363636,0.22580645161290322,0.3939393939393939,1.0,565,0.005600850399455263,0.0,0.0011947431302270011,0.007761194029850746,0.02320887991927346,0.4523809523809524,600,0.011820177355836162,0.0014506769825918763,0.010559662090813094,0.035931453841901606,0.06,0.28547008547008546,594,0.013378357702952844,0.0,0.008264462809917356,0.04451038575667656,0.07272727272727272,0.3526490066225166
context_image_density_mlp,small_selective_probe,val_inner,600,0.433203176794798,0.4389336639801612,0.6175298804780877,0.7596899224806202,0.8354632587859425,0.9496402877697842,520,0.0008120961740692608,0.0,0.0,0.0,0.0,0.07272727272727272,565,2.030835277408243e-05,0.0,0.0,0.0,0.0,0.006535947712418301,600,7.278461412108523e-05,0.0,0.0,0.0,0.0,0.012096774193548387,594,0.00026810112551575363,0.0,0.0,0.0,0.0,0.06
context_plus_d7c_density_linear,small_selective_probe,val_inner,600,0.4787522886899063,0.4895421141888072,0.6400602409638554,0.7618445988629186,0.8194888178913738,0.9784801613987895,520,0.10288718068853907,0.0,0.1111111111111111,0.35294117647058826,0.5277777777777778,1.0,565,0.008847433478003769,0.0,0.0044444444444444444,0.018050541516245487,0.04040404040404041,0.30952380952380953,600,0.02212653993949288,0.006631299734748011,0.024896265560165973,0.059206952743074415,0.09578207381370826,0.39145299145299145,594,0.0242121179708587,0.0009216589861751152,0.023661270236612703,0.07407407407407407,0.1111111111111111,0.5860927152317881
context_plus_d7c_density_mlp,small_selective_probe,val_inner,600,0.43667330541259314,0.44479330193615907,0.6213991769547325,0.7689075630252101,0.8400383141762452,0.9550359712230215,520,0.000984255231800607,0.0,0.0,0.0,0.0,0.11864406779661017,565,4.0228560444844106e-05,0.0,0.0,0.0,0.0,0.013071895424836602,600,0.0001541531220987438,0.0,0.0,0.0,0.001081081081081081,0.012096774193548387,594,0.000598796408555877,0.0,0.0,0.0,0.0,0.06
context_plus_d7c_density_mlp_labelperm_control,label_permutation_control,val_inner,600,0.31330327322369445,0.2810734463276836,0.3975837451949478,0.5372807017543859,0.6437527021184609,0.9918509895227008,520,0.2781563817678868,0.21428571428571427,0.4090909090909091,0.6666666666666666,0.7911646586345381,1.0,565,0.31701975477354566,0.29901423877327493,0.4343891402714932,0.5728395061728395,0.6921850079744817,1.0,600,0.28076439044466434,0.2748917748917749,0.3778135048231511,0.47775628626692457,0.5615114235500879,0.8161543098251959,594,0.27876489203253246,0.25,0.3989501312335958,0.5336225596529284,0.6540880503144654,1.0
