operator_label,repair_type,image_count,group_count,mean_lift_vs_old_025_db,lcb95_lift_vs_old_025_db,mean_lift_vs_old_0125_db,p10_vs_old_0125_db,p05_vs_old_0125_db,cvar5_vs_old_0125_db,severe_vs_old_0125_count,active_block_count,repairable_active_block_count,repairable_active_fraction,beneficial_sse,harmful_sse,harmful_to_beneficial,mean_bound_saturation,mean_clip_fraction,angle,relative_norm
D_ref,scale,1200,1200,0.0002422399874424978,0.0002260329842283373,0.023920417264944833,-0.03551787837471423,-0.06425452439835126,-0.09284881688206473,0,503995,306233,0.6076111866189149,1825.8974539955482,728.7794754775728,0.3991349425910036,0.4401436254727877,0.009371767404306876,"{'count': 12818, 'median': 0.0, 'p90': 0.02797645516693592}","{'count': 12818, 'median': 0.875, 'p90': 0.96875}"
D_ref,channel_scale,1200,1200,0.004936513679107402,0.004571065003749389,0.028614690956609738,-0.02888732332573056,-0.05490012620833209,-0.08614535175787896,0,503995,346424,0.6873560253573944,1846.8592599587407,701.3226822368746,0.37973802197171336,0.41933506176572977,0.008475527636563764,"{'count': 88466, 'median': 39.75354766845703, 'p90': 57.495779037475586}","{'count': 88466, 'median': 0.6601884961128235, 'p90': 0.9299700558185577}"
D_ref,direction_line,1200,1200,0.29140374471413977,0.2808887401661375,0.3150819219916421,0.08590621998367426,0.045864270519840745,0.023367698340676313,0,503995,503991,0.9999920634133275,4132.299439688841,0.00015593882920583724,3.773657535756395e-08,0.8682351279582536,3.786037193889471e-05,"{'count': 476125, 'median': 81.2630844116211, 'p90': 129.46138916015627}","{'count': 476125, 'median': 1.7063708305358887, 'p90': 4.137583923339844}"
D_ref,direct_clean,1200,1200,0.2914044364475316,0.28088952279691815,0.315082613725034,0.08590621998367426,0.045864270519840745,0.02336783358185078,0,503995,501834,0.995712259050189,4132.297469808954,0.00015593882920583724,3.773659334671438e-08,0.868542107849546,1.325450289989009e-07,"{'count': 475803, 'median': 81.29119110107422, 'p90': 129.4773193359375}","{'count': 475803, 'median': 1.7072579860687256, 'p90': 4.140043926239013}"
D_rep,scale,1200,1200,0.00023599881255391254,0.00022003111917267575,0.024185379139712818,-0.034062554246769135,-0.06526836634444208,-0.09332995969563432,0,503995,306028,0.6072044365519499,1820.5952378629918,717.5510859180348,0.39412993673447905,0.4347580490697366,0.009375916699114507,"{'count': 12797, 'median': 0.0, 'p90': 0.02797645516693592}","{'count': 12797, 'median': 0.8749999403953552, 'p90': 0.96875}"
D_rep,channel_scale,1200,1200,0.00553180462957101,0.005125094056777,0.029481184956729915,-0.027172912745242424,-0.05662993417966291,-0.0855702623510668,0,503995,349721,0.6938977569221917,1844.3980365644788,685.6819354589791,0.37176462014467565,0.41342183531632704,0.008368580027345364,"{'count': 94589, 'median': 39.80968475341797, 'p90': 57.82351608276367}","{'count': 94589, 'median': 0.6588138937950134, 'p90': 0.9225294589996338}"
D_rep,direction_line,1200,1200,0.29091798757487636,0.2804957100319593,0.3148673679020353,0.0850159614319594,0.04551848040368576,0.023251752493797302,0,503995,503991,0.9999920634133275,4132.299490558133,0.00014215180037524533,3.440016888902829e-08,0.8682699052175564,3.473596822494331e-05,"{'count': 476854, 'median': 81.41723251342773, 'p90': 128.94946289062503}","{'count': 476854, 'median': 1.715943455696106, 'p90': 4.18745698928833}"
D_rep,direct_clean,1200,1200,0.29091865100899583,0.28049637825705,0.31486803133615476,0.08501596265855085,0.045518493115712745,0.02325175842713758,0,503995,501874,0.9957916249169139,4132.297578196691,0.00014215180037524533,3.4400184808878046e-08,0.8685414298062255,5.938926255376185e-08,"{'count': 476575, 'median': 81.44552612304688, 'p90': 128.9736114501953}","{'count': 476575, 'median': 1.7166491746902466, 'p90': 4.189016914367678}"
