index,name,height,width,max_abs_diff,mean_abs_diff,base_psnr,candidate_psnr,psnr_delta,base_ssim,candidate_ssim,ssim_delta,d7c_selected_coverage,d7c_score_mean,d7c_score_min,d7c_score_max
0,1002_0.73_1.47.png,400,400,0.0,0.0,33.58782196044922,33.58782196044922,0.0,0.9875478744506836,0.9875478744506836,0.0,0.13454604148864746,0.5172286629676819,0.11334379762411118,0.8187650442123413
1,1007_0.68_1.25.png,400,400,0.0,0.0,38.78367614746094,38.78367614746094,0.0,0.9977172613143921,0.9977172613143921,0.0,0.6703379154205322,0.6398210525512695,0.20497138798236847,0.9271085262298584
2,1012_0.85_1.28.png,400,400,0.0,0.0,38.416282653808594,38.416282653808594,0.0,0.9644522070884705,0.9644522070884705,0.0,0.6555219292640686,0.6489824652671814,0.2999517023563385,0.9380254745483398
3,1016_0.8_1.72.png,400,400,0.0,0.0,39.61763381958008,39.61763381958008,0.0,0.9952346086502075,0.9952346086502075,0.0,0.591230571269989,0.6221229434013367,0.18498274683952332,0.9150189161300659
4,1022_0.66_1.05.png,400,400,0.0,0.0,40.141082763671875,40.141082763671875,0.0,0.9986488223075867,0.9986488223075867,0.0,0.0613616406917572,0.4731190800666809,0.13730628788471222,0.8309365510940552
5,1023_0.5_1.87.png,400,400,0.0,0.0,37.465614318847656,37.465614318847656,0.0,0.9963756799697876,0.9963756799697876,0.0,0.28452640771865845,0.5533208847045898,0.24889259040355682,0.8907267451286316
6,1029_0.71_0.56.png,400,400,0.0,0.0,44.240779876708984,44.240779876708984,0.0,0.9987375140190125,0.9987375140190125,0.0,0.043153662234544754,0.3992336392402649,0.07898233085870743,0.7896935939788818
7,103_0.75_1.59.png,400,400,0.0,0.0,31.22649383544922,31.22649383544922,0.0,0.9871124029159546,0.9871124029159546,0.0,0.498046875,0.594035267829895,0.3539400100708008,0.8638406991958618
8,1042_0.91_0.56.png,400,400,0.0,0.0,42.3957405090332,42.3957405090332,0.0,0.9984919428825378,0.9984919428825378,0.0,0.20655164122581482,0.5136380195617676,0.11217588931322098,0.8486506342887878
9,1045_0.58_1.58.png,400,400,0.0,0.0,32.29377365112305,32.29377365112305,0.0,0.9791228175163269,0.9791228175163269,0.0,0.616852343082428,0.6101394295692444,0.21555504202842712,0.9236878156661987
10,1060_0.94_1.09.png,400,400,0.0,0.0,40.53528594970703,40.53528594970703,0.0,0.9957771301269531,0.9957771301269531,0.0,0.2680635154247284,0.4859406054019928,0.03555797412991524,0.9431185126304626
11,1064_0.54_0.97.png,400,400,0.0,0.0,37.867576599121094,37.867576599121094,0.0,0.9955169558525085,0.9955169558525085,0.0,0.17033793032169342,0.519317090511322,0.07998506724834442,0.8099709749221802
12,1072_0.58_0.58.png,400,400,0.0,0.0,38.13917541503906,38.13917541503906,0.0,0.9957571029663086,0.9957571029663086,0.0,0.03684356436133385,0.4753541648387909,0.10518778860569,0.7371838688850403
13,1073_0.51_0.98.png,400,400,0.0,0.0,39.438934326171875,39.438934326171875,0.0,0.9985674619674683,0.9985674619674683,0.0,0.015971709042787552,0.4704873263835907,0.22367244958877563,0.7740870714187622
14,1075_0.76_1.99.png,400,400,0.0,0.0,29.513813018798828,29.513813018798828,0.0,0.9927257299423218,0.9927257299423218,0.0,0.571699321269989,0.6024817228317261,0.33727651834487915,0.8913900852203369
15,1080_0.59_1.22.png,400,400,0.0,0.0,40.876853942871094,40.876853942871094,0.0,0.9971717596054077,0.9971717596054077,0.0,0.366378515958786,0.5489775538444519,0.19124239683151245,0.8748313188552856
16,1083_0.67_0.81.png,400,400,0.0,0.0,36.44873809814453,36.44873809814453,0.0,0.9972838163375854,0.9972838163375854,0.0,0.1633286327123642,0.5487276911735535,0.24463319778442383,0.83830726146698
17,1090_0.54_0.58.png,400,400,0.0,0.0,41.2755241394043,41.2755241394043,0.0,0.9980320930480957,0.9980320930480957,0.0,0.012175249867141247,0.4578454792499542,0.17867673933506012,0.6667096614837646
18,1096_0.72_0.86.png,400,400,0.0,0.0,35.75572204589844,35.75572204589844,0.0,0.9980448484420776,0.9980448484420776,0.0,0.20986270904541016,0.5389598608016968,0.14058880507946014,0.8631513118743896
19,1098_0.8_0.51.png,400,400,0.0,0.0,33.103145599365234,33.103145599365234,0.0,0.9973500967025757,0.9973500967025757,0.0,2.3113905626814812e-05,0.40718263387680054,0.20013907551765442,0.58132404088974
20,1099_0.54_1.76.png,400,400,0.0,0.0,33.76907730102539,33.76907730102539,0.0,0.9944189786911011,0.9944189786911011,0.0,0.0282798632979393,0.47241541743278503,0.2197040170431137,0.7397810220718384
21,1102_0.65_0.94.png,400,400,0.0,0.0,29.722129821777344,29.722129821777344,0.0,0.9936668872833252,0.9936668872833252,0.0,0.2242857813835144,0.555861234664917,0.39763343334198,0.866340160369873
22,110_0.55_1.08.png,400,400,0.0,0.0,38.41853332519531,38.41853332519531,0.0,0.9984185099601746,0.9984185099601746,0.0,0.2343807816505432,0.5125746130943298,0.1388694941997528,0.8566463589668274
23,1113_0.9_0.52.png,400,400,0.0,0.0,44.63855743408203,44.63855743408203,0.0,0.9950754046440125,0.9950754046440125,0.0,0.13163946568965912,0.4270004332065582,0.04709882289171219,0.821847677230835
