label,tau_gain,tau_risk,tau_ood_quantile,tau_ood,count,coverage,alpha_1p00_count,alpha_0p75_count,alpha_0p50_count,alpha_0p25_count,alpha_0p00_count,mean_delta,median_delta,p5_delta,p95_delta,hard_bottom25_delta,easy_top25_delta,worst10pct_delta,best10pct_delta,mean_ssim_delta,positive_ratio,worst_regression_ratio,strong_regression_ratio,oof_gate_pass
train_inner_oof_policy,0.45,0.2,1.0,271.89984073596213,2400,0.16,34,7,78,265,2016,0.09033860842386882,0.0,0.0,0.7108158111572273,0.07856848958774658,0.10884201544198442,-0.13263506889343263,0.9355801343917847,4.551281531651815e-05,0.14125,0.01,0.014727540500736377,False
train_inner_oof_policy,0.5,0.2,1.0,271.89984073596213,2400,0.15916666666666668,34,7,78,263,2018,0.09002081871032715,0.0,0.0,0.7108158111572273,0.07856848958774658,0.10813994260178399,-0.13263506889343263,0.9353002150853474,4.5474494496981305e-05,0.14041666666666666,0.01,0.014727540500736377,False
train_inner_oof_policy,0.55,0.2,1.0,271.89984073596213,2400,0.15625,34,7,78,256,2025,0.08937437852223715,0.0,0.0,0.7108158111572273,0.07734851464790791,0.10813994260178399,-0.13263506889343263,0.9353002150853474,4.4874524076779685e-05,0.1375,0.01,0.014727540500736377,False
train_inner_oof_policy,0.6,0.2,1.0,271.89984073596213,2400,0.15166666666666667,34,6,78,246,2036,0.08834392706553142,0.0,0.0,0.7108158111572273,0.07701314400695668,0.10813994260178399,-0.13077113628387452,0.9336156447728475,4.370530446370443e-05,0.13416666666666666,0.009583333333333333,0.014727540500736377,False
train_inner_oof_policy,0.45,0.2,0.98,6.000428270953341,2400,0.15625,29,7,78,261,2025,0.08773491462071736,0.0,0.0,0.6868984222412126,0.05985803252445643,0.10726663536105487,-0.1178341547648112,0.9036637306213379,4.236179093519846e-05,0.13875,0.009583333333333333,0.014727540500736377,False
train_inner_oof_policy,0.45,0.2,0.95,4.738130949228098,2400,0.15416666666666667,27,6,78,259,2030,0.08743307828903198,0.0,0.0,0.6841880798339844,0.05666466752257109,0.10726663536105487,-0.10849243799845378,0.89580766359965,4.2208805680274964e-05,0.1375,0.00875,0.014727540500736377,False
train_inner_oof_policy,0.5,0.2,0.98,6.000428270953341,2400,0.15541666666666668,29,7,78,259,2027,0.0874171249071757,0.0,0.0,0.6868984222412126,0.05985803252445643,0.10656456252085443,-0.1178341547648112,0.9033515612284343,4.2323470115661624e-05,0.13791666666666666,0.009583333333333333,0.014727540500736377,False
train_inner_oof_policy,0.5,0.2,0.95,4.738130949228098,2400,0.15375,27,6,78,258,2031,0.08723445018132528,0.0,0.0,0.6841880798339844,0.05666466752257109,0.10656456252085443,-0.10849243799845378,0.8954528172810873,4.216666022936503e-05,0.13708333333333333,0.00875,0.014727540500736377,False
train_inner_oof_policy,0.45,0.2,0.9,4.029165512900155,2400,0.14583333333333334,21,5,76,248,2050,0.08681375583012899,0.0,0.0,0.670686531066895,0.05466460767899056,0.10764849273726586,-0.07267223993937175,0.8721829891204834,4.019305109977722e-05,0.1325,0.006666666666666667,0.010309278350515464,False
train_inner_oof_policy,0.5,0.2,0.9,4.029165512900155,2400,0.14583333333333334,21,5,76,248,2050,0.08681375583012899,0.0,0.0,0.670686531066895,0.05466460767899056,0.10764849273726586,-0.07267223993937175,0.8721829891204834,4.019305109977722e-05,0.1325,0.006666666666666667,0.010309278350515464,False
train_inner_oof_policy,0.55,0.2,0.98,6.000428270953341,2400,0.1525,29,7,78,252,2034,0.0867706847190857,0.0,0.0,0.6868984222412126,0.058638057584617764,0.10656456252085443,-0.1178341547648112,0.9033515612284343,4.1723499695460005e-05,0.135,0.009583333333333333,0.014727540500736377,False
train_inner_oof_policy,0.55,0.2,0.95,4.738130949228098,2400,0.15083333333333335,27,6,78,251,2038,0.08658800999323527,0.0,0.0,0.6841880798339844,0.05544469258273243,0.10656456252085443,-0.10849243799845378,0.8954528172810873,4.156668980916341e-05,0.13416666666666666,0.00875,0.014727540500736377,False
train_inner_oof_policy,0.55,0.2,0.9,4.029165512900155,2400,0.14291666666666666,21,5,76,241,2057,0.08616731564203899,0.0,0.0,0.670686531066895,0.05344463273915189,0.10764849273726586,-0.07267223993937175,0.8721829891204834,3.95930806795756e-05,0.12958333333333333,0.006666666666666667,0.010309278350515464,False
train_inner_oof_policy,0.65,0.2,1.0,271.89984073596213,2400,0.14458333333333334,34,6,78,229,2053,0.08601573467254639,0.0,0.0,0.7075441360473639,0.07557457284658436,0.10812122867455012,-0.12927602926890056,0.9276713927586874,4.288601378599803e-05,0.12875,0.009583333333333333,0.011782032400589101,False
